guid	num	part	seq	en	te	notes	status
M50207ce79f5f	51	meta	1	Story Fifty-one - Kevin Has Been Looking for a New Phone			todo
Me35d761ad098	51	meta	2	Here is the same story told in a different way.	ఇదే కథ మరో విధంగా చెప్పబడింది.		native
M967a9774e6dd	51	story	1	Kevin has been looking for a new phone.			todo
Meb38a8a9cd33	51	story	2	He has looked in many stores in the area where he lives, yet he's been unable to find anything affordable.			todo
Mecd98ede4d20	51	story	3	So then Kevin decided to look online instead.			todo
Maacab27fcb6f	51	story	4	Even though he doesn't really trust online shopping, he hoped that online products would be more affordable.			todo
M35918b6c9692	51	story	5	After searching and scrolling for a few hours, Kevin found a phone that he liked.			todo
Md73a34607048	51	story	6	It was about half the price of the others, so he bought it.			todo
M422f3134a671	51	story	7	He hopes it will last a long time.			todo
Mdf48a106d904	51	retell	1	My son has been looking for a new phone.			todo
M71880238e999	51	retell	2	He has looked in many stores in the area where we live, but he hasn't been unable to find an affordable one.			todo
M6a4d1838e53a	51	retell	3	He decided to look online instead.			todo
M91075b53e65e	51	retell	4	Even though he doesn't really trust online shopping, he was hoping that the online stores would be more affordable.			todo
Ma0875fc442f8	51	retell	5	After searching and scrolling for a few hours, he found a phone that he liked.			todo
Mfb4feed42fef	51	retell	6	It was about half the price of the others, so he bought it.			todo
M50b7e46977a5	51	retell	7	I hope it'll last him a long time.			todo
M055023c68a39	51	questions	1	One: Kevin has been looking for a new phone.			todo
M2048eeb02ae3	51	questions	2	What has Kevin been looking for?			todo
Medc656cfe42b	51	questions	3	Kevin has been looking for a new phone.			todo
M40059074bf73	51	questions	4	Two: He has looked in many stores in the area where he lives.			todo
M6ef059110cc2	51	questions	5	Where has he looked?			todo
M8b35e3c31ae0	51	questions	6	He has looked in many stores in the area where he lives.			todo
M4b1972eacdc6	51	questions	7	Three: Nonetheless, he's been unable to find an affordable one.			todo
Mfaef527db84b	51	questions	8	Has he been able to find an affordable phone?			todo
M42ebce64cadc	51	questions	9	No, he's been unable to find an affordable one.			todo
M99720e2a1d8c	51	questions	10	Four: Kevin has decided to look online instead.			todo
M83851e0a3cb5	51	questions	11	Where has Kevin decided to look instead?			todo
M51cfb87e991b	51	questions	12	Kevin has decided to look online instead.			todo
Mc8e996c22e41	51	questions	13	Five: Even though he doesn't really trust online shopping, he hopes online stores will be more affordable.			todo
M4c5544f84834	51	questions	14	Does he trust online shopping?			todo
M96d00261fa52	51	questions	15	No, he doesn't really trust online shopping.			todo
Mb5170426012c	51	questions	16	Six: After searching and scrolling for a few hours, he found a phone that he likes.			todo
Mc14bf30eb903	51	questions	17	How long did he search and scroll online?			todo
M2924ed750541	51	questions	18	A few hours.			todo
M9c322a09f514	51	questions	19	He found a phone that he liked after searching and scrolling for a few hours.			todo
M9635047a13c4	51	questions	20	Seven: It's about half the price of the others, so he bought it.			todo
Mb498790b4084	51	questions	21	Why did he buy it?			todo
Med8764922d88	51	questions	22	Because it's about half the price of the others.			todo
M173e7b6dd372	51	questions	23	Eight: He hopes it won't break easily, and that it will last a long time.			todo
M63905cd5aebd	51	questions	24	What does he hope won't happen?			todo
M5a875f5e02fb	51	questions	25	He hopes it won't break easily.			todo
