guid	num	part	seq	en	te	notes	status
M350303b5bde3	35	meta	1	Story Thirty-five - A Dog Called Max			todo
Me35d761ad098	35	meta	2	Here is the same story told in a different way.	ఇదే కథ మరో విధంగా చెప్పబడింది.		native
M3d0a93cc2321	35	story	1	My son had never had a dog before.			todo
M3ed2d87e787f	35	story	2	Then, he got a dog named Max.			todo
Meed658117478	35	story	3	My son loved Max very much.			todo
M2366d09e2025	35	story	4	Max was a small, cute dog.			todo
Mba5119bbd95a	35	story	5	He liked to run and play when he was a puppy.			todo
M2f3b04eba76a	35	story	6	My son and Max always played together.			todo
M74e522794c49	35	story	7	Max liked to get dirty.			todo
M965fb5231dbd	35	story	8	So my son often cleaned him and cut his long, dirty fur.			todo
Md40a2e43f7db	35	story	9	Max lived for a long time.			todo
Ma8934967ca77	35	story	10	He was fifteen years old when he passed away.			todo
M9ecf6dca43b6	35	retell	1	I will be getting a dog next year.			todo
M4763dde010f2	35	retell	2	My dog's name will be Max.			todo
M826385f1387d	35	retell	3	I will love Max very much.			todo
M59edc0f00619	35	retell	4	He will be a small, cute dog.			todo
M97979edae372	35	retell	5	Max will run and play a lot when he is a puppy.			todo
M539ae9271e75	35	retell	6	Max and I will always play together.			todo
M8166a735f3cc	35	retell	7	Max will probably be getting dirty a lot.			todo
M77d45e4d55ef	35	retell	8	So I will clean him often and cut his long, dirty fur.			todo
M12076a63a8aa	35	retell	9	Max will live for a long time.			todo
Ma09c9c164294	35	retell	10	He'll probably be around fifteen years old when he passes away.			todo
M2567f33628f1	35	questions	1	One: The son had never had a dog before.			todo
Mff8defb84ebe	35	questions	2	What had the son never had?			todo
M3254148dc3ff	35	questions	3	The son had never had a dog before			todo
M969c7cc63e0d	35	questions	4	Two: Then he got a dog named Max.			todo
M139e5657bb04	35	questions	5	What is the dog's name?			todo
M850ea2bfe846	35	questions	6	The dog's name is Max.			todo
M75026bba9754	35	questions	7	Three: Max was a small, cute dog.			todo
Mc996ed791d18	35	questions	8	Was Max a big dog?			todo
Mf160c7787ddd	35	questions	9	No, Max was not a big dog.			todo
Mb82814775498	35	questions	10	He was a small dog.			todo
M0087d8e949b1	35	questions	11	Four: Max had liked to run and play when he was a puppy.			todo
M1a4a1c03b087	35	questions	12	What had Max liked to do?			todo
M88d310afc923	35	questions	13	Max had liked to run and play when he was a puppy.			todo
M46a23263b85f	35	questions	14	Five: Max and the son will always play together.			todo
Mc5804e992b26	35	questions	15	Will the son play with Max?			todo
Mb1b233001bed	35	questions	16	Yes, the son and Max will always play together.			todo
M1ae897e6cf32	35	questions	17	Six: Max will probably be getting dirty a lot.			todo
M8b65a73eed10	35	questions	18	What will Max be doing?			todo
Mc3e154b6f494	35	questions	19	Max will probably be getting dirty a lot.			todo
M3d515c0e93b7	35	questions	20	Seven: The son will clean Max often.			todo
Mc0cadfe47222	35	questions	21	Will the son's Mom be cleaning Max?			todo
M39ab037093f3	35	questions	22	No, she won't.			todo
Mb41acf51c7b7	35	questions	23	The son will clean Max often.			todo
