guid	num	part	seq	en	te	notes	status
M3bf6efa04449	33	meta	1	Story Thirty-three - Eric Was in Class at University			todo
Me35d761ad098	33	meta	2	Here is the same story told in a different way.	ఇదే కథ మరో విధంగా చెప్పబడింది.		native
M69f793838b45	33	story	1	Eric was in class at university last week.			todo
M3ac807d7b75e	33	story	2	He had been listening to the professor.			todo
M19629242ddb5	33	story	3	But Eric had forgotten his textbook.			todo
Mf344dd644899	33	story	4	So he was confused by the class.			todo
Ma6b265f05536	33	story	5	Eric had asked another classmate for help.			todo
M11cc248b0644	33	story	6	He'd asked to look at the classmate's textbook.			todo
M06016b0a294a	33	story	7	Eric's classmate had said he could look at his textbook.			todo
M3627671ffdc4	33	story	8	Eric had said “thank you”, and looked at the textbook.			todo
M1ee34a984f90	33	story	9	He had tried to take notes about the class, but then, Eric realized he'd forgotten a pen, too.			todo
M2e4235035359	33	retell	1	I am in class at university right now.			todo
Mc812020c0f8f	33	retell	2	I have been listening to the professor.			todo
Mef38c4f4609c	33	retell	3	But I have forgotten my textbook.			todo
M21d92c7fdf2d	33	retell	4	So I am confused by the class.			todo
Mbbe037b14104	33	retell	5	I have asked another classmate for help.			todo
M7395c8fd99ea	33	retell	6	I've asked to look at the classmate's textbook.			todo
M4aada0a3331b	33	retell	7	My classmate has been letting me look at his textbook.			todo
Ma616da0b3aff	33	retell	8	I said, “thank you”.			todo
Mccbb19edb8e8	33	retell	9	I have been trying to take notes about the class, but then, I realized I've forgotten a pen, too.			todo
Mee8aa984b892	33	questions	1	One: Eric was in class at university.			todo
M280df65d412e	33	questions	2	Where was Eric?			todo
M2c3165e15288	33	questions	3	Eric was in class at university.			todo
Mfe91b7b6fc8a	33	questions	4	Two: Eric had been listening to the professor.			todo
M3f93e5f48421	33	questions	5	Who had Eric been listening to?			todo
M8e0fdeb6524b	33	questions	6	He had been listening to the professor.			todo
Mae565b005574	33	questions	7	Three: Eric had forgotten his textbook.			todo
Mb8aed2c8cd15	33	questions	8	What had Eric forgotten?			todo
M8e9ff0060caa	33	questions	9	Eric had forgotten his textbook.			todo
M4899e77627c3	33	questions	10	Four: Eric was confused by the class.			todo
M0bbe6fd61fea	33	questions	11	What was Eric confused by?			todo
M23e5ca62a858	33	questions	12	Eric was confused by the class.			todo
Ma684d42dcec5	33	questions	13	Five: He has asked another classmate for help and he has asked to look at his classmate's textbook.			todo
Me31fc9ae729d	33	questions	14	What has Eric done?			todo
M9b3ed3caaf1c	33	questions	15	He has asked another classmate for help, and has asked to look at his classmate's textbook.			todo
M265aabf9b3da	33	questions	16	Six: The classmate has been letting Eric look at his textbook.			todo
M9c5b3146a42a	33	questions	17	Has the classmate been letting Eric look at his textbook?			todo
Mc660f1763f58	33	questions	18	Yes, the classmate has been letting Eric look at his textbook.			todo
M5c55cbaf4d46	33	questions	19	Seven: Eric has been trying to take notes about the class.			todo
Me765a1b50b0d	33	questions	20	What has Eric been trying to do?			todo
M5e6697d18faf	33	questions	21	He has been trying to take notes about the class.			todo
M327984ff23be	33	questions	22	Eight: Eric realized that he'd forgotten a pen, too.			todo
Mbc9136a04181	33	questions	23	What did Eric realize?			todo
M890414643de6	33	questions	24	Eric realized that he'd forgotten a pen, too.			todo
