guid	num	part	seq	en	te	notes	status
Me978786a1fe4	42	meta	1	Story Forty-two - Erica Buys a New Dog			todo
Me35d761ad098	42	meta	2	Here is the same story told in a different way.	ఇదే కథ మరో విధంగా చెప్పబడింది.		native
Maac843a6bfb7	42	story	1	Erika wants to buy a new dog.			todo
M9bc81d20fc0b	42	story	2	She is looking at dogs in a pet store.			todo
Mceefdb59c761	42	story	3	She asks the store clerk some questions.			todo
Mf557a06219d5	42	story	4	She asks, “What kind of dog is the friendliest?”			todo
M51d3c309c3ce	42	story	5	The store clerk says, “That one”.			todo
Mf0955a45f084	42	story	6	And he points to the smallest dog.			todo
Mc4c59b3ba0c3	42	story	7	Erika asks, “Which dog is the smartest?”			todo
M8fddf6606832	42	story	8	The clerk points to the same dog again.			todo
Ma34103998571	42	story	9	Erika thinks that dog is the best.			todo
Ma8a01c7e6bdf	42	story	10	She decides to buy it.			todo
M06f3feb171b4	42	story	11	She hopes her other pets will like the new dog.			todo
M5d1cc2155c55	42	retell	1	My sister wanted to buy a new dog.			todo
M9ab214eadf95	42	retell	2	She was looking at dogs in a pet store.			todo
M54dfbf47529e	42	retell	3	She asked the store clerk some questions.			todo
M5c33c7f72fde	42	retell	4	She asked, “What kind of dog is the friendliest?”			todo
M9fad514c1e8f	42	retell	5	The store clerk said, “That one”.			todo
M4f1bd479f810	42	retell	6	And he pointed to the smallest dog.			todo
M319d19c5d47a	42	retell	7	My sister asked, “Which dog is the smartest?”			todo
Mec0f5aefaa50	42	retell	8	The clerk pointed to the same dog.			todo
M95c6dce65737	42	retell	9	My sister thought that dog was the best.			todo
M0102f63096a4	42	retell	10	She decided to buy it.			todo
M329219608a08	42	retell	11	She hoped her other pets would like the new dog.			todo
M908655a4fdd1	42	questions	1	One: Erika wants to buy a new dog.			todo
M7923b352db98	42	questions	2	What does Erika want to buy?			todo
Ma9e408fe4384	42	questions	3	Erika wants to buy a new dog.			todo
Mfc126d692190	42	questions	4	Two: The store clerk says the smallest dog is the friendliest one.			todo
Ma93c1cfda8cd	42	questions	5	Which one is the friendliest dog?			todo
Mcffa2eeb90a4	42	questions	6	The store clerk says the smallest dog is the friendliest one.			todo
M22c82557f2b4	42	questions	7	Three: Erika thinks the smallest, friendliest, smartest dog is the best one.			todo
M6f798f457441	42	questions	8	Which one does Erika think is the best?			todo
M40b22328fef4	42	questions	9	Erika thinks the smallest, friendliest, smartest dog is the best one.			todo
M1e7519eb8896	42	questions	10	Four: Erika hopes her other pets will like the new dog.			todo
M40a80b58608f	42	questions	11	What does Erika hope?			todo
Mfee14a3e91ec	42	questions	12	She hopes her other pets will like the new dog.			todo
Mb0c46600f649	42	questions	13	Five: She was looking at dogs in a pet store.			todo
M5e6b2722574a	42	questions	14	Where was she looking at dogs?			todo
Md1256c18b3bb	42	questions	15	She was looking at dogs in a pet store.			todo
Maa816c035ba5	42	questions	16	Six: She asked the store clerk, “What kind of dog is the friendliest?”			todo
M0c9622d001ec	42	questions	17	What did she ask the store clerk?			todo
Mbf0bc1abd86f	42	questions	18	She asked the store clerk, “What kind of dog is the friendliest?”			todo
Mb89246c9383d	42	questions	19	Seven: The smallest dog is also the smartest.			todo
M99f59588736b	42	questions	20	Which dog is the smartest?			todo
Maa5f424fbdf2	42	questions	21	The smallest dog is also the smartest.			todo
M07f9aa113abb	42	questions	22	Eight: The sister decided to buy the one she liked the best.			todo
M469fb576695c	42	questions	23	Which dog did she decide to buy?			todo
M410f801f1cf9	42	questions	24	She decided to buy the one she liked the best.			todo
