guid	num	part	seq	en	te	notes	status
Md9990f7df9f3	6	meta	1	Story Six - Jane and Fred's Night Routine			todo
Me35d761ad098	6	meta	2	Here is the same story told in a different way.	ఇదే కథ మరో విధంగా చెప్పబడింది.		native
Ma1109e049555	6	story	1	Jane and Fred are tired at night.	జేన్ మరియు ఫ్రెడ్ రాత్రి అలసిపోయారు		native
M275b9ea35d8b	6	story	2	They eat dinner together at seven.	ఏడు గంటలకు వాళ్ళు డిన్నర్ తిన్నారు		native
M787bfa38e02b	6	story	3	Their son eats dinner with them.	వాళ్ళ కొడుకు వారితో కలిసి డిన్నర్ తిన్నాడు		native
M322c8beeeed2	6	story	4	They relax and watch TV together.	వాళ్ళు రిలాక్స్ అయ్యి కలిసి టీవి చూశారు		native
Mb5ad4d444fc9	6	story	5	Their son watches TV, too.	వాళ్ళ కొడుకు కూడా టీవి చూశాడు		native
M59f071e47bc9	6	story	6	They put their son to bed at eight.	వాళ్ళు వాళ్ళ కొడుకుని ఎనిమిది గంటలకు నిద్రపుచ్చారు		native
M2c882c11e313	6	story	7	Jane has a hot bath.	జేన్ వేడి నీటితో స్నానం చేసింది		native
Mcc7a7827960a	6	story	8	Fred has a shower and brushes his teeth.	ఫ్రెడ్ స్నానం చేసి, పళ్ళు తోముకున్నాడు		native
Mca4ae6193d71	6	story	9	Jane reads a book but falls asleep.	జేన్ పుస్తకం చదువుతూ నిద్ర పోయింది		native
Mf8b1392efe4d	6	story	10	Fred also falls asleep soon after.	తర్వాత ఫ్రెడ్ కూడా కాసేపటికి నిద్రపోయాడు		native
Md34e6a9281a5	6	retell	1	Fred and I are tired at night.	ఫ్రెడ్ మరియు నేను రాత్రి అలసిపోయాము		native
Mb408011fb1d7	6	retell	2	We eat dinner together at seven.	మేము ఏడు గంటలకు కలిసి డిన్నర్ తిన్నాము		native
M871bc7a11fa6	6	retell	3	Our son eats dinner with us.	మా కొడుకు మాతో పాటు డిన్నర్ చేస్తాడు		native
Md82c09f5f626	6	retell	4	We relax and watch TV together.	మేము రిలాక్స్ అయ్యి కలిసి టీవి చూస్తాము		native
Mf3f5ba5cc9e7	6	retell	5	Our son watches TV, too.	మా కొడుకు కూడా టీవి చూస్తాడు		native
Mb7dcfcea4ff0	6	retell	6	We put our son to bed at eight.	ఎనిమిది గంటలకు మేము మా కొడుకుని నిద్రపుచ్చుతాము		native
M4be33bb4a292	6	retell	7	I have a hot bath.	నేను వేడినీటి స్నానం చేశాను		native
M751bc36481b0	6	retell	8	Fred has a shower and brushes his teeth.	ఫ్రెడ్ స్నానం చేసి, పళ్ళు తోముకున్నాడు		native
M154b314861a3	6	retell	9	I read a book, but fall asleep.	నేను పుస్తకం చదువుతూ నిద్ర పోయాను		native
Md878c5aeafd1	6	retell	10	Fred also falls asleep soon after.	తర్వాత ఫ్రెడ్ కూడా కాసేపటికి నిద్రపోయాడు		native
