guid	num	part	seq	en	te	notes	status
Me19252d045f9	41	meta	1	Story Forty-one - Allen Is at a Restaurant			todo
Me35d761ad098	41	meta	2	Here is the same story told in a different way.	ఇదే కథను ఇప్పుడు వేరే విధంగా చెప్తున్నాను.		draft
Mc87aa42c1999	41	story	1	Allen is at a restaurant with his friend.			todo
M172c984de90c	41	story	2	It's their first time at this restaurant, and they are deciding what to eat.			todo
M75522bce65c5	41	story	3	Allen wants to order three different dishes since he wants to try the new items on the menu.			todo
M9d2b338d348c	41	story	4	But if he orders a lot of food, he will have to pay more than his friend.			todo
M48f04adf1b7d	41	story	5	Allen's friend is not very hungry; therefore, Allen's friend only orders a few small dishes.			todo
Ma42a3bf0fb50	41	story	6	So Allen decides to only get a few small dishes as well.			todo
Me4fd2b4f6ea5	41	retell	1	I was at a restaurant with my friend.			todo
M98df93898ceb	41	retell	2	It was our first time at the restaurant, so we were deciding what to eat.			todo
M9b9e73c1161f	41	retell	3	I wanted to order three different dishes since I wanted to try the new items on the menu.			todo
M333460d8a8da	41	retell	4	But if I ordered a lot of food, I would have had to pay more than my friend.			todo
Ma75a8746fc8b	41	retell	5	My friend was not very hungry, so my friend only ordered a few small dishes.			todo
M6df96325fd59	41	retell	6	I decided to only get a few small dishes as well.			todo
Mb4b69160204f	41	questions	1	One: Allen is at the restaurant with his friend.			todo
M683b9059b378	41	questions	2	Who is Allen at the restaurant with?			todo
M10f2d7e3285e	41	questions	3	Allen is at the restaurant with his friend.			todo
M3ecac93cbaaa	41	questions	4	Two: Allen and his friend are deciding what to eat at the restaurant.			todo
Me463229e1042	41	questions	5	What are Allen and his friend doing?			todo
M20daa37131d6	41	questions	6	They are deciding what to eat at the restaurant.			todo
M5876926aac05	41	questions	7	Three: Allen's friend was not very hungry.			todo
M4a7bc6ae096d	41	questions	8	Was Allen's friend very hungry?			todo
Mb50d6b8dd0dc	41	questions	9	No, he wasn't.			todo
M265fee9241c5	41	questions	10	Allen's friend was not very hungry.			todo
M97033efc0629	41	questions	11	Four: Allen's friend only orders a few small dishes.			todo
M8c63ba1834de	41	questions	12	How much food does Allen's friend order?			todo
M99e36bb2dd57	41	questions	13	Allen's friend only orders a few small dishes.			todo
M6c6d167ec092	41	questions	14	Five: It was the first time Allen and his friend went to the restaurant.			todo
M675973504726	41	questions	15	Had Allen and his friend been to the restaurant before?			todo
Md87b8f7f2306	41	questions	16	No, it was their first time there.			todo
M4b113bcbd3da	41	questions	17	Six: Allen wanted to order three different dishes.			todo
M2404a0bd4593	41	questions	18	How much food did Allen want to order?			todo
Ma381236b5ec0	41	questions	19	Allen wanted to order three different dishes.			todo
Mf96d097b999d	41	questions	20	Seven: If Allen had ordered lots of food, he would have had to pay more than his friend.			todo
M4717dd95ce47	41	questions	21	What would have happened if Allen had ordered lots of food?			todo
Mc4d5b2c626f5	41	questions	22	He would have had to pay more than his friend.			todo
Ma8518bec799f	41	questions	23	Eight: Allen decided to only get a few small dishes as well.			todo
Mfb26721beead	41	questions	24	What did Allen decide to get as well?			todo
M01d093f0c242	41	questions	25	Allen decided to only get a few small dishes, as well.			todo
