guid	num	part	seq	en	te	notes	status
Mbe087ae442b2	46	meta	1	Story Forty-six - Lin Is Nervous About Her Presentation			todo
Me35d761ad098	46	meta	2	Here is the same story told in a different way.	ఇదే కథను ఇప్పుడు వేరే విధంగా చెప్తున్నాను.		draft
M385e9478355d	46	story	1	Lin will be catching a flight to Los Angeles tonight.			todo
M3bd6e3f4192e	46	story	2	She has an important sales presentation to give there.			todo
M6bb01cbccd71	46	story	3	She is very nervous about it since this will be her first time speaking in front of a large audience.			todo
M519a710c365a	46	story	4	Her boss told her it was very important that she does a good job.			todo
Mf415e7ae9437	46	story	5	He said that the success of the new product depended on her.			todo
M9eff2cf30d42	46	story	6	Lin doesn't like this kind of pressure.			todo
M70a1b6e377d3	46	story	7	She's worried that she will get fired if she makes a mistake.			todo
Mae65999465eb	46	story	8	Nevertheless, she's trying to think positively.			todo
M8fff2cdb1e19	46	story	9	Maybe if she does well, she will get promoted instead.			todo
M22a85751a11c	46	retell	1	I am catching a flight to Los Angeles tonight.			todo
Me4842765e384	46	retell	2	I have an important sales presentation to give there.			todo
Meb89e4df2b70	46	retell	3	I am very nervous about it since this is going to be my first time speaking in front of a large audience.			todo
M442084daf246	46	retell	4	My boss told me it's very important that I do a good job.			todo
M7d7fcdc78457	46	retell	5	He said that the success of the new product depends on me.			todo
M6c406acc0036	46	retell	6	I don't like this kind of pressure.			todo
Mb33c65ee523e	46	retell	7	I'm worried I'll get fired if I make a mistake.			todo
Mf01cc90bc4b5	46	retell	8	Nevertheless, I'm trying to think positively.			todo
M0f2929a0f710	46	retell	9	Maybe if I do well, I'll get promoted instead.			todo
Md573dddf7fb4	46	questions	1	One: Lin will be catching a flight to LA tonight.			todo
Mcd29e6d0c223	46	questions	2	When will Lin be catching a flight?			todo
M0031da1edfd4	46	questions	3	Lin will be catching a flight to LA tonight.			todo
M81fc93821271	46	questions	4	Two: She has an important sales presentation to give there.			todo
M1968bcca0ecf	46	questions	5	What will she be doing there?			todo
Mc3349c542f29	46	questions	6	She has an important sales presentation to give there.			todo
Me3b3dfe5bfed	46	questions	7	Three: She is very nervous about it since this will be her first time speaking in front of a large audience.			todo
M75ebbf34f75a	46	questions	8	Why is she very nervous?			todo
M4efa88ac392e	46	questions	9	Because this will be her first time speaking in front of a large audience.			todo
Mdd7a0690e8a2	46	questions	10	Four: Her boss told her it's very important that she does a good job.			todo
M3f86b0613e60	46	questions	11	What did her boss tell her?			todo
Me6dcf4ab95ae	46	questions	12	Her boss told her it's very important that she does a good job.			todo
M408d5ef5bbc0	46	questions	13	Five: He said that the success of the new product depends on her.			todo
M7e5b45315ac6	46	questions	14	What did he say?			todo
M38852e6dc370	46	questions	15	He said that the success of the new product depends on her.			todo
Med2115d86090	46	questions	16	Six: Lin is worried she'll get fired if she makes a mistake.			todo
Mff30f45b8b10	46	questions	17	What is she worried about?			todo
Mbfa3288cf5cb	46	questions	18	She's worried she'll get fired if she makes a mistake.			todo
Mf8e8aeecf3e5	46	questions	19	Seven: Nevertheless, she's trying to think positively.			todo
Mbf48fef3f245	46	questions	20	How is she trying to think?			todo
M22c9109c6fca	46	questions	21	She's trying to think positively.			todo
M60971f07c385	46	questions	22	Eight: Maybe if Lin does well, she'll get promoted instead.			todo
Md9880401311f	46	questions	23	What might happen if she does well?			todo
M2f1ce666e950	46	questions	24	Maybe if Lin does well, she'll get promoted instead.			todo
