guid	num	part	seq	en	te	notes	status
M551ba0f09955	55	meta	1	Story Fifty-five - Sally and George Want to Buy a New Home			todo
Me35d761ad098	55	meta	2	Here is the same story told in a different way.	ఇదే కథను ఇప్పుడు వేరే విధంగా చెప్తున్నాను.		draft
Md9efb06a0f3f	55	story	1	Sally and George would like to buy a new home because their two children are growing.			todo
M023f98075925	55	story	2	Unfortunately, it has become difficult to buy a new home because the cost of housing has risen faster than people's incomes.			todo
Mf49df15cfa99	55	story	3	In order to be able to buy a new home, they have been saving money for years.			todo
M03b6d1967470	55	story	4	If they want to buy a single-family house, they would have to live far from the city.			todo
M40e8e1d1825e	55	story	5	This would mean a long commute to their jobs for both of them.			todo
M35851e75e5d3	55	story	6	They looked at apartments but these were either too small or in neighbourhoods they don't like.			todo
Mf4d5c468bf44	55	story	7	They realize that even though they both work hard and don't spend money unwisely, they still can't afford the home that they want.			todo
Mdf03d34276d7	55	story	8	They thought, at one point, of renting a home, but really felt they wanted to own their own home.			todo
Mad662809212b	55	story	9	Finally, they decided to move to a smaller town.			todo
M8fbb10cbe695	55	story	10	They feel they can live a simpler life there and enjoy a better family life.			todo
Mb8f8054964ee	55	retell	1	We had wanted to buy a new home because our two children had grown older.			todo
M3192fa703a79	55	retell	2	Unfortunately, it had become difficult to buy a new home because the cost of housing had risen faster than our incomes.			todo
M34d5c4510b30	55	retell	3	In order to be able to buy a new home, we had been saving money for years.			todo
M9ef0d68ffbeb	55	retell	4	If we had wanted to buy a single-family house, we would have had to live far from the city.			todo
Md2a3b306fdf8	55	retell	5	This would have meant a long commute to our jobs for both of us.			todo
M5a20cc205430	55	retell	6	We had looked at apartments but these were either too small or in neighbourhoods we didn't like.			todo
M502cdcf10b55	55	retell	7	We realized that even though we both worked hard and didn't spend money unwisely, we still couldn't afford the home that we wanted.			todo
M400ea34544b5	55	retell	8	We had thought, at one point, of renting a home, but really felt we preferred to own our own home.			todo
M9415b773e99c	55	retell	9	Finally, we decided to move to a smaller town.			todo
Mfbdeff7e23d6	55	retell	10	We felt we could live a simpler life there and enjoy a better family life.			todo
M83c8505e4bfd	55	questions	1	One: Sally and George want to buy a new home because their two children are growing.			todo
M0e8f0a115b92	55	questions	2	Why do Sally and George want to buy a new home?			todo
M74e8c934c2c5	55	questions	3	They want to buy a new home because their children are growing.			todo
M216a6d0c5a8c	55	questions	4	Two: They have been saving money for years.			todo
M0c1e89e3b153	55	questions	5	How long have Sally and George been saving money?			todo
M5d3ed8eb4ced	55	questions	6	They have been saving money for years.			todo
M4bbf4aab49be	55	questions	7	Three: If they want to buy a single-family house, they would have to live far from the city.			todo
Mf726b95ec457	55	questions	8	What would happen if they were to buy a single-family house?			todo
M9cfa66d49132	55	questions	9	They would have to live far from the city.			todo
Mbd1d00521730	55	questions	10	Four: They looked at apartments but these were either too small or in neighbourhoods they didn't like.			todo
M8250cb6aaf12	55	questions	11	Why don't they like the apartments they looked at?			todo
M80c8c94395fc	55	questions	12	They don't like the apartments they looked at because they were either too small or in neighbourhoods they didn't like			todo
Mce435339a5ef	55	questions	13	Five: We had wanted to buy a new home because our two children had grown older.			todo
M350e7718691d	55	questions	14	What had we wanted to do?			todo
M150477d3a7fa	55	questions	15	You had wanted to buy a new home because your two children had grown older.			todo
M714e01359014	55	questions	16	Six: We had thought, at one point, of renting a home.			todo
Mbee1895c541e	55	questions	17	What had we thought about at one point?			todo
Me986d43228f2	55	questions	18	You had thought, at one point, about renting a home.			todo
M9baef53a031f	55	questions	19	Seven: We really felt we preferred to own our own home.			todo
M18dbf4a4a8c9	55	questions	20	What did we feel we preferred to own?			todo
M74a756f337ae	55	questions	21	You felt you preferred to own your own home.			todo
M33fe408d9b8c	55	questions	22	Eight: Finally we decided to move to a smaller town.			todo
M08ed304a16fb	55	questions	23	What did we finally decide?			todo
M3419170d0b18	55	questions	24	You finally decided to move to a smaller town.			todo
