guid	num	part	seq	en	te	notes	status
M3f97b8079aeb	32	meta	1	Story Thirty-two - Sara Makes Breakfast for her Family			todo
Me35d761ad098	32	meta	2	Here is the same story told in a different way.	ఇదే కథ మరో విధంగా చెప్పబడింది.		native
M24f8592b25ec	32	story	1	Sara had been trying to make breakfast all morning.			todo
M4f8ae009443d	32	story	2	Her son and husband had been waiting for breakfast, too.			todo
Mac7c5574297a	32	story	3	There hadn't been much food when Sara looked in the fridge.			todo
M71f7cb2ea9ef	32	story	4	All she saw were eggs, bread, and milk.			todo
Mc15612359c79	32	story	5	In the end, she decided to cook some eggs.			todo
M906865ef7900	32	story	6	She boiled a pot of water and she put three eggs into the water.			todo
M8476eae03702	32	story	7	She also made a tea for herself and her husband.			todo
M38abf9f5a818	32	story	8	Her son had orange juice instead.			todo
M19893c6f8d8e	32	retell	1	I have been trying to make breakfast all morning.			todo
Ma31fe4f198a2	32	retell	2	My son and husband have been waiting for breakfast, too.			todo
Mb04424d79297	32	retell	3	I looked in the fridge.			todo
Mc4d1accf4e93	32	retell	4	But there isn't much food.			todo
Mdb48362d4eae	32	retell	5	I saw eggs, bread, and milk.			todo
Mc5c9f752baa7	32	retell	6	So I've decided to cook some eggs.			todo
Mf060731924e2	32	retell	7	I'm boiling a pot of water and I have put three eggs into the water.			todo
M7230d88f5c0a	32	retell	8	I'm also making tea for myself and my husband.			todo
M7b84660b3e2b	32	retell	9	My son is having orange juice instead.			todo
M13be4f147448	32	questions	1	One: Sara had been trying to make breakfast.			todo
M91df70dee62c	32	questions	2	What had Sara been trying to make?			todo
Mbdf052f775a9	32	questions	3	Sara had been trying to make breakfast.			todo
M8d890b02beb5	32	questions	4	Two: Sara's husband and son had been waiting for breakfast.			todo
M9d5ff2e52e6b	32	questions	5	What had Sara's husband and son been waiting for?			todo
M6cfbbe6b1d7d	32	questions	6	They had been waiting for breakfast.			todo
M2a0d63b0df13	32	questions	7	Three: There wasn't much food in the fridge.			todo
Mcbeae11df391	32	questions	8	Was there much food in the fridge?			todo
M4407343c9f86	32	questions	9	No, there wasn't much food in the fridge.			todo
M9af4320f7c07	32	questions	10	Four: Sara saw eggs, bread, and milk in the fridge.			todo
Mb816b616af3d	32	questions	11	What had Sara seen in the fridge?			todo
M95e2189ef1ac	32	questions	12	Sara had seen eggs, bread, and milk in the fridge.			todo
Ma0a6645d94f4	32	questions	13	Five: Sara has decided to cook some eggs.			todo
M6d87b79f1231	32	questions	14	What did Sara decide to cook?			todo
Md2c75b0158aa	32	questions	15	Sara decided to cook some eggs.			todo
Mda7578fd91c1	32	questions	16	Six: Sara is boiling a pot of water, and has put three eggs into the water.			todo
Me9c7e79b730b	32	questions	17	What has Sara been doing?			todo
M2a7964ea90bd	32	questions	18	Sara has been boiling a pot of water, and has put three eggs into the water.			todo
M9b09768d9409	32	questions	19	Seven: Sara has also been making tea for herself and her husband.			todo
Mdfa42542a8dc	32	questions	20	What else has Sara been making?			todo
M9c6e2e2c2475	32	questions	21	Sara has also been making tea for herself and her husband.			todo
Me461c6c5e11f	32	questions	22	Eight: Sara's son is having orange juice.			todo
M472a22f3caac	32	questions	23	Is Sara's son having tea?			todo
Mdd37da3a28c7	32	questions	24	No, Sara's son isn't having tea.			todo
M6110a3323878	32	questions	25	He's having orange juice.			todo
