page	y	legacy	rom	te
0	374.3	Ðóþ$Mæü¯èþ$ ç³r$tMæü$¯èþ²		మేకను పట్టుకున్న
0	400.8	Mö…yæþ_Ë$Ðèþ		కొండచిలువ
0	451.1	V>ÓÍÄæý$ÆŠÿ, òÜò³t…ºÆŠÿ 26.		గ్వాలియర్‌, సెప్టెంబర్‌ 26.
0	466.4	Ððþ$$¯èþ² V>ÓÍÄæý$ÆŠÿ Mør BÐèþÆæÿ×ýÌZ JMæü		మొన్న గ్వాలియర్‌ కోట ఆవరణలో ఒక
0	481.4	ò³§æþª Mö…yæþ_Ë$Ðèþ JMæü Ðóþ$Mæü¯èþ$ ç³r$tMæü$°		పెద్ద కొండచిలువ ఒక మేకను పట్టుకుని
0	496.6	Ñ$…Væü$™èþ* E…yæþV> §é°² ç³r$tMæü$¯é²Ææÿ$.		మింగుతూ ఉండగా దాన్ని పట్టుకున్నారు.
0	511.9	Aç³µsìýMìü Ðóþ$Mæü ÔèýÈÆæÿ…ÌZ çÜV>°Mìü ò³OV>		అప్పటికి వక శరీరంలో సగానికి పైగా
0	527.1	Mö…yæþ_Ë$Ðèþ ¯øsìýÌZ°Mìü Ððþãå´ùÆÿ$$…¨.  Ðóþ$Mæü		కొండచిలువ నోటిలోనికి వెళ్ళిపోయింది. మేక
0	542.2	Ððþ¯èþMæü M>âæý$å Ðèþ*{™èþ… »ñýOsìýMìü Mæü°í³çÜ$¢¯é²Æÿ$$.		వెనక కాళ్ళు మాత్రం బైటికి కనిపిస్తున్నాయి.
0	557.4	B M>âæý$å ç³r$tMö° Ðóþ$Mæü¯èþ$ ºÄæý$sìýMìü ÌêV>Ææÿ$.		ఆ కాళ్ళు పట్టుకొని మేకను బయటికి లాగారు.
0	572.6	Aç³µsìýMìü Ðóþ$Mæü C…M> º†Mìü Ðèþ#…¨.  M>° B		అప్పటికి మేక ఇంకా బతికి వుంది. కాని ఆ
0	587.9	™èþÆ>Ó™èþ Mö¨ª õÜç³sìýMìü A¨ ^èþ_a´ùÆÿ$$…¨.		తర్వాత కొద్ది సేపటికి అది చచ్చిపోయింది.
0	602.9	Mö…yæþ_Ë$Ðèþ¯èþ$ Ýë¦°Mæü f…™èþ${ç³§æþÆæÿØ¯èþÔéËMæü$		కొండచిలువను స్థానిక జంతుప్రదర్శనౌాలకు
0	618.2	Aç³µW…^éÆæÿ$.  Mö…yæþ_Ë$Ðèþ çÜ$Ðèþ*Ææÿ$ 40		అప్పగించారు... కొండచిలువ సుమారు 40.
0	633.4	MìüÌZ{V>Ðèþ$$Ë ºÆæÿ$Ðèþ# Ðèþ#…¨.  §é° ÐèþÄæý$çÜ$Þ		కిలోగ్రాముల బరువు వుంది. దాని వయస్సు
1	160.3	ç³¨ çÜ…Ðèþ™èþÞÆ>Ë$.  A¨ ç³r$tMæü$¯èþ² Ðóþ$Mæü		పది సంవత్సరాలు. అది పట్టుకున్న మేక
1	175.6	ºÆæÿ$Ðèþ# 15 MìüÌZ{V>Ðèþ$$Ë$.		బరువు 15 కిలోగ్రాములు.
1	191.7	B…{«§æþ{ç³¿æý 27&9&1975		ఆంధ్రప్రభ 27-9-1975
1	239.9	´ëç³…, ÆæÿÑ!		పాపం, రవి!
1	277.9	ÆæÿÑ ºyìþMìü Ððþâæý*¢ §øÐèþÌZ JMæü gêÐèþ$		రవి బడికి వెళ్తూ దోవలో ఒక జామ
1	293.6	^ðþr$t¯èþ$ ^èþ*Ôéyæþ$.  ^ðþr$tMæü$ gêÐèþ$M>Äæý$Ë$¯é²Æÿ$$.		చెట్టును చూశాడు. చెట్టుకు జామకాయలున్నాయి.
