page	y	legacy	rom	te
0	385.4	Ðèþ$$QÈjV>Ææÿ$ {í³°Þ´ëÌŒý		ముఖర్జీగారు ప్రిన్సిపాల్‌
0	411.9	AÄæý*ÅÆæÿ$		అయ్యారు
0	452.7	ÔèýÆæÿÃ : ÆæÿÒ! GMæüPyìþMìü ´ù™èþ$¯é²Ðèþ#?		శర్మ: రవీ! ఎక్కడికి పోతున్నావు?
0	484.3	ÆæÿÑ : Ðèþ$$QÈjV>Ç…sìýMìü ´ù™èþ$¯é²¯èþ$.		రవి : ముఖర్జీగారింటికి పోతున్నాను.
0	500.0	BÄæý$¯èþ ÐéâæýÏ M>ÌôýiMìü {í³°Þ´ëË$		ఆయన వాళ్ల కాలేజీకి ప్రిన్సిపాలు
0	515.6	AÄæý*Åyæþ$ Væü§é!		అయ్యాడు గదా!
0	547.0	ÔèýÆæÿÃ : AÌêV>!		శర్మ: అలాగా!
0	578.2	ÆæÿÑ : ±Mæü$ D ÑçÙÄæý$… ™ðþÍÄæý$§é?		రవి: నీకు ఈ విషయం తెలియదా?
0	609.6	ÔèýÆæÿÃ : ¯éMæü$ H ÑçÙÄæý*Ë$ ™ðþÍÄæý$Ðèþ#. ¯óþ¯èþ$		శర్మ: నాకు ఏ విషయాలు తెలియవు. నేను
0	625.3	Mìü…§æþsìý ÐéÆæÿ… ÐéâæýÏ C…sìýMìü ´ùÄæý*¯èþ$		కిందటి వారం వాళ్ల ఇంటికి పోయాను.
0	641.4	Væü*yé!		గూడా!
1	159.9	ÆæÿÑ : °¯èþ² ¯éMæü$ Ððþ*çßý¯Œþ ^ðþ´ëµyæþ$.		రవి. : నిన్న నాకు మోహన్‌ చెప్పాడు.
1	191.3	ÔèýÆæÿÃ : Ððþ*çßý¯Œþ GÐèþÆæÿ$?		శర్మ: మోహన్‌ ఎవరు?
1	222.7	ÆæÿÑ : ±Mæü$ Ððþ*çßý¯Œþ ™ðþÍÄæý$§é?		రవి... నీకు మోహన్‌ తెలియదా?
1	253.8	ÔèýÆæÿÃ : K ™ðþË$çÜ$. Ðèþ$Ça´ùÄæý*¯èþ$.		శర్మ: ఓ తెలుసు. వుర్చిపోయాను.
1	269.5	Ðèþ$$QÈj V>Ç A»ê¾Æÿ$$ Væü§æþ*!		ముఖర్జీ గారి అబ్బాయి గదూ!
1	300.9	ÆæÿÑ : AÐèþ#¯èþ$. ¯èþ$Ðèþ#Ó Væü*yé ÐèþÝë¢Ðé?		రవి. : అవును. నువ్వు గూడా వస్తావా?
1	332.0	ÔèýÆæÿÃ : ç³§æþ ´ù§é…. AÆÿ$$™óþ Vø´ëËÆ>Ðèþ#		శర్మ: పద పోదాం. అయితే గోపాలరావు
1	347.7	ÐðþO‹Ü {í³°Þ´ëÌŒý AÐèþ#™éyæþ¯èþ²Ðèþ*r.		వైస్‌ ప్రిన్సిపాల్‌ అవుతాడన్నమాట.
1	379.1	ÆæÿÑ : AÐèþ#¯èþ$. Vø´ëËÆ>Ðèþ#Mæü$ VæüÆæÿÓ… GMæü$PÐèþ.		రవి: అత్తను. గోపాలరావ్రకు గర్వం ఎక్కువ.
1	394.8	™è¯èþ$ A…§æþÇMæü…sôý Vöç³µÐé×ìý~		తను అందరికంటే గొప్పవాణ్డి
1	410.5	A¯èþ$Mæü$…sêyæþ$.		అనుకుంటాడు.
1	441.6	ÔèýÆæÿÃ : A…™óþM>§æþ$. A…§æþÆæÿ* ™èþ¯èþ Ðèþ*sôý		శర్మ: అంతేకాదు. అందరూ తన మాటే
1	457.3	Ñ¯éÍ A¯èþ$Mæü$…sêyæþ$.		వినాలి అనుకుంటాడు.
