page	y	legacy	rom	te
0	380.4	GMæü$PÐèþV> †¯èþr… Ðèþ$…_¨		ఎక్కువగా తినటం మంచిది
0	402.7	M>§æþ$		కాదు
0	448.9	ÔèýÆæÿÃ : H… {ç³Ýë§Šþ!  MæüâæýågZyæþ$ G°²		శర్మ: ఏం ప్రసాద్‌! కళ్ళజోడు ఎన్ని
0	464.1	ÆøkË °…_ ò³r$tMæü$…r$¯é²Ðèþ#?		రోజుల నించి పెట్టుకుంటున్నావు?
0	479.3	¯èþ$Ðèþ#Ó MæüâæýågZyæþ$ ò³r$tMør…		నువ్యు కళ్ళజోడు పెట్టుకోటం
0	494.5	Cç³šyóþ ^èþ*çÜ$¢¯é²¯èþ$.		ఇప్పుడే చూస్తున్నాను.
0	525.0	{ç³Ýë§Šþ : ¯éË$Væü$ ÆøkË °…^óþ ò³r$tMæü$…&		ప్రసాద్‌: నాలుగు రోజుల నించే పెట్టుకుం-
0	540.2	r$¯é²¯èþ$.  Ò$ õ³rÌZ Câæý$å		టున్నాను.. మీ పేటలో ఇళ్ళు
0	555.4	RêäV> E¯é²Äæý*?		ఖాలీగా ఉన్నాయా?
0	585.9	ÔèýÆæÿÃ : G…§æþ$Mæü$?		శర్మ: ఎందుకు?
0	616.3	{ç³Ýë§Šþ : ¯éMæü$ M>ÐéÍ.		ప్రసాద్‌: నాకు కావాలి.
1	178.7	ÔèýÆæÿÃ : H…?  Ò$ CË$Ï »êV>¯óþ E…¨V>?		శర్మ: ఏం? మీ ఇల్లు బాగానే ఉందిగా?
1	206.3	{ç³Ýë§Šþ : CË$Ï »êV>¯óþ E…¨; M>° E…yæþyæþ…		ప్రసాద్‌: ఇల్లు బాగానే ఉంది; కాని ఉండడం
1	220.1	^éÌê MæüçÙt…V> E…¨.		చాలా కష్టంగా ఉంది.
1	247.7	ÔèýÆæÿÃ : H…?  C…r™èþ¯èþ$ Ðèþ$…_Ðéyæþ$ M>§é?		శు: ఏం? ఇంటతను మంచివాడు కాదా?
1	275.3	{ç³Ýë§Šþ : C…r™èþ¯èþ$ Ðèþ$…_Ðéyóþ!  M>°		ప్రసాద్‌: ఇంటతను మంచివాడే! కాని
1	289.1	CËÏ…™é `Mæüsìý.  Gç³šyæþ* ÌñýOr$		ఇల్లంతా చీకటి. ఎప్పుడూ లైటు
