page	y	legacy	rom	te
0	378.4	Ò$Ææÿ$, Ðóþ$…, Ðèþ$¯èþ…		మీరు, మేం, మనం
0	478.1	Æ>k : ÎÌê! Ðéâæý$Ï G…™èþÐèþ$…¨?	rāju : līlā! vāḷlu eṁtamaṁdi?	రాజు: లీలా! వాళ్లు ఎంతమంది?
0	539.0	ÎË : Ðéâæý$Ï BÆæÿ$Væü$Ææÿ$.	līla : vāḷlu āruguru.	లీల 2... వాళ్లు ఆరుగురు.
0	599.9	Æ>k : ¯óþ¯èþ$ JMæü×ìý~. DÄæý$¯èþ JMæüÆæÿ$		రాజు. 2... నేను ఒకణ్ణి. ఈయన ఒకరు
0	615.1	Ðóþ$… G…™èþÐèþ$…¨Ñ$?		మేం ఎంతమందిమి?.
1	253.4	ÎË : Ò$Ææÿ$ C§æþªÆæÿ$.	līla : mīru iddaru.	లీల. : మీరు ఇద్దరు.
1	312.7	Æ>k : Ðóþ$… C§æþªÆæÿ…. ¯èþ$Ðèþ#Ó JMæü™ðþÑ.		రాజు... : మేం ఇద్దరం. నువ్వు ఒకతెవి.
1	327.5	Ðèþ$¯èþ… G…™èþ Ðèþ$…¨Ñ$?		మనం ఎంత మందిమి?
1	418.6	ÎË : Ðèþ$¯èþ… Ðèþ$$Væü$YÆæÿ….	līla : manaṁ mugguraṁ	లీల. మనం ముగ్గురం.
1	480.3	Æ>k : C™èþ¯èþ$ JMæüyæþ$. DÐðþ$ JMæü™ðþ.		రాజు... : ఇతను ఒకడు. ఈమె ఒకతె.
1	494.9	Òâæý$Ï G…™èþ Ðèþ$…¨?		వీళ్లు ఎంత మంది?
1	586.3	ÎË : Ðéâæý$Ï C§æþªÆæÿ$	līla : vāḷlu iddaru.	లీల. 2 వాళ్లు ఇద్దరు
2	179.8	Æ>k : Ðéâæý$Ï C§æþªÆæÿ$; BÄæý$¯èþ JMæüÆæÿ$.		రాజు... : వాళ్లు ఇద్దరు; ఆయన ఒకరు.
2	195.0	BÐðþ$ JMæüÆæÿ$.		ఆమె ఒకరు.
2	210.2	Ðéâæý$Ï Ððþ$$™èþ¢… G…™èþÐèþ$…¨?		వాళ్లు మొత్తం ఎంతమంది?
2	334.4	ÎË : Ðéâæý$Ï ¯èþË$Væü$Ææÿ$. ¯èþ$Ðèþ#Ó JMæüyìþÑ		లీల... వాళ్లు నలుగురు. నువ్వు ఒకడివి
2	349.6	Ò$Ææÿ$ G…™èþÐèþ$…¨?		మీరు ఎంతమంది?
2	440.9	Æ>k : Ðóþ$… I§æþ$Væü$Ææÿ….	rāju : mēṁ aiduguraṁ.	రాజు... : మేం ఐదుగురం.
2	501.8	ÎË : Ò$Ææÿ$ I§æþ$Væü$Ææÿ$. Òâæý$Ï C§æþªÆæÿ$.		లీల... : మీరు ఐదుగురు. వీళ్లు ఇద్దరు.
2	517.1	Ò$Ææÿ$ Ððþ$$™èþ¢… G…™èþÐèþ$…¨?		మీరు మొత్తం ఎంతమంది?
3	179.8	Æ>k : Ðóþ$… Hyæþ$Væü$Ææÿ….	rāju : mēṁ ēḍuguraṁ.	రాజు... : మేం ఏడుగురం.
3	240.6	ÎË : Ò$Ææÿ$ Hyæþ$Væü$Ææÿ$. ¯óþ¯èþ$ JMæü™ðþ°.		లీల. : మీరు ఏడుగురు. నేను ఒకతెని.
3	255.9	Ðèþ$¯èþ… Ððþ$$™èþ¢… G°Ñ$¨Ðèþ$…¨Ñ$.		మనం మొత్తం ఎనిమిదిమందిమి.
3	362.4	Æ>k : Ðèþ$¯èþ… G°Ñ$¨Ðèþ$…¨Ñ$. DÐðþ$		రాజు... : మనం ఎనిమిదిమందిమి. ఈమె
3	377.6	JMæüÆæÿ$. Ðèþ$¯èþ… Ððþ$$™èþ¢…		ఒకరు. మనం మొత్తం
3	392.9	™öÑ$Ã¨Ðèþ$…¨Ñ$.		తొమ్మిదిమందిమి.
3	499.4	VøÑ…§æþ$ : Ò$Ææÿ$ ™öÑ$Ã¨Ðèþ$…¨. ¯óþ¯èþ$ JMæü×ìý~.		గోవిందు. : మీరు తొమ్మిదిమంది. నేను ఒకణ్ణి.
3	514.6	Ðèþ$¯èþ… ç³¨Ðèþ$…¨Ñ$.		మనం పదిమందిమి.
4	179.6	´ëÆæÿÓ† : Ò$Ææÿ$ ç³¨Ðèþ$…¨. Ðéâæý$Ï		పార్వతి. : మీరు పదిమంది. వాళ్లు
4	194.4	ç³§æþMö…yæþ$Ðèþ$…¨. Òâæý$Ï		'పదకొండుమంది. వీళ్లు
4	209.4	ç³¯ðþ²…yæþ$Ðèþ$…¨. Ðóþ$…		పన్నెండుమంది. మేం.
4	224.2	ç³¨õßý¯èþ$Ðèþ$…¨Ñ$.		'పదిహేనుమందిమి.
4	355.5	Ðèþ*çÙtÆæÿ$ : X™é! ¯èþ$Ðèþ#Ó GÐèþÇÑ?	māṣṭaru : gītā! nuvvu evarivi?	'మాష్టరు. : గీతా! నువ్వు ఎవరివి?
4	415.0	X™èþ : ¯óþ¯èþ$ Ñ§éÅÇ¦°°.	gīta : nēnu vidyārthinini.	గీత. 2 నేను విద్యార్థినిని.
