page	y	legacy	rom	te
0	377.9	ç³NË$ MøÆÿ$$…_ CÝë¢¯èþ$		పూలు కోయించి ఇస్తాను
0	439.6	çÜÆæÿâæý : Æ>«§é!  ¯éMæü$ Ðèþ$ÌñýÏç³NË$ M>ÐéÍ.		సరళ: రాధా! నాకు మల్లెపూలు కావాలి.
0	456.2	MøíÜÝë¢Ðé?		కోసిస్తావా?
0	489.4	Æ>«§æþ : Cç³šyæþ$ ¯éMæü$ sñýOÐèþ$$ Ìôý§æþ$.  ïÜ™èþ		రాధ. : ఇప్పుడు నాకు టైము లేదు. సీత
0	505.9	Ðèþ_a¯èþ ™èþÆ>Ó™èþ §é° ^óþ™èþ MøÆÿ$$…_		వచ్చిన తర్వాత దాని చేత కోయించి
0	522.5	CÝë¢¯èþ$. D E…VæüÆæÿ… Gç³šyæþ$		ఇస్తాను. ఈ ఉంగరం ఎప్పుడు
0	539.1	Mö¯é²Ðèþ#?		కొన్నావు?
0	572.2	çÜÆæÿâæý : °¯èþ² Ðèþ* AÐèþ$Ã¯èþ$ ºËÐèþ…™èþ… ^óþíÜ		సరళ :_ నిన్నమా అమ్మను బలవంతం చేసి
0	588.8	Mö°í³…^é¯èþ$. C¨ Mö¯èþ²ç³µsìý°…`		కొనిపించాను. ఇది కొన్నప్పటినించీ
0	605.4	Ðèþ* ™èþÐèþ$$Ãyæþ$ ©° MøçÜ… ¯é™ø		మా తమ్ముడు దీని కోసం నాతో
0	622.0	´ùsêÏr.		పోట్లాట.
1	160.6	Æ>«§æþ : AÌêV>!  ç³NË$ MøÆÿ$$…_ CÝë¢¯èþ$;		రాధ. : అలాగా! పూలు కోయించి ఇస్తాను;
1	176.2	¯èþ$Ðèþ#Ó Ò$ AÐèþ$Ã ^óþ™èþ Ðèþ*Ë Mæüsìýt…_		నువ్వు మీ అమ్మ చేత మాల కట్టించి
1	191.9	ç³…í³Ýë¢Ðé?		పంపిస్తావా?
1	223.3	çÜÆæÿâæý : Ðèþ* AMæüPÄæý$Å Ðèþ*Ë »êV> Mæüyæþ$¢…¨.		సరళ :. మా అక్కయ్య మాల బాగా కడ్డుంది.
1	239.0	§é° ^óþ™èþ MæüsìýtÝë¢¯èþ$.  ¯óþ¯èþ$ MøÝë¢¯èþ$Ìôý		దాని చేత కట్టిస్తాను. నేను కోస్తానులే
1	254.5	ç³NË$.		పూలు.
1	285.8	Æ>«§æþ : AMæüPyæþ JMæü Æ>Æÿ$$ Ayæþz…V> E…¨.  AMæüPyæþ		రాధ : అక్కడ ఒక రాయి అడ్డంగా ఉంది. అక్కడ
1	301.5	°ÌŸa° ç³NË$ MöÄæý$År… MæüçÙt….		నిల్పొని పూలు కొయ్యటం కష్టం.
1	332.9	çÜÆæÿâæý : AÐèþ#¯èþ$ D Æ>Æÿ$$ fÆæÿVæür…Ìôý§æþ$.		సరళ: అవును ఈ రాయి జరగటంలేదు.
1	364.1	Æ>«§æþ : A…§æþ$Móü Ðèþ* A¯èþ²Äæý$Å Ðèþ_a¯èþ		రాధ. : అందుకే మా అన్నయ్య వచ్చిన
1	379.7	™èþÆ>Ó™èþ B Æ>Æÿ$$° fÇí³…_ ïÜ™èþ		తర్వాత ఆ రాయిని జరిపించి సీత
1	395.4	^óþ™èþ ç³NË$ MøÆÿ$$…_ ç³…í³Ýë¢¯èþ$.		చేత పూలు కోయించి పంపిస్తాను.
1	426.8	çÜÆæÿâæý : Ò$ A¯èþ²Äæý$Å GMæüPyìþMìü Ððþâêåyæþ$?		సరళ :. మీ అన్నయ్య ఎక్కడికి వెళ్ళాడు?
1	458.0	Æ>«§æþ : ç³MìüP…sìýMìü Ððþâêåyæþ$.  ÐèþÝë¢yæþ$.		రాధ. : పక్కింటికి వెళ్ళాడు. వస్తాడు.
1	489.4	çÜÆæÿâæý : AÆÿ$$™óþ Ò$ ™èþÐèþ$$Ã×ìý~ ç³…í³…_		సరళ :. అయితే మీ తమ్ముణ్ణి పంపించి
1	505.0	í³Íí³…^èþ$.		పిలిపించు.
1	536.2	Æ>«§æþ : ¯óþ¯óþ í³Ë$Ýë¢¯èþ$, E…yæþ$.		రాధ. : నేనే పిలుస్తాను, ఉండు.
1	567.6	çÜÆæÿâæý : çÜ$ÖË Æóÿç³# Ðèþ$¯èþ™ø íÜ°Ðèþ*Mæü$ Æ>¯èþ$		సరళ: సుశీల రేపు మనతో సినిమాకు రాను
1	583.3	A¯èþ²¨ Væü§é!  C…§éMæü §é°²		అన్నది గదా! _ ఇందాక దాన్ని
1	598.9	"ºËÐèþ…™èþ… ^óþíÜ §é° ^óþ™èþ ""ÐèþÝë¢¯èþ$'"		బలవంతం చేసి దాని చేత “వస్తాను
1	615.1	A°í³…^é¯èþ$.		అనిపించాను.
2	160.6	Æ>«§æþ : M>° A¨ ÐèþçÜ$¢…¨ A° ¯éMæü$		రాధ. : కాని అది వస్తుంది అని నాకు
2	177.1	¯èþÐèþ$ÃMæü… Ìôý§æþ$.		నమ్మకం లేదు.
2	210.3	çÜÆæÿâæý : Ìôý§æþ$; ÐèþçÜ$¢…¨.  ¯óþ¯èþ$ Ðéâæýå		సరళ :. లేదు; వస్తుంది... నేను వాళ్ళ
2	226.9	¯é¯èþ²V>Ç™ø Mæü*yé ^ðþ´ëµ¯èþ$: Ðóþ$…		నాన్నగారితో కూడా చెప్పాను: మేం
2	243.4	gê{Væü™èþ¢V> ¡çÜ$Mæü$´ùÆÿ$$ ¡çÜ$MöÝë¢…		జాగ్రత్తగా తీసుకుపోయి తీసుకొస్తాం
2	260.0	Ìôý…yìþ A°.		లేండి అని.
2	293.2	Æ>«§æþ : ^èþ*§éª….		రాధ : చూద్దాం.
2	326.3	çÜÆæÿâæý : A§æþ$Vø Ò$ A¯èþ²Äæý$Å Ðèþ^éayæþ$.		సరళ :. అదుగో మీ అన్నయ్య వచ్చాడు.
2	359.5	Æ>«§æþ : A¯èþ²Äæý*Å!  D Æ>Æÿ$$ Mö…^ðþ…		రాధ : అన్నయ్యా! ఈ రాయి కొంచెం
2	376.0	fÆæÿ$ç³#.  Ðèþ*Mæü$ fÆæÿVæür…Ìôý§æþ$.		జరుపు. మాకు జరగటంలేదు.
2	409.2	çÜÆæÿâæý : Cç³šyæþ$ D Æ>Æÿ$$ Ò$Mæü$ H… Ayæþz…		సరళ :. ఇప్పుడు ఈ రాయి మీకు ఏం అడ్డం
2	425.8	AÆÿ$$…¨?		అయింది?
2	458.9	Æ>«§æþ : ç³NË$ MöÄæý$Åsê°Mìü C¨ Ayæþz…V>		రాధ. : పూలు కొయ్యటానికి ఇది అడ్డంగా
2	475.5	E…¨.		ఉంది.
2	506.0	Ððþ${sìýMŠü ¯óþ¯èþ$, sñý¯Œþ¢ Ðèþ* ™èþÐèþ$$Ãyæþ$, C…rÆŠÿ Ðèþ*		మెట్రిక్‌ నేను, టెన్ట్‌ మా తమ్ముడు, ఇంటర్‌ మా
2	518.0	AMæüP òœÆÿ$$ÌŒý M>Ðèþr… ÐèþËÏ Ðèþ$Ðèþ$ÃÍ² G¯ø² AÐèþçÜ¦Ë$		అక్క ఫెయిల్‌ కావటం వల్ల మమ్మల్ని ఎన్నో అవస్టలు,
2	529.9	ç³yìþ ^èþ¨ÑçÜ$¢¯èþ² Ðèþ* ¯é¯èþ² Mæü°í³…^èþr… Ìôý§æþ$.		పడీ బదివిస్తున్న మా గాన్న కనిపించటం లేదు.
2	541.8	B^èþ*Mìü C_a¯èþ ÐéâæýÏMæü$ ™èþW¯èþ ºçßý$Ðèþ$† .....		ఆబూకి ఇచ్చిన వాళ్లకు తగిన బహుమతి ......
3	202.1	¯èþ$Ðèþ#Ó ç³NË$ MöÆÿ$$Å.		బల్ల జరిగింది.
3	202.1	ºËÏ fÇW…¨.		బల్ల జరిగింది.
3	218.0	¯óþ¯èþ$ ÆæÿÑ ^óþ™èþ MøÆÿ$$Ýë¢¯èþ$.		సుగుణ బల్లను జరిపింది.
3	218.0	çÜ$Væü$×ý ºËÏ¯èþ$ fÇí³…¨.		సుగుణ బల్లను జరిపింది.
3	233.7	ÔèýÆæÿÃ¯èþ$ ™èþË$ç³# †Äæý$ÅÐèþ$¯èþ$.		నేను సుగుణ చేత బల్లను జరిపించాను.
3	233.7	¯óþ¯èþ$ çÜ$Væü$×ý ^óþ™èþ ºËÏ¯èþ$ fÇí³…^é¯èþ$.		నేను సుగుణ చేత బల్లను జరిపించాను.
