page	y	legacy	rom	te
0	379.2	ç³âôýåË$ ™ðþ^èþ$aMæü$¯é²¯èþ$		హ్మేలు తెచ్చుకున్నాను
0	439.6	Vøí³ : Æ>l!  ^èþ*yæþ$ ¯óþ¯èþ$ D ç³âôýåË$,		గోపి : రాజూ! చూడు నేను ఈ పళ్ళేలు,
0	456.2	W¯ðþ²Ë$, ^ðþ…^éË$ Mö¯é²¯èþ$.  GÌê		గిన్నెలు, చెంచాలు కొన్నాను. ఎలా
0	472.8	E¯é²Æÿ$$?		ఉన్నాయి?
0	505.9	Æ>k : D ç³âñýå… G…™èþ?		రాజు : ఈ హొం ఎంత?
0	539.1	Vøí³ : CÆæÿÐðþOÐèþ$*yæþ$ Ææÿ*´ëÄæý$Ë Äæý*¿ñýO		గోపి. : ఇరవైమూడు రూపాయల యాభై
0	555.7	ò³OçÜË$.  JMöPMæüP ç³âôýå°Mìü JMöPMæüP		పైసలు. ఒక్కొక్క పళ్ళేనికి ఒక్కొక్క
0	572.2	^ðþ…^é FÇMðü¯óþ C^éayæþ$.		చెంచా ఊరికెనే ఇచ్చాడు.
0	605.4	Æ>k : C°² ç³âôýåË$ H… ^óþçÜ$Mæü$…sêÐèþ#?		రాజు: ఇన్ని పళ్ళేలు ఏం చేసుకుంటావు?
0	622.0	GÐèþÇ MøçÜ… ™ðþ^éaÐèþ#?		ఎవరి కోసం తెచ్చావు?
1	161.2	Vøí³ : Ðèþ* MøçÜÐóþ$ ™ðþ^èþ$aMæü$¯é²¯èþ$;  Ðéyæþ$&		గోపి: మా కోసమే తెచ్చుకున్నాను; వాడు
1	177.8	Møsê°Mìü.		కోటానికి.
1	210.9	Æ>k : C°²…sìý° JMóü ÝëÇ Ðéyé¢Æ>?		రాజు. ఇన్నింటిని ఒకే సారి వాడ్డారా?
1	244.1	Vøí³ : §é°§óþÐèþ$$…¨?  AÐèþçÜÆæÿ… Ðèþ_a&		గోపి. : దానిదేముంది? అవసరం వచ్చి-
1	260.7	¯èþç³šyæþ$ Ðéyé¢….  A°²…sìýMîü C…M>		నప్పుడు వాడ్తాం. అన్నింటికీ ఇంకా.
1	277.2	yæþº$¾ CÐèþÓÌôý§æþ$; Mö°²…sìýMóü		డబ్బు ఇవ్వలేదు; కొన్నింటికే
1	293.8	C^éa¯èþ$.		ఇచ్చాను.
1	327.0	Æ>k : G°²…sìýMìü C^éaÐèþ#?		రాజు. : ఎన్నింటికి ఇచ్చావు?
1	360.1	Vøí³ : ¯éË$Væü$ ç³âôýåËMæü$, Ðèþ$*yæþ$ W¯ðþ²ËMæü$		గోపి... నాలుగు పళ్ళేలకు, మూడు గిన్నెలకు
1	376.7	C^éa¯èþ$.  Ñ$WÍ¯èþ ÐésìýMìü CÝë¢&		ఇచ్చాను. మిగిలిన వాటికి ఇస్తా-
1	393.3	¯èþ¯é²¯èþ$.  C…M> Ðèþ* BÑyæþ Òsìý°		నన్నాను. ఇంకా మా ఆవిడ వీటిని
1	409.8	^èþ*yæþÌôý§æþ$.  Ñ$WÍ¯èþÑ BÑyðþMæü$		చూడలేదు. మిగిలినవి ఆవిడెకు
1	426.4	¯èþ_a™óþ E…^èþ$™é¯èþ$; ¯èþ^èþaMæü´ù™óþ		నచ్చితే ఉంచుతాను; నచ్చకపోతే,
1	443.0	†ÇW C^óþaÝë¢¯èþ$.		తిరిగి ఇచ్చేస్తాను.
1	476.1	Æ>k : Ðèþ$äå CÐèþÓr… §óþ°Mìü?  E…^èþ$Mø.		రాజు. : మళ్ళీ ఇవ్వటం దేనికి? ఉంచుకో.
1	492.7	Ò$ BÑyæþ ÌZç³Ë H§ø ´ër ´ëyæþ$&		మీ ఆవిడ లోపల ఏదో పాట పాడు-
1	509.3	™èþ$¯èþ²r$Ï…¨.  C…M> GÐèþÆæÿ$¯é²Ææÿ$		తున్నట్లుంది. ఇంకా ఎవరున్నారు
1	525.9	ÌZç³Ë?		లోపల?
