page	y	legacy	rom	te
0	382.6	±Mæü$ E§øÅVæü… E…§é?		నీకు ఉద్యోగం ఉందా?
0	434.0	Ðèþ$*Ç¢ : ÆæÿÒ! Ððþ…MæüsôýÔèýÓÆæÿ$Ï Ò$ Ðèþ*çÙtÆ>?		మూర్తి: రవీ! వెంకటేశ్వర్లు మీ మాష్టరా?
0	462.9	ÆæÿÑ : AÐèþ#¯èþ$.		రవి: అవును.
0	491.5	Ðèþ$*Ç¢ : Ðéâæýå¨ H FÆæÿ$?		మూర్తి: వాళ్ళది ఏ ఊరు?
0	520.3	ÆæÿÑ : HË*Ææÿ$.  D FâZå Mæü*yé		రవి. : ఏలూరు. ఈ ఊళ్ళో కూడా
0	534.7	BÄæý$¯èþMæü$ JMæü CË$Ï E…¨.		ఆయనకు ఒక ఇల్లు ఉంది.
0	563.5	Ðèþ$*Ç¢ : A™èþ°Mìü G°² Câæý$å E¯é²Æÿ$$?		మూర్తి : అతనికి ఎన్ని ఇళ్ళు ఉన్నాయి?
0	592.2	ÆæÿÑ : Æðÿ…yæþ$ Câæý$å E¯é²Æÿ$$.  JMæüsìý		రవి: రెండు ఇళ్ళు ఉన్నాయి... ఒకటి
0	602.2	CMæüPyæþ E…¨.  JMæüsìý HË*Ææÿ$ÌZ		ఇక్కడ ఉంది. ఒకి ఏలూరులో
0	621.6	E…¨.		ఉంది.
1	180.4	Ðèþ$*Ç¢ : A™èþ°Mìü Æðÿ…yæþ$ FâæýåÌZ Câæý$å		మూర్తి: అతనికి రెండు ఊళ్ళలో ఇళ్ళు
1	195.6	E¯é²Äæý*?  A™èþ°Mìü G…™èþÐèþ$…¨		ఉన్నాయా? అతనికి ఎంతమంది
1	210.8	í³ËÏË$?		పిల్లలు?
1	241.3	ÆæÿÑ : BÄæý$¯èþMæü$ í³ËÏË$ ÌôýÆæÿ$.		రవి. : ఆయనకు పిల్లలు లేరు.
