page	y	legacy	rom	te
0	436.7	çÜÆæÿÓÆŠÿ : HÐèþ$…yîþ!  Ò$Mæü$ sìýíœ¯Œþ H…		సర్వర్‌ : ఏమండీ! మీకు టిఫిన్‌ ఏం
0	451.9	M>ÐéÍ?		కావాలి?
0	482.4	ÔèýÆæÿÃ : Ðèþ$$…§æþ$ Ðèþ$…_±âæý$å M>ÐéÍ.		శర్మ: ముందు మంచినీళ్ళు కావాలి.
0	497.6	™èþÆ>Ó™èþ sìýíœ¯Œþ.		తర్వాత టిఫిన్‌.
0	528.0	çÜÆæÿÓÆŠÿ : CÑVø, Ðèþ$…_±âæý$å.  CMæüPyóþ		సర్వర్‌ : ఇవిగో, మంచినీళ్ళు. ఇక్కడే
0	543.3	E¯é²Æÿ$$.		ఉన్నాయి.
0	573.7	ÔèýÆæÿÃ : D ±âæý$å ^èþËÏV> ÌôýÐèþ#.		శర్మ ౨ ఈ నీళ్ళు చల్లగా లేవు.
0	604.1	Ææÿ†Æ>ÐŒþ$: sìýíœ¯Œþ HÐèþ$$…¨?		'రతిరామ్‌: టిఫిన్‌ ఏముంది?
1	179.8	çÜÆæÿÓÆŠÿ : CyîþÏ ç³NÈ Ñ$¯èþç³r*t ò³çÜÆæÿr*t		సర్వర్‌: ఇడ్లీ పూరీ మినపట్టూ పెసరట్టూ
1	194.4	E¯é²Æÿ$$.		ఉన్నాయి.
1	223.2	f¯èþ™éíÜ…VŠü:  CyîþÏ ÐóþyìþV> E…§é?		జనతాసింగ్‌:. ఇడ్డీ వేడిగా ఉందా?
1	252.0	çÜÆæÿÓÆŠÿ : Ìôý§æþ…yîþ.  ç³NÈ ÐóþyìþV> E…¨.		సర్వర్‌ : లేదండీ. పూరీ వేడిగా ఉంది.
1	266.2	Ñ$¯èþç³r*t ò³çÜÆæÿr*t Mæü*yé ÐóþyìþV>		'మినపట్టూ పెసరట్టూ కూడా వేడిగా
1	280.6	E¯é²Æÿ$$.		ఉన్నాయి.
1	309.4	Ææÿ†Æ>ÐŒþ$: H… f¯èþ™éíÜ…VŠü!  ±Mæü$ Ñ$¯èþç³r$t		'రతిరామ్‌: ఏం జనతాసింగ్‌! నీకు మినపట్టు
1	323.8	M>ÐéÌê?  ò³çÜÆæÿr$t M>ÐéÌê?		కావాలా? పెసరట్టు కావాలా?
1	352.5	f¯èþ™éíÜ…VŠü : ¯éMæü$ Æðÿ…yæþ$ Ðóþyìþ ò³çÜÆæÿr$Ï		జనతాసింగ్‌ : నాకు రెండు వేడి పెసరట్లు
1	366.9	M>ÐéÍ. Ñ$¯èþç³r$t J§æþ$ª.  ±Móü…		కావాలి. మినపట్టు ఒద్దు... నీకేం
1	381.3	M>ÐéÍ Ðèþ$–™èþ$Å…fÄŒý$?		కావాలి మృత్యుంజయ్‌?
1	410.1	Ðèþ$–™èþ$Å…fÄŒý$ :  ¯éMæü$ CyîþÏ M>ÐéÍ.		మృత్యుంజయ్‌ :. నాకు ఇడ్లీ కావాలి.
1	438.7	çÜÆæÿÓÆŠÿ :  CyîþÏ ^èþËÏV> E¯èþ²§æþ…yîþ.		సర్వర్‌: ఇడ్లీ చల్లగా ఉన్నదండీ.
1	467.5	Ðèþ$–™èþ$Å…fÄŒý$ : AÆÿ$$™óþ E´ëÃ M>ÐéÍ.		మృత్యుంజయ్‌ : అయితే ఉప్మా కావాలి.
1	496.4	çÜÆæÿÓÆŠÿ : Ò$Móü… M>ÐéÍ?		సర్వర్‌: మీకేం కావాలి?
1	525.0	Ææÿ†Æ>ÐŒþ$: ¯éMæü$ ´ëË$ M>ÐéÍ.		'రతిరామ్‌: నాకు పాలు కావాలి.
1	553.8	çÜÆæÿÓÆŠÿ : ´ëË$ ÌôýÐèþ…yîþ.  M>ïœ E…¨; sîý		సర్వర్‌ : పాలు లేవండీ. కాఫీ ఉంది; టీ
1	568.2	E…¨.  »ZÆæÿ²Òsê Mæü*yé E¯èþ²¨.		ఉంది. బోర్నవీటా కూడా ఉన్నది.
1	583.0	ÒsìýÌZ Ò$Móü… M>ÐéÍ?		వీటిలో మీకేం కావాలి?
2	179.2	Ææÿ†Æ>ÐŒþ$: ¯éMæü$ HÒ$ Ðèþ§æþ$ª.  ´ëÌôý M>ÐéÍ.		'రతిరామ్‌: నాకు ఏమీ వద్దు. పాలే కావాలి.
2	208.0	çÜÆæÿÓÆŠÿ : ´ëË$ ÌôýÐèþ…yîþ.		సర్వర్‌: పాలు లేవండీ.
2	236.8	Ææÿ†Æ>ÐŒþ$: AÆÿ$$™óþ ^èþËÏ° Ðèþ$…_±âæý$å M>ÐéÍ.		'రతిరామ్‌: అయితే చల్లని మంచినీళ్ళు కావాలి.
2	265.4	ÔèýÆæÿÃ : D çßZrÌZÏ Ðèþ$…_±âæý$å ^èþËÏV> ÌôýÐèþ#.		శర్మ ఈ హోటల్లో మంచినీళ్ళు చల్లగా లేవ.
2	294.2	Ðèþ$–™èþ$Å…fÄŒý$ : Ðèþ$¯èþ… A…§æþÆæÿ… CMæüPyóþ E¯é²….		మృత్యుంజయ్‌ : మనం అందరం ఇక్షడే ఉన్నాం.
2	308.6	Ðèþ$Ç M>ÏçÜ$ÌZ GÐèþÆæÿ$¯é²Ææÿ$?		మరి క్లాసులో ఎవరున్నారు?
2	337.3	Ææÿ†Æ>ÐŒþ$: GÐèþÆæÿ* ÌôýÆæÿ$.  B M>Æÿ$$™èþ… Ò$§æþ		'రతిరామ్‌: ఎవరూ లేరు. ఆ కాయితం మీద
2	351.7	G{ÆæÿV> E…¨: HÑ$r¨?		ఎర్రగా ఉంది: ఏమిటది?
2	380.5	ÔèýÆæÿÃ : A¨ JMæü Ððþ*yæþÆæÿ¯Œþ ò³Æÿ$$…sìý…VŠü.		శర్మ: అది ఒక మోడరన్‌ పెయింటింగ్‌.
2	443.4	¯éMæü$ ´ëË$ M>ÐéÍ; M>ïœ J§æþ$ª.		మంచినీళ్ళు ఉన్నాయా? లేవు.
2	443.4	Ðèþ$…_±âæý$å E¯é²Äæý*?  ÌôýÐèþ#.		మంచినీళ్ళు ఉన్నాయా? లేవు.
2	458.6	Ðèþ$–™èþ$Å…fÄŒý$Mæü$ ò³çÜÆæÿr$t M>ÐéÍ;		మీ ఇంట్లో పాలు ఉన్నాయా?
2	458.6	Ò$ C…sZÏ ´ëË$ E¯é²Äæý*?		మీ ఇంట్లో పాలు ఉన్నాయా?
2	473.8	Ñ$¯èþç³r$t J§æþ$ª.		మా ఇంట్లో పాలు లేవండీ.
2	473.8	Ðèþ* C…sZÏ ´ëË$ ÌôýÐèþ…yîþ.		మా ఇంట్లో పాలు లేవండీ.
2	493.9	C¨ Ðóþyìþ M>ïœ. D M>ïœ ÐóþyìþV> E…¨.		ఇది వేడి కాఫీ... ఈ కాఫీ వేడిగా ఉంది.
2	509.2	A¨ ™ðþËÏ ç³#Ðèþ#Ó. B ç³#Ðèþ#Ó ™ðþËÏV> E…¨.		అది తెల్ల పువ్వు. ఆ పువ్వు తెల్లగా ఉంది.
2	524.4	C¨ ^èþËÏ° M>ïœ. D M>ïœ ^èþËÏV> E…¨.		ఇది చల్లని కాఫీ... ఈ కాఫీ చల్లగా ఉంది.
2	574.9	M>ÐéÍ.		ఉన్నాయా?
2	574.9	J§æþ$ª		ఉన్నాయా?
2	574.9	E¯é²Äæý*?		ఉన్నాయా?
2	590.1	H… M>ÐéÍ?		తెల్లగా ఉన్నాయా?
2	590.1	Ñ$¯èþç³r$t J§æþ$ª.		తెల్లగా ఉన్నాయా?
2	590.1	™ðþËÏV> E¯é²Äæý*?		తెల్లగా ఉన్నాయా?
2	605.3	Ò$Mæü$ H… M>ÐéÍ?		వేడి మినపట్టు ఒద్దు. కాయితాలు తెల్లగా ఉన్నాయా?
2	605.3	Ðóþyìþ Ñ$¯èþç³r$t J§æþ$ª. M>Æÿ$$™éË$ ™ðþËÏV> E¯é²Äæý*?		వేడి మినపట్టు ఒద్దు. కాయితాలు తెల్లగా ఉన్నాయా?
2	620.6	HÐèþ$…yîþ! Ò$Móü… M>ÐéÍ? ¯éMæü$ Ðóþyìþ Ñ$¯èþç³r$t J§æþ$ª. B M>Æÿ$$™éË$ ™ðþËÏV> E¯é²Äæý*?		ఏమండీ! మీకేం కావాలి? నాకు వేడి మినపట్టు ఒద్దు. ఆ కాయితాలు తెల్లగా ఉన్నాయా?
3	213.4	¯éMæü$ CyîþÏ M>ÐéÍ.		నాకు ఇడ్లీ కావాలి.
3	228.1	´ëË$		పాలు
3	242.7	¯éMæü$ ´ëË$ M>ÐéÍ.		నాకు పాలు కావాలి.
3	257.3	ò³çÜÆæÿr$t		పెసరట్టు
3	272.1	E´ëÃ		ఉప్మా
3	286.7	M>ïœ		కాఫీ
3	320.8	¯éMæü$ Ðèþ$ÌñýÏç³NË$ J§æþ$ª.		నాకు మల్లెపూలు ఒద్దు.
