page	y	legacy	rom	te
0	379.4	¯óþ¯èþ$ AË$Ï™èþ$¯èþ²ç³šyæþ$ ...		నేను అల్లుతున్నప్పుడు ...
0	441.4	çÜ$Væü$×ý :		సుగుణ :
0	462.0	™èþ$¨ ç³Ë$Mæü$		తుది పలుకు
0	482.5	"""""§æþÄæý$^óþíÜ ™èþÓÆæÿV> Ææÿ…yìþ.  H§ø »êV> Ìôý§æþ$.''"		“దయచేసి త్వరగ రండి. ఏదో బాగా లేదు.”
0	503.1	CÑ ´ë™èþ M>…{VðüçÜ$ ¯éÄæý$Mæü$yæþ$ {ÖM>Ðèþ$&		ఇవి పాత కాంగ్రెసు నాయకుడు శ్రీకామ-.
0	519.6	Æ>gŒý _ÐèþÇÝëÇV> A¯èþ² Ðèþ*rË$. Væü$…yðþ´ùr$		రాజ్‌ చివరిసారిగా అన్న మాటలు. గుండెపోటు
0	536.2	Æ>Ðèþr…™ø {ÖM>Ðèþ$Æ>gŒý ™èþ¯èþ B…™èþÆæÿ…WMæü		రావటంతో శ్రీకామరాజ్‌ తన ఆంతరంగిక
0	552.8	ÐðþO§æþ$Åyæþ$ yéMæütÆŠÿ fÄæý$Æ>ÐŒþ$™ø D Ðèþ*rË$		వైద్యుడు డాక్టర్‌ జయరామ్‌తో ఈ మాటలు
0	569.4	A¯é²Ææÿ$.  _ÐèþÇMìü ™èþ¯èþ M>Ææÿ$¯èþ$ Væü*yé yéMæütÆæÿ$		అన్నారు. చివరికి తన కారును గూడా డాక్టరు
0	585.9	MøçÜ… ç³…´ëÆæÿ$.  M>° Ìê¿æý… ÌôýMæü´ùÆÿ$$…¨.		కోసం పంపారు. కాని లాభం లేకపోయింది.
0	602.5	yéMæütÆŠÿ fÄæý$Æ>ÐŒþ$, yéMæütÆŠÿ ÔoÇÆ>f¯Œþ Ðèþ^óþaçÜÇMìü		డాక్టర్‌ జయరామ్‌, డాక్టర్‌ శౌరిరాజన్‌ వచ్చేసరికి
0	619.1	BÄæý$¯èþ Mæü¯èþ$² Ðèþ$*ÔéÆæÿ$.''		ఆయన కన్ను మూశారు.”
0	639.4	(B…{«§æþ{ç³¿æý, 3&10&1975)		(ఆంధ్రప్రభ, 3౩-10-1975)
