page	y	legacy	rom	te
0	371.6	^éÐèþ$$…yìþ Mö…yæþ Ò$§æþ		చాముండి కొండ మీద
0	445.4	CsîýÐèþË Ðèþ* M>ÏçÜ$Ðéâæýå… A…§æþÆæÿ… MæüÍíÜ		ఇటీవల మా క్లాసువాళ్ళం అందరం కలిసి
0	462.0	^éÐèþ$$…yìþ Mö…yæþMæü$ Ððþâêå….  Mö…™èþÐèþ$…¨ ¯èþyìþ_		చాముండి కొండకు వెళ్ళాం. కొంతమంది నడిచి
0	478.5	Ððþâêª… A¯é²Ææÿ$. Mö…™èþÐèþ$…¨ ¯èþyæþÐèþÌôý…,		వెళ్ళాం అన్నారు. కొంతమంది నడవలేం,
0	495.1	ºçÜ$ÞÌZ Ððþâêª… A¯é²Ææÿ$. A…§æþÆæÿ… MæüÍíÜ		బస్సులో వెళ్దాం అన్నారు. అందరం కలిసి
0	511.7	çÜÆæÿ§éV> Ðóþâôý¢ Ððþ$r$Ï GMæüPr… MæüçÙt… M>§æþ$,		సరదాగా వేళ్లే మెట్లు ఎక్కటం కష్టం కాదు,
0	528.3	çÜ$Ë¿æý…V>¯óþ GMæüPVæüË… A¯èþ$Mæü$¯é²…. ™èþÌê		సులభంగానే ఎక్కగలం అనుకున్నాం. తలా
0	544.8	¯éË$Væü$ AÇsìýç³âæý$å †° ºÄæý$ÌôýªÆ>…. Ððþ$rÏMæü$		నాలుగు ఆరిటిపళ్ళు తిని బయలేరాం. మెట్లకు
0	561.4	Ar* Cr* ^ðþr*Ï, ´÷§æþË*, ò³§æþªò³§æþª Æ>âæý*Ï		అటూ ఇటూ చెట్టూ, పొదలూ, పెద్దపెద్ద రాళ్లూ
0	578.0	E¯é²Æÿ$$. ¯éË$VðüO§æþ$ Ððþ$r$Ï GM>PÐðþ* Ìôý§ø		ఉన్నాయి. నాలుగైదు మెట్లు ఎక్కామో లేదో
0	594.6	ÆæÿÑMîü Mæü$Ðèþ*ÆŠÿMæü* JMæü ´ùsîý Ðèþ_a…¨. AMæüPyæþ		రవికీ కుమార్‌కూ ఒక పోటీ వచ్చింది. అక్కడ
0	611.1	JMæü ò³§æþª Æ>Æÿ$$ E…¨. B Æ>†° ¯óþ¯èþ$		ఒక పెద్ద రాయి ఉంది. ఆ రాతిని నేను
0	627.7	G™èþ¢VæüË¯èþ$ A¯é²yæþ$ ÆæÿÑ. ¯èþ$Ðèþ#Ó G™èþ¢ÌôýÐèþ#		'ఎత్తగలను అన్నాడు రవి. నువ్వు ఎత్తలేవు
0	644.3	A¯é²yæþ$ Mæü$Ðèþ*ÆŠÿ. ç³…§ðþ… MæürtÐèþ$¯é²yæþ$ ÆæÿÑ.		అన్నాడు కుమార్‌. పందెం కట్టమన్నాడు రవి.
1	160.6	Mö…yæþ Ò$§æþ ¯èþ$Ðèþ#Ó G°² AÇsìýç³âæý$å †¯èþVæüËÐø		కొండ మీద నువ్వు ఎన్ని అరిటిపళ్ళు తినగలవో
1	177.1	A°² Mö° CÝë¢¯èþ$ A¯é²yæþ$ Mæü$Ðèþ*ÆŠÿ. ÆæÿÑ B		అన్ని కొని ఇస్తాను అన్నాడు కుమార్‌. రవి ఆ
1	193.7	Æ>†° G™èþ¢sê°Mìü {ç³Äæý$™èþ²… ^óþÔéyæþ$. A¨		రాతిని ఎత్తటానికి ప్రయత్నం చేశాడు. అది
1	210.3	ÌôýÐèþÌôý§æþ$. Ðèþ$äå {ç³Äæý$†²…^éyæþ$. _ÐèþÇMìü B		లేవలేదు. మళ్ళీ ప్రయత్నించాడు. చివరికి ఆ
1	226.9	Æ>Æÿ$$ Mö…^ðþ… Ìôý_…¨. C…™èþÌZ B Æ>†		రాయి కొంచెం లేచింది. ఇంతలో ఆ రాతి
1	243.4	Mìü…§æþ E¯èþ² ™óþË$ JMæüsìý ÆæÿÑ° Mæü$sìýt…¨. Ððþ…r¯óþ		కింద ఉన్నతేలు ఒకటి రవిని కుట్టింది. వెంటనే
1	260.0	A™èþ¯èþ$ B Æ>†° Ðèþ¨Ìêyæþ$ A¨ Mìü…§æþ ç³yæþz¨.		అతను ఆ రాతిని వదిలాడు అది కింద పడ్డది.
