page	y	legacy	rom	te
0	404.1	{ç³ç³…^èþ…ÌZ° Mö°²		ప్రపంచంలోని కొన్ని
0	434.0	Ñ…™èþË$		వింతలు
1	162.3	Hyæþ$ ´÷Æÿ$$ÅË$		ఏడు పొయ్యిలు
1	204.8	f´ë¯èþ$Mæü$ ^ðþ…¨¯èþ Væü…MðüO çÜÐèþ$${§æþ ¡Æ>¯èþ, Mö…yæþË {Ôóý×ìýÌZ çÜÐèþ$${§æþ… ™öÍ_¯èþ		'జపానుకు చెందిన గంకై సముద్ర తీరాన, కొండల శ్రేణిలో సముద్రం తొలిచిన
1	221.3	"Hyæþ$ Væü$çßýË$ E¯é²Æÿ$$.  ""¯èþ¯èþ™èþ$ÞVæüÐèþ$' A° ÒsìýMìü õ³Ææÿ$.  A…sôý Hyæþ$ ´÷Æÿ$$ÅË$"		ఏడు గుహలు ఉన్నాయి. “ననత్సుగమి అని వీటికి పేరు. అంటే ఏడు పాయ్యిలు
1	237.9	A° AÆæÿ¦….  çÜÐèþ$${§æþ… ´ùr$ÌZ E¯èþ²ç³šyæþ$ ç³yæþÐèþË& Ðéâæý$å  Äæý*{†Mæü$Ë¯èþ$ D Væü$çßýË		అని అర్థం. సముద్రం పోటులో ఉన్నప్పుడు పడవల- వాళ్ళు యాత్రికులను ఈ గుహల
1	254.5	"ÌZç³ÍMìü ¡çÜ$Mæü$´ù™éÆæÿ$.  ÒsìýMìü ""çÜçßýf çÜÃ-–† _à²Ë' çßZ§é CÐèþÓºyìþ…¨.  D"		లోపలికి తీసుకుపోతారు.. వీటికి 'సహజ సృృతి చిహ్నాల” హోదా ఇవ్వబడింది. ఈ
1	271.1	{´ë…™é°Mìü Æ>ÐéË…sôý MæüÆæÿ™èþ$Þ ¯èþ$…_ ¯óþË Ðèþ*Æ>Y¯èþ ºçÜ$ÞÌZ Æ>Ðèþsê°Mìü AÆæÿVæü…r		ప్రాంతానికి రావాలంటే కరత్సు నుంచి నేల మార్గాన బస్సులో రావటానికి అరగంట
1	287.6	ç³yæþ$¢…§æþr.		పడ్తుందట.
1	316.1	^èþ…§æþÐèþ*Ðèþ$ Ðóþ$, 1976.		చందమామ మే, 1976.
2	163.4	™öÍ ÐðþOÐèþ*°Mæü$Ë VúÆæÿÐèþ_çßý²…		తొలి వైమానికుల గౌరవచిహ్నం
2	205.9	1903 yìþòÜ…ºÆæÿ$ 17¯èþ E™èþ¢Ææÿ M>ÆöÌñýO¯é Æ>çÙ‰…ÌZ° D {´ë…™èþ… ¯èþ$…_ ÑË¾ÆŠÿ		1903 డిసెంబరు 17న ఉత్తర కారొలైనా రాష్ట్రంలోని ఈ ప్రాంతం నుంచి విల్చర్‌
2	222.4	ÆðÿOsŒý, BÇÓÌŒý ÆðÿOsŒý Ýù§æþÆæÿ$Ë$ Ððþ$$rtÐðþ$$§æþr ÑÐèþ*¯èþ…ÌZ GWÆ>Ææÿ$.  ÐéÇ VúÆæÿÐéÆæÿ¦… D		రైట్స్‌ ఆర్విల్‌ రైట్‌ సోదరులు మొట్టమొదట విమానంలో ఎగిరారు. వారి గౌరవార్థం ఈ
2	239.0	ÕËµ… HÆ>µr$ ^ðþÄæý$Åºyìþ…¨.		శిల్పం ఏర్పాటు చెయ్యబడింది.
2	267.5	^èþ…§æþÐèþ*Ðèþ$ f¯èþÐèþÇ, 1976.		'పందమాయ జనవరి, 1976.
3	162.1	çÜÇMö™èþ¢ AW² ç³ÆæÿÓ™éË$		సరికొత్త అగ్ని పర్వతాలు
3	204.5	Mæüâæýå G§æþr çÜÇMö™èþ¢ AW² ç³ÆæÿÓ™éË$ ç³#rtr… ^éÌê AÆæÿ$§æþ$.  D Ôèý™éºª…ÌZ		కళ్ళ ఎదట సరికొత్త అగ్ని పర్వతాలు పుట్టటం చాలా అరుదు. ఈ శతాబ్దంలో
3	221.1	AÌê…sìý AW² ç³ÆæÿÓ™èþ… 1944ÌZ Ððþ$MìüÞMøÌZ ç³#sìýt…¨.  Mìü…§æþsìý Hyæþ$ ÆæÿÚëÅÌZ°		అలాంటి అగ్ని పర్వతం 1944లో మెక్సికోలో పుట్టింది. కిందటి ఏడు రష్యాలోని
