page	y	legacy	rom	te
0	382.7	Cç³šyæþ$ sñýOÐðþ$…™èþ?		ఇప్పుడు టైమెంత?
0	451.1	çÜÆæÿâæý : MæüÐèþ$Ìê Cç³šyæþ$ sñýOÐèþ$$ G…™èþ?		సరళ : కమలా ఇప్పుడు టైము ఎంత?
0	480.5	MæüÐèþ$Ë : C§æþ$Vø VæüyìþÄæý*Ææÿ….		కమల : ఇదుగో గడియారం.
0	510.2	çÜÆæÿâæý : CMæüPyæþ I§æþ$ VæüyìþÄæý*Æ>Ë$ E¯é²Æÿ$$!		సరళ : ఇక్కడ ఐదు గడియారాలు ఉన్నాయి!
0	539.8	MæüÐèþ$Ë :D Væü¨ÌZ I§æþ$Væü$Ææÿ… E¯é²…. D		కమల :ఈ గదిలో ఐదుగురం ఉన్నాం. ఈ
0	554.6	Ðèþ$*yæþ$ VæüyìþÄæý*Æ>ËÌZ JMæüsìý ¯é¨,		మూడు గడియారాలలో ఒకటి నాది,
0	569.4	JMæüsìý ÆæÿÐèþ$¨, JMæüsìý ÑfÄæý$¨. B		ఒకటి రమది, ఒకటి విజయది. ఆ
0	584.2	Æðÿ…yæþ$ VæüyìþÄæý*Æ>ËÌZ JMæü VæüyìþÄæý*Ææÿ…		రెండు గడియారాలలో ఒక గడియారం.
0	599.1	çÜ$ÖË¨; C…MöMæü VæüyìþÄæý*Ææÿ… {ç³¿æý¨.		'సుశీలది; ఇంకొక గడియారం ప్రభది.
1	179.8	çÜÆæÿâæý : C§óþÑ$sìý? JMæü VæüyìþÄæý*Ææÿ…ÌZ JMæüsîý		సరళ : ఇదేమిటి? ఒక గడియారంలో ఒకటీ
1	195.0	CÆæÿÐðþO¯éË$Væü$. C…MöMæü VæüyìþÄæý*Ææÿ…ÌZ		ఇరవైనాలుగు. ఇంకొక గడియారంలో
1	210.2	JMæüsîý Ðèþ$$ò³O¹ JMæüsìý. D VæüyìþÄæý*Ææÿ…ÌZ		'ఒకటీ ముప్ఫై ఒకటి. ఈ గడియారంలో
1	225.4	JMæüsîý ¯èþË¿ñýO. B VæüyìþÄæý*Ææÿ…ÌZ JMæüsîý		ఒకటీ నలభై. ఆ గడియారంలో ఒకటీ
1	240.7	Äæý*¿ñýO. D VæüyìþÄæý*Ææÿ…ÌZ J…sìýVæü…r.		యాభై. ఈ గడియారంలో ఒంటిగంట.
1	271.1	MæüÐèþ$Ë : MæüÆðÿMæü$t sñýOÐèþ$$ JMæüsîý Ðèþ$$ò³O¹. ÆæÿÐèþ$		కమల : కరెక్టు టైము ఒకటీ ముప్ఫై. రమ
1	286.3	VæüyìþÄæý*Ææÿ… BÆæÿ$ °Ñ$ÚëË$ ÝùÏ. ¯é¨		గడియారం ఆరు నిమిషాలు స్తో. నాది
1	301.5	JMæü °Ñ$çÙ… ¸ëçÜ$t. ÑfÄæý$¨ ç³¨		'ఒక నిమిషం ఫాస్టు. విజయది పది
1	316.8	°Ñ$ÚëË$ ¸ëçÜ$t. {ç³¿æý¨ CÆæÿÐðþO		నిమిషాలు ఫాస్టు. ప్రభది ఇరవై
1	332.0	°Ñ$ÚëË$ ¸ëçÜ$t.		నిమిషాలు ఫాస్టు.
