page	y	legacy	rom	te
0	383.2	Mæü*ÆæÿV>Äæý$Ë$ H…		కూరగాయలు ఏం
0	407.5	E¯é²Æÿ$$?		ఉన్నాయి?
0	445.6	ÆæÿÑ : HÐèþ$Äæý*Å! Mæü*ÆæÿV>Äæý$Ë$ H…		రవి. : ఏవుయ్యా! కూరగాయలు ఏం
0	460.8	E¯é²Æÿ$$?		ఉన్నాయి?
0	491.3	Mört™èþ¯èþ$ : Ææÿ…yìþ ÝëÆŠÿ!  ™égê		కొట్టతను : రండి సార్‌! తాజా
0	506.5	Mæü*ÆæÿV>Äæý$Ë$¯é²Æÿ$$.		'కూరగాయలున్నాయి.
0	537.0	ÆæÿÑ : Ðèþ…M>Äæý$Ë$¯é²Äæý*?		రవి. : వంకాయలున్నాయా?
0	567.4	Mört™èþ¯èþ$ : Ðèþ…M>Äæý$Ë*, ½ÆæÿM>Äæý$Ë*,		కొట్టతను : వంకాయలూ, బీరకాయలూ,
0	582.6	sŸÐóþ$sZË*, _Mæü$Pyæþ$M>Äæý$Ë*,		'టొమేటోలూ, చిక్కుడుకాయల్లూ
0	597.9	§øçÜM>Äæý$Ë*, Móü»ôýi E¯é²Äæý$…yîþ!		దోసకాయలూ, కేబేజీ ఉన్నాయండీ!,
1	179.8	ÆæÿÑ : BMæü$Mæü*ÆæÿË$ H… E¯é²Æÿ$$?		రవి... : ఆకుకూరలు ఏం ఉన్నాయి?
1	210.0	Mört™èþ¯èþ$ : ™ørMæü*Æ>, ´ëËMæü*Æ>, º^èþaÍMæü*Æ>,		కొట్టతను : తోటకూరా, పాలకూరా, బచ్చలికూర్శా
1	225.0	Vø…Væü*Æ> E¯é²Äæý$…yîþ. Vø…Væü*Ææÿ		'గోంగూరా ఉన్నాయండీ. గోంగూర
1	240.0	™égê¨. ¡çÜ$Mø…yìþ.		తాజాది. తీసుకోండి.
1	270.1	ÆæÿÑ : ç³_aÑ$Ææÿç³M>Äæý$Ë$ ÌôýÐé?		రవి... : పచ్చిమిరపకాయలు లేవా?
1	300.3	Mört™èþ¯èþ$ : E¯é²Äæý$…yîþ! CÑVø.		కొట్టతను : ఉన్నాయండీ! ఇవిగో.
1	330.4	ÆæÿÑ : Ðèþ…M>Äæý$Ë$ G…™èþ?		రవి. : వంకాయలు ఎంత?
1	360.4	Mört™èþ¯èþ$ : MìüÌZ ç³¯ðþ²…yæþ$ Ææÿ*´ëÄæý$Ë…yîþ.		కొట్టతను : కిలో పన్నెండు రూపాయలండీ.
1	390.4	ÆæÿÑ : ½ÆæÿM>Äæý$Ë$ ?		రవి. : బీరకాయలు ?
1	420.7	Mört™èþ¯èþ$ : MìüÌZ ç³§æþMö…yæþ$¯èþ²Ææÿ.		కొట్టతను : కిలో పదకొండున్నర.
1	450.7	ÆæÿÑ : Móü»ô i G…™èþ?		రవి. :కేబేజీ ఎంత?
1	480.7	Mört™èþ¯èþ$ : MìüÌZ ç³¨ Ææÿ*´ëÄæý$Ë$.		కొట్టతను : కిలో పది రూపాయలు.
1	511.0	ÆæÿÑ : Ðèþ…M>Äæý$Ë$ JMæü MìüÌZ, ½ÆæÿM>Äæý$Ë$		రవి. : వంకాయలు ఒక కిలో, బీరకాయలు
