page	y	legacy	rom	te
0	429.5	¯óþsìý A…V>ÆæÿMæü {Væüçßý Ðé™éÐèþÆæÿ×ý…		నేటి అంగారక గ్రహ వాతావరణం
0	445.2	¿æý*Ñ$ Ðé™éÐèþÆæÿ×ý… Mæü…sñý 100 Æðÿr$Ï ç³Ë^èþV>		భూమి వాతావరణం కంటె 100 రెట్లు పలచగా
0	460.8	E…r$…¨.  A…§æþ$ÌZ »ŸVæü$Yç³#Ë$çÜ$		ఉంటుంది. అందులో బొగ్గుపులుసు
0	476.5	ÐéÄæý$$Ðèþ#, Mö…^ðþ… M>Ææÿ¾¯Œþ Ððþ*¯éMðüOüÞyŠþ, ±sìý		వాయువు, కొంచెం కార్బన్‌ మోనాక్రైడ్‌, నీటి
0	492.2	BÑÇ, ºçßý$Ôèý Mö…^ðþ… {´ë×ýÐéÄæý$$Ðèþ#		ఆవిరి, బహుళ కొంచెం ప్రాణవాయువు
0	507.7	E¯é²Æÿ$$.  ÝùÑÄæý$sŒý Æø§æþïÜ ¯úMæü õÜMæüÇ…_¯èþ		ఉన్నాయి. సోవియట్‌ రోదసీ నౌక సేకరించిన
0	523.4	"MöË™èþË ÐèþËÏ A…V>ÆæÿMæü {Væüçßý…ÌZ ""BÆ>Y¯Œþ'"		కొలతల వల్ల అంగారక గ్రహంలో “ఆర్గాన్‌
0	539.0	ÐéÄæý$$Ðèþ# Væü*yé E¯èþ²r$Ï Ñ¨™èþÐèþ$Æÿ$$…¨.		వాయువు గూడా ఉన్నట్లు విదితమయింది.
0	554.7	¿æý*Ñ$ Ò$¨ {´ë×ý$Ë ÐèþËÏ HÆæÿµyóþ ¯èþ{™èþf°		భూమి మీది ప్రాణుల వల్ల ఏర్పడే నత్రజని
0	570.4	AMæüPyæþ E¯èþ²§ø Ìôý§ø Mæü¯èþ$Vö¯èþÐèþËíÜ E¯èþ²¨.		అక్కడ ఉన్నదో లేదో కనుగొనవలసి ఉన్నది.
0	591.4	{Væüçßý Eç³Ç™èþË… Ò$§æþ çÜ…¿æýÑ…^óþ		(గ్రహ ఉపరితలం మీద సంభవించే
0	606.9	Ðésìý° Ðé™éÐèþÆæÿ×ý… {ç³†¼…¼çÜ$¢…r$…¨.		వాటిని వాతావరణం ప్రతిబింబిస్తుంటుంది.
0	622.5	Mæü¯èþ$Mæü CMæüPyìþ D çÜ*^èþ¯èþË$ iÑ Ðèþ$¯èþ$VæüyæþMæü$		కనుక ఇక్కడి ఈ సూచనలు జీవి మనుగడకు
0	638.4	A¯èþ$Mæü*ËÐðþ$O¯èþÑ M>Ðèþ#.  ò³OV> {ç³Ðèþ*§æþMæüÆæÿÐðþ$O¯èþ		అనుకూలమైనవి కావు. పైగా ప్రమాదకరమైన
1	160.3	A{ÌêtÐèþÄæý$ÌñýsŒý ÑMìüÆæÿ×ý… ¯èþ$…_ AMæüPyìþ		అల్ర్రావయలెట్‌ వికిరణం నుంచి అక్కడి.
1	176.2	Ðé™éÐèþÆæÿ×ý…ÌZ Ææÿ„æü×ý ^éÌê ™èþMæü$PÐèþV> E¯èþ²¨.		వాతావరణంలో రక్షణ చాలా తక్కువగా ఉన్నది.
1	192.4	AÆÿ$$¯èþç³µsìýMîü, çÜ*Mæü‡iÐèþ#Ë$ »êV> ¯óþË ÌZç³ÍMìü		అయినప్పటికీ, సూక్ష్మజీవులు బాగా నేల లోపలికి
1	208.5	Ððþãå AMæüPyæþ AÑ ™èþÐèþ$¯èþ$ ™éÐèþ$$ Ææÿ„ìü…^èþ$Mø-		వెళ్ళి అక్కడ అవి తమను తాము రక్షించుకో
1	224.7	VæüËÐèþ° iÐèþÔéçÜˆkqË$ ¿êÑçÜ$¢¯é²Ææÿ$.		గలవని జీవశాస్త్రజ్ఞులు భావిస్తున్నారు.
1	246.1	A…V>ÆæÿMæü {Væüçßý… Cç³šyìþç³šyóþ		అంగారక గ్రహం ఇప్పుడిప్పుడే
1	262.2	çÜiÐèþÐèþ$Ðèþ#™èþ$¯èþ²§é? ÌôýMæü´ù™óþ, A¨ Ðèþ$Ææÿ×ý		సజీవమవుతున్నదా? లేకపోతే, అది మరణ
