page	y	legacy	rom	te
0	384.4	CÐóþÓâæý Ðèþ$¯èþ ™é™èþÄæý$Å		ఇవ్వేళ మన తాతయ్య
0	408.8	ç³#sìýt¯èþÆøk		పుట్టినరోజు
0	446.0	™é™èþÄæý$Å : í³ËÏË*! D ò³sñýtÌZ H… E…¨?		తాతయ్య : పిల్లలూ! ఈ పెట్టెలో ఏం ఉంది?
0	475.7	çÜ$Ðèþ$ : ç³#çÜ¢Mæü… E…¨.		సుమ : పుస్తకం ఉంది.
0	505.3	™é™èþÄæý$Å : B ç³#çÜ¢Mæü… GÐèþÇ¨?		తాతయ్య : ఆ పుస్తకం ఎవరిది?
0	534.9	çÜ$Ðèþ$ : ÆæÿÑ¨.		సుమ : రవిది.
0	564.5	™é™èþÄæý$Å : ÆæÿÑ Hyìþ?		తాతయ్య : రవి ఏడి?
0	594.2	çÜ$Ðèþ$ : Ayæþ$Vø, AMæüPyæþ$¯é²yæþ$.		సుమ : అడుగో, అక్కడున్నాడు.
0	623.6	™é™èþ : B ç³#çÜ¢Mæü… GÐèþÇ¨?		తాత : ఆ పుస్తకం ఎవరిది?
1	179.8	çÜ$Ðèþ$ : Vøí³¨.		సుమ : గోపిది.
1	210.2	™é™èþ : Vøí³ Hyìþ?		తాత: గోప్‌ ఏడి?
1	240.7	çÜ$Ðèþ$ : Cyæþ$Vø, CMæüPyóþ E¯é²yæþ$ Mæü§é!		సుమ : ఇడుగో, ఇక్కడే ఉన్నాడు కదా!
1	271.1	™é™èþ : D MæüÌêË$ GÐèþÇÑ?		తాత : ఈ కలాలు ఎవరివి?
1	301.5	çÜ$Ðèþ$ : JMæüsìý MæüÐèþ$Ë¨; JMæüsìý Ñ¯ø§Šþ¨.		సుమ : ఒకటి కమలది; ఒకటి వినోద్‌ది.
1	332.0	™é™èþ : Ðéãå§æþªÆæÿ* HÇ?		తాత : వాళ్ళిద్దరూ ఏరి?
1	362.4	çÜ$Ðèþ$ : AÆæÿ$Vø!		సుమ : అరుగో!
1	392.9	™é™èþ : D çÜ…_ GÐèþÇ¨?		తాత : ఈ సంచి ఎవరిది?
1	423.3	çÜ$Ðèþ$ : ¯é¨		సుమ : నాది
1	453.8	™é™èþ : D çÜ…_ÌZ H… E¯é²Æÿ$$?		తాత : ఈ సంచిలో ఏం ఉన్నాయి?
1	484.2	çÜ$Ðèþ$ : ç³NË$¯é²Æÿ$$.		సుమ : పూలున్నాయి.
1	514.7	™é™èþ : B ç³NË$ GÐèþÇÑ?		తాత : ఆ పూలు ఎవరివి?
1	545.1	çÜ$Ðèþ$ : JMæü ç³#Ðèþ#Ó ¯é¨; JMæü ç³#Ðèþ#Ó ÑfÄæý$¨;		సుమ : ఒక పువ్వు నాది; ఒక పువ్వు విజయది;
1	560.3	JMæü ç³#Ðèþ#Ó çÜÆæÿâæý¨.		ఒక పువ్వు సరళది.
1	590.8	™é™èþ : Ðéâæý$Ï HÇ?		తాత : వాళ్లు ఏరి?
1	621.2	çÜ$Ðèþ$ : C§æþ$Vø!		సుమ : ఇదుగో!
2	179.8	™é™èþ : D »ŸÐèþ$Ã GÐèþÇ¨?		తాత : ఈ బొమ్మ ఎవరిది?
2	210.2	çÜ$Ðèþ$ : ¯é¨.		సుమ : నాది.
