page	y	legacy	rom	te
0	386.7	AMæüPyæþ °Ë$a¯èþ² Ðèþ$°íÙ		అక్కడ నిల్చున్న మనిషి
0	413.2	GÐèþÆæÿ$?		ఎవరు?
0	454.2	ÆæÿÑ		శర్మా! అక్కడ నిల్చున్న మనిషి
0	454.2	: ÔèýÆ>Ã! AMæüPyæþ °Ë$a¯èþ² Ðèþ$°íÙ		శర్మా! అక్కడ నిల్చున్న మనిషి
0	470.8	GÐèþÆæÿ$?		ఎవరు?
0	503.9	ÔèýÆæÿÃ : GÐèþÆø! çÜ$»ê¾Æ>Ðèþ# MøçÜ… Ðèþ^éayæþ$.		శర్మ. 2 ఎవరో! సుబ్బారావు కోసం వచ్చాడు.
0	520.5	Ðèþ$¯èþ… Gç³šyæþ* ^èþ*íÜ¯èþÐéyìþ		మనం ఎప్పుడూ చూసినవాడి,
0	537.1	ÌêV> Ìôýyæþ$.		లాగా లేడు.
0	570.2	ÆæÿÑ		: చాలా ముసలివాడి లాగా ఉన్నాడు.
0	570.2	: ^éÌê Ðèþ$$çÜÍÐéyìþ ÌêV> E¯é²yæþ$.		: చాలా ముసలివాడి లాగా ఉన్నాడు.
0	586.8	»êV> ÌêÐèþ#V> Væü*yé E¯é²yæþ$.		బాగా లావుగా గూడా ఉన్నాడు.
0	603.4	BÄæý$¯èþ ç³MæüP¯èþ GÐèþÆæÿ$?  Ðèþ$¯èþ		ఆయన పక్కన ఎవరు? మన
0	620.0	çÜ$»ê¾Æ>Ðóþ¯é?		'సుబ్బారావేనా?
1	160.1	ÔèýÆæÿÃ : AÐèþ#¯èþ$.  HÑ$sîý Aç³šyóþ Ððþâæý$¢&		శర్మ. : అవును. ఏమిటీ అప్పుడే వెళ్తు-
1	176.0	¯é²yé-Äæý$¯èþ?  Ðèþ$¯èþ çÜ$»ê¾Æ>Ðèþ#		న్నాడాయన? మన సుబ్బారావు
1	191.9	G…™èþ çÜ¯èþ²…V> E¯é²yø BÄæý$¯èþ		ఎంత సన్నంగా ఉన్నాడో ఆయన
1	207.8	A…™èþ ÌêÐèþ#V> E¯é²yæþ$.  ÐèþÄæý$çÜ$Þ		అంత లావగా ఉన్నాడు. వయస్సు
1	223.7	çÜ$Ðèþ*Ææÿ$ AÆæÿÐèþÄñý*Å yðþºÂÄñý*Å		సుమారు అరవయ్యో డెబ్బయ్యో
1	239.9	E…r$…¨.		ఉంటుంది.
1	271.7	BM>ÔèýÐé×ìý.  ÐéÆæÿ¢Ë$ Ñ…r$¯é²Ææÿ$...		ఆకాహూణి. వార్తలు వింటున్నారు...
1	303.5	ÆæÿÑ		: సుబ్బారావు! నీ దగ్గర ఉన్న
1	303.5	: çÜ$»ê¾Æ>Ðèþ#!  ± §æþVæüYÆæÿ E¯èþ²		: సుబ్బారావు! నీ దగ్గర ఉన్న
