page	y	legacy	rom	te
0	386.1	¯óþ°MæüPyæþò³sìýt¯èþ Mør$		నేనిక్కడపెట్టిన కోటు
0	412.6	HÐðþ$O…¨?		ఏమైంది?
0	455.0	Ò$ ^öM>P ÌZç³Ë$…¨ ™ðþÝë¢¯èþ$…yæþ…yìþ!		నేనిక్కడ పెట్టిన కోటు వమైంది?
0	455.0	¯óþ°-MæüPyæþ ò³sìýt¯èþ Mør$ HÐðþ$O…-¨?		నేనిక్కడ పెట్టిన కోటు వమైంది?
1	166.0	Ò$ Mæüº$Ææÿ$Ï C…M> ç³NÇ¢ M>Ìôý§é AÐèþ*Ã!		మీ కబుర్లు ఇంకా పూర్తి కాలేదా అమ్మా!
1	178.6	§óþÔèý…ÌZ gôýº$§ö…VæüË$ GMæü$PÐèþÄæý*ÅÆæÿÄæý*Å!		దేశంలో జేబుదొంగలు ఎక్కువయ్యారయ్యా!.
1	443.7	íÜ°Ðèþ* õ³Ææÿ$ ^èþ*õÜ¢ Væü$Æö¢_a…¨; ò³Ææÿ$Væü$ ™øyæþ$»ñýrtyæþ… Ðèþ$Ç_´ùÄæý*¯èþ…yîþ!		సినిమా పేరు చూస్తే గుర్దొచ్చింది; పెరుగు తోడుబెట్టడం మరిచిపోయానండీ!
2	173.9	^ðþç³šË$ ™ðþÐèþ$Ã¯é²Ðèþ#Væü§é! Úëç³#§æþVæüYÆæÿ ± òÜOk AÐèþ*ÃÆÿ$$ Mæü°í³…_…¨. Úëç³#ÌZMìü		చెప్పులు తెమ్మన్నావ్రుగదా! షాపుదగ్గర నీ పైజు అమ్మాయి కనిపించింది. షాపులోకి
2	185.9	í³Í^é¯èþ$ ......		పిలిచాను 4
2	473.6	CË$Ï Fyæþ$çÜ$¢…sôý Mæü°í³…^éÆÿ$$ ¡çÜ$Mø!		ఇల్లు ఊడుస్తుంటే కలైపించాయి తీసుకో!
2	484.2	ïÜ¯èþ*! CMæüPyæþ ± M>Ææÿ*t¯èþ$Ï ç³yézÆÿ$$,		పీనూ! ఇక్కడ నీ కార్వ్పూన్లు పడ్డాయి,
2	496.1	^èþ*yæþ$!		చూడు!
3	197.6	´ëyæþ$ AËÐér$! C¨		పొడు అలవాటు! ఇది
3	201.5	§æþçÜÆ> Ðèþ*Ðèþ$*Ë$ ^óþ†ÌZ		దనరా మామూలు చేతిలో
3	209.5	A»ê¾Æÿ$$ {´ù{Væü‹Ü M>Ææÿz…yîþ !		అబ్బాయి (్రోగ్రస్‌ కార్డండీ 1
3	213.5	ç³yìþ™óþV>° çÜ…™èþMæü… ò³rt¯èþ$ !		'పడితేగాని సంతకం పెట్టను 1
3	438.4	ÝëÈ ÝëÆŠÿ! ¯óþ¯èþ$ CÐéÓâæý òÜËÐèþ# Ò$§æþ E¯é²¯èþ$. BïœçÜ$ÌZ °{§æþ´ù™èþ$¯é²Ðèþ#. C¨ ±		
3	450.4	C…sZÏ °{§æþç³rtMæü´ù™óþ CMæüPyìþMìü Ðèþ^éa¯èþ$. CËÏ¯èþ$Mæü$¯é²Ðé? BïœçÜ¯èþ$Mæü$¯é²Ðé?		
4	179.2	A¨ MæüÚëÄæý$Ðóþ$! CÐéÓâæý		అది కషాయమే! ఇవ్వాళ
4	190.3	d! D f¯èþÃÌZ ±Mæü$ M>ïœ		ఛీ! ఈ జన్మలో లీకు కాఫీ,
4	191.2	Væü*yé  M>ïœ´÷yìþ		గూడా. కాఫీపొడి.
4	202.2	^ðþÄæý$År… Æ>§æþ$.		చెయ్యటం కాదు.
4	203.1	¡çÜ$Mæü$Æ>Ðèþr… Ðèþ$Ça´ùMæü…yìþ!		తీసుకురావటం మర్చిపోకండి!
4	214.2	MæüÚëÄæý$…ÌêV> E…¨.		కషాయంలాగా ఉంది.
4	426.0	G…™èþ ò³§æþª MæüË… ™ðþ^éa¯ø ^èþ*yæþ$. C¨ ± ç³#sìýt¯èþÆøk M>¯èþ$Mæü. JMæüÝëÇ íÜÆ> ´ùõÜ¢ JMæü		ఎంత పెద్ద కలం తెచ్చానో చూడు. ఇది లీ పుట్టినరోజు కానుకః ఒకసరి సిరా పోస్తే ఒక
4	438.0	¯èþÐèþË ç³NÇ¢^ðþÄæý$ÅÐèþ^èþ$a!		నవల పూర్తిచెయ్యవబ్చు!
5	170.2	çÜ$»ê¾Æ>Ðèþ# ç³È„æü ´ëçÜÄæý*Åyé M>Ìôý§é!		'నుబ్బారావు పరీక్ష పాసయ్యాడా కాలేదా!
5	234.7	¯èþ¯èþ²yæþ$Væü$™éÐóþ…? Ðéyìþ		నన్నడ్రుగుతావేం? వాడి
5	246.6	™èþËÒ$§æþ sZï³		తలమీద టోపీ
5	258.8	Mæü°í³…^èþr…Ìôý§é !		'కనిపెంచటంలేదా 1
5	327.7	"""""Aº¾! ç³¯èþ$² ¯ðþí³µV> E…¨.''"		“అబ్బ! పన్ను నైప్పిగా ఉంది.”
5	339.7	"""""Ðèþ$Ò$Ã! ç³…sìý¯ðþí³µ A…sôý HÑ$sìý?"		“మమ్మీ! పంటినెప్పి అంటే ఏమిటి?
5	351.6	Æ>Ðèþ$*Mæü$ ç³…sìý¯ðþí³µ A…sôý HÑ$sZ AçÜÌôý		౧ రామూకు పంటినెప్పి అంటే ఏమిటో అసలే
5	363.5	™ðþÍÄæý$§æþ$. M>Ææÿ×ý…? Æ>Ðèþ$*Mæü$ AçÜË$ ç³âôýÏ ÌôýÐèþ#!		ఈ తెలియదు. కారణం? రామూకు అనలు పళ్లే లేవు!
5	499.1	ÆæÿÐèþ*! ÝëÄæý$…{™èþ… ´ëuæÿ… ^èþ§æþ$Ðèþ#™éÐé? (°¯èþ²)		రమా! సాయంత్రం పాఠం చదువుతావా? (నిన్న
5	514.8	°¯èþ²¯óþ ^èþ¨Ðé¯èþ$.		నిన్ననే చదివాను.
5	530.2	1. ç³§éÃ! D íÜ°Ðèþ* ^èþ*Ýë¢Ðé? (Ððþ$$¯èþ²)		1. పద్మా: ఈ సినిమా చూస్తావా? (మొన్న)
5	545.9	2. Ò$Ç§æþªÆæÿ$ ÔèýÆæÿÃ¯èþ$ yæþº¾yæþ$Væü$™éÆ>? (°¯èþ²)		2. మీరిద్దరు శర్మను డబ్బడుగుతారా? (నిన్న
