page	y	legacy	rom	te
0	377.5	C§óþ¯èþ…yîþ Ðèþ* ´÷Ë…!		ఇదేనండీ మా పొలం!
0	455.5	Æ>Ðèþ$Äæý$Å : C§óþ¯èþ…yîþ Ðèþ* ´÷Ë….		రామయ్య : ఇదేనండీ మా పాలం.
0	488.7	´ë{™ø : G°² GMæüÆ>Ë…yîþ?		పాత్రో : ఎన్ని ఎకరాలండీ?
0	521.8	Æ>Ðèþ$Äæý$Å : ¯éË$Væü$ GMæüÆ>Ë$.  Ò$§óþÐèþNÆæÿ$		రామయ్య : నాలుగు ఎకరాలు. మీదేవూరు
0	538.4	»êº*?		బాబూ?
0	571.6	´ë{™ø : Ðèþ* ÐèþNÆæÿ$ ç³NÈ §æþVæüYÆæÿ.  JÇÝëÞÌZ		పాత్రో : మా వూరు పూరీ దగ్గర. ఒరిస్సాలో
0	588.1	E…¨.		ఉంది.
0	621.3	Æ>Ðèþ$Äæý$Å : C…™èþ §æþ*Ææÿ… Ðèþ^éaÆóÿ…?		రామయ్య : ఇంత దూరం వచ్చారేం?
1	160.6	´ë{™ø : Ò$ Æ>çÙ‰… ^èþ*yæþsê°Mìü Ðèþ^éa¯èþ$.		పాత్రో: మీ రాష్ట్రం చూడటానికి వచ్చాను.
1	193.7	Æ>Ðèþ$Äæý$Å : HÄôý$ Fâæý$å ^èþ*ÔéÆæÿ$ »êº*?		రామయ్య : ఏయే ఊళ్ళు చూశారు బాబూ?
1	226.9	´ë{™ø : ^éÌê Fâæý$å ^èþ*Ôé¯èþ$.		పాత్రో: చాలా ఊళ్ళు చూశాను.
1	243.4	ÑÔéQç³r²…, ÑfÄæý$Ðéyæþ,		విశాఖపట్నం, విజయవాడ,
1	260.0	Væü$…r*Ææÿ$, J…VøË$ ^èþ*Ôé¯èþ$.		గుంటూరు, ఒంగోలు చూశాను.
1	276.6	C…M> ^èþ*yéÍÞ¯èþ Fâæý$å ^éÌê		ఇంకా చూడాల్సిన ఊళ్ళు చాలా
1	293.2	E¯é²Æÿ$$.  D G§æþ$ªË$ Ò$Ðóþ¯é?		ఉన్నాయి. ఈ ఎద్దులు మీవేనా?
