lesson	seq	speaker	en	rom	legacy	keys	flags
49	1	Ë™èþ	Kamala!  Will Vimala be sleeping now?		Ë™èþ : MæüÐèþ$Ìê!  Cç³šyæþ$ ÑÐèþ$Ë °{§æþ ´ù™èþ* E…r$…§é?	0:440.3;0:456.0	no-rom
49	2	MæüÐèþ$Ë	She won't be sleeping. She has examinations from tomorrow. She will be studying.		MæüÐèþ$Ë : °{§æþ´ù™èþ* E…yæþ§æþ$.  Æóÿç³sìý°…_ ÐéâæýåMæü$ ç³È„æüË$, ^èþ§æþ$Ðèþ#™èþ* E…r$…¨.	0:487.4;0:503.1;0:518.5	no-rom
49	3	Ë™èþ	I have to talk to Vimala.  Her sister told that she would come today from Guntur. Would she have come?		Ë™èþ : ¯óþ¯èþ$ ÑÐèþ$Ë™ø Ðèþ*sêÏyéÍ. Ðéâæýå ^ðþÌñýÏË$ Væü$…r*Ææÿ$ °…_ CÐéÓâæý ÐèþÝë¢¯èþ¯èþ²¨.  Ðèþ_a E…r$…§é?	0:549.9;0:565.6;0:581.3	no-rom
49	4	MæüÐèþ$Ë	She would not have come.  There is a music concert at Guntur. Her sister likes music.		MæüÐèþ$Ë : Ðèþ_a E…yæþ§æþ$.  CÐéÓâæý Væü$…r* Ææÿ$ÌZ ´ërMæü^óþÇ E¯èþ²¨.  Ðéâæýå ^ðþÌñýÏÍMìü çÜ…X™èþ… A…sôý Æÿ$$çÙt….	0:612.4;0:628.1;0:643.8	no-rom
49	5	Ë™èþ	What does she like?  Classical music or light music?		Ë™èþ : ÔéïÜˆÄæý$ çÜ…X™èþ… Æÿ$$çÙtÐèþ*?  ËÍ™èþ çÜ…X™èþ… Æÿ$$çÙtÐèþ*?	1:160.6;1:177.1	no-rom
49	6	MæüÐèþ$Ë	She likes both. She likes classical music better.		MæüÐèþ$Ë : Æðÿ…yæþ* Æÿ$$çÙtÐóþ$!  ÔéïÜˆÄæý$ çÜ…X™èþ… »êV> Æÿ$$çÙt….	1:210.3;1:226.9	no-rom
49	7	Ë™èþ	Does she sing well?		Ë™èþ : BÐðþ$ »êV> ´ëyæþ$™èþ$…§é?	1:260.0	no-rom
49	8	MæüÐèþ$Ë	She plays on Veena well. Vimala also plays Veena well.  Her father bought two Veenas for both of them two days ago.		MæüÐèþ$Ë : Ò×ý »êV> ÐéÆÿ$$çÜ$¢…¨.  ÑÐèþ$Ë Væü*yé Ò×ý ÐéÆÿ$$çÜ$¢…¨.  Ðéâæýå ¯é¯èþ²V>Ææÿ$ Æðÿ…yæþ$ ÆøkË {Mìü™èþÐóþ$ Ðéãå§æþªÇMîü ^ðþÇ JMæü Ò×ý Mö° Æÿ$$^éaÆæÿ$.	1:293.2;1:309.7;1:326.3;1:342.9	no-rom
49	9	Ë™èþ	I see! I shall go then.		Ë™èþ : AÌêV>!  Ðèþ$Ç ¯óþ¯èþ$ Ððþãå ÐèþÝë¢¯èþ$.	1:376.0	no-rom
49	10	MæüÐèþ$Ë	Okay.		MæüÐèþ$Ë : çÜÆóÿ!	1:409.2	no-rom
49	11	çÜ$»ê¾Æ>Ðèþ#	Mr. Sarma! My daughter's house is in this street. My Son-in-law is going to Delhi tomorrow. My son is also going with him. Let's go and find out at what time he is leaving home. You go.  I will be going slowly. May I go this away?		çÜ$»ê¾Æ>Ðèþ# : ÔèýÆæÿÃV>Ææÿ*!  D Ò¤ÌZ Ðèþ* AÐèþ*ÃÆÿ$$ Ðéâæýå CË$Ï…¨.  Ðèþ* AË$Ïyæþ$ Æóÿç³# ÉìþÎÏ Ððþâæý$¢¯é²yæþ$. A™èþ°™ø Ðèþ* A»ê¾Æÿ$$ Væü*yé Ððþâæý$¢¯é²yæþ$.  C…sìý §æþVæüYÆæÿ G°² Væü…rËMæü$ ºÄæý$ÌôýªÆ>¢yø Mæü¯èþ$Mæü$P° Ðèþ§éª….  Æ>…yìþ. ÔèýÆæÿÃ : Ò$Ææÿ$ ÐðþãåÆæÿ…yìþ.  ¯óþ¯èþ$ Ððþ$ËÏV> Ððþâæý*¢ Ðèþ#…sê¯èþ$.  Cr$ÐðþOç³# ÐðþâæýåÐèþ^éa?	1:455.5;1:472.1;1:488.7;1:505.3;1:521.8;1:538.4;1:555.0;1:588.1;1:604.7;1:621.3	no-rom
49	12	çÜ$»ê¾Æ>Ðèþ#	You should not go that side. That is one way traffic. I see!		çÜ$»ê¾Æ>Ðèþ#: Ar$ ÐðþâæýåMæü*yæþ§æþ$.  A¨ Ðèþ¯ŒþÐóþ {sêíœMŠü. ÔèýÆæÿÃ : AÌêV>!	2:160.6;2:177.1;2:210.3	no-rom
49	13	çÜ$»ê¾Æ>Ðèþ#	That is why I suggest that both of us can go together.  Come on! My chappals are torn.  In the meantime I shall give them here for mending.  You call on him and come.  Don't delay much.		çÜ$»ê¾Æ>Ðèþ#: A…§æþ$Móü ^ðþç³#¢¯é²¯èþ$.  C§æþªÆæÿ… MæüÍíÜ Ððþâêª…Ææÿ…yìþ. ÔèýÆæÿÃ : ¯é ^ðþç³šË$ ™ðþV>Æÿ$$.  C…™èþÌZ Ðésìý° Mæü$rtsê°Mìü Æÿ$$MæüPyæþ Æÿ$$Ýë¢¯èþ$.  Ò$Ææÿ$ ^èþ*íÜ Ææÿ…yìþ. GMæü$PÐèþ BËçÜÅ… ^ðþÄæý$ÅÐèþ§æþ$ª.	2:243.4;2:260.0;2:293.2;2:309.7;2:326.3;2:342.9	no-rom
49	14	çÜ$»ê¾Æ>Ðèþ#	Come on!  Let's go after attending to your work. Are they going to Delhi on the same work?		çÜ$»ê¾Æ>Ðèþ# : ç³§æþ…yìþ.  Ðèþ$$…§æþ$ Ò$ ç³° AÆÿ$$¯èþ ™èþÆ>Ó™èþ C§æþªÆæÿ… MæüÍõÜ Ððþâêª…. ÔèýÆæÿÃ : ÉìþÎÏMìü C§æþªÆæÿ* JMóü ç³° Ò$§æþ Ððþâæý$¢¯é²Æ>?	2:376.0;2:392.6;2:425.8;2:442.3	no-rom
49	15	çÜ$»ê¾Æ>Ðèþ#	Son-in-law's work is different; my son's work is different. This is the house.  Lata! At what time is your husband leaving? The train is at 8.30P.M., father! I presume he will leave home at 7 O'clock.  Ask brother to come here itself.  Both will go together from here.		çÜ$»ê¾Æ>Ðèþ#: Ìôý§æþ$.  AË$Ïyìþ ç³° ÐóþÆæÿ$ Ðèþ* A»ê¾Æÿ$$ ç³° ÐóþÆæÿ$. C§æþ$Vø C§óþ CË$Ï. AÐèþ*Ã! Ë™é! Ò$ BÄæý$¯èþ {ç³Äæý*×ý… G°² Væü…rËMæü$? Ë™èþ : ÆðÿOË$ Æ>{† 8.30Mæü$ ¯é¯èþ²V>Ææÿ*! C…sìý §æþVæüYÆæÿ Hyìþ…sìýMìü ºÄæý$ÌôýªÆ>¢Ææÿ$ A¯èþ$Mæü$…r$¯é²¯èþ$. ™èþÐèþ$$Ã×ìý~ CMæüPyìþMóü ÆæÿÐèþ$Ã¯èþ…yìþ.  C§æþªÆæÿ* MæüÍõÜ Ððþâê¢Ææÿ$.	2:475.5;2:492.1;2:508.6;2:525.2;2:558.4;2:574.9;2:591.5;2:608.1;2:624.7	no-rom
