guid	lesson	seq	speaker	en	rom	legacy	keys	flags
I4b72f44e3c76	28	1	ÆæÿÑ	Yes.  We came at 5 o'clock. You were not home then.  But your scooter and bicycle were there.  We looked for you a long time.  We asked (en- quired) your brother also (about you).  He told us that you had gone to the hospital.		ÆæÿÑ : AÐèþ#¯èþ$.  I§æþ$ Væü…rËMæü$ Ðèþ^éa….  Aç³šyæþ$ ¯èþ$Ðèþ#Ó ÌôýÐèþ#. ± çÜ*PrÆæÿ* òÜOMìüË* E¯é²Æÿ$$. ± MøçÜ… ^éÌê õÜÐèþ# ^èþ*Ôé…. Ò$ ™èþÐèþ$$Ã×ìý~ Mæü*yé AyìþV>…. BçÜµ{†Mìü Ððþâêåyæþ$ A¯é²yæþ$.	0:509.6;0:524.8;0:540.0;0:555.2;0:570.4;0:585.7	no-rom
I03633f0f1475	28	2	Ððþ…Mæü	Yes.  I went to the hospital.		Ððþ…Mæü : AÐèþ#¯èþ$; BçÜµ{†Mìü Ððþâêå¯èþ$.	1:179.8	no-rom
I5349a0b27376	28	3	ÆæÿÑ	Why did you go to the hospital?		ÆæÿÑ : BçÜµ{†Mìü G…§æþ$Mæü$ ÐðþâêåÐèþ#?	1:210.2	no-rom
If3df5af0c4c3	28	4	Ððþ…Mæü	I had pain in the ear.		Ððþ…Mæü : ^ðþÑÌZ ¯ðþí³µV> E…¨.	1:240.7	no-rom
I4ec26351edcf	28	5	ÆæÿÑ	Did you take any medicine?		ÆæÿÑ : Ðèþ$…§æþ$ ¡çÜ$Mæü$¯é²Ðé?	1:271.1	no-rom
I06d49ba1d473	28	6	Ððþ…Mæü	Yes, I took it.		Ððþ…Mæü : ¡çÜ$Mæü$¯é²¯èþ$.	1:301.5	no-rom
I359b28cf2055	28	7	ÆæÿÑ	Was the pain gone?		ÆæÿÑ : ¯ðþí³µ ™èþWY…§é?	1:332.0	no-rom
Ib8f73098ac5a	28	8	Ððþ…Mæü	"It is coming down slowly now.  "" It will be gone completely by the evening,"" said the doctor."		Ððþ…Mæü : Cç³šyìþç³šyóþ ™èþVæüY$™ø…¨.  ÝëÄæý$…& {™é°Mìü ç³NÇ¢V> ™èþVæü$Y™èþ$…¨ A¯é²Ææÿ$ yéMæütÆæÿ$.	1:362.4;1:377.7;1:392.9	no-rom
I3363894c7b15	28	9	ÆæÿÑ	I repaired your radio.		ÆæÿÑ : çÜÆóÿ, ± ÆóÿyìþÄñý* »êVæü$^óþÔé¯èþ$.	1:423.3	no-rom
Idaf91df9498f	28	10	Ððþ…Mæü	Oh!  Did you bring it?		Ððþ…Mæü : AÌêV>!  ¡çÜ$Mö^éaÐé?	1:453.8	no-rom
Ie3de86c94b5f	28	11	ÆæÿÑ	Here it is.		ÆæÿÑ : C§æþ$Vø.	1:484.2	no-rom
Ia6f1bbb66c21	28	12	Ððþ…Mæü	Kamala asked me to bring the radio yesterday evening itself. You said some parts were re- quired for it.  Were they avail- able?		Ððþ…Mæü : MæüÐèþ$Ë °¯èþ² ÝëÄæý$…{™èþÐóþ$ ÆóÿyìþÄñý* ¡çÜ$Mæü$Ææÿ…yìþ A¯èþ²¨.  §é°Mìü Mö°² ÐèþçÜ$¢Ðèþ#Ë$ M>ÐéÍ A¯é²Ðèþ# Mæü§é! AÑ §öÇM>Äæý*?	1:514.7;1:529.9;1:545.1;1:560.3	no-rom
I742eec49842c	28	13	ÆæÿÑ	Yes.  They were available.  I have completed the work also.		ÆæÿÑ : B!  ÐèþçÜ$¢Ðèþ#Ë$ §öÇM>Æÿ$$; ç³° ç³NÇ¢^óþÔé¯èþ$.	1:590.8;1:606.0	no-rom
