guid	lesson	seq	speaker	en	rom	legacy	keys	flags
I900622da0ee2	20	1	Vøí³	Ravi!  You should do me a favour.		Vøí³ : ÆæÿÒ! ¯èþ$Ðèþ#Ó ¯éMöMæü çÜàÄæý$… ^ðþÄæý*ÅÍ	0:435.5;0:450.7	no-rom
I345499d94f8f	20	2	ÆæÿÑ	What is it?		ÆæÿÑ : HÑ$sìý?	0:481.1	no-rom
Ida7fb1eca37c	20	3	Vøí³	There is Telugu film in Gayatri talkies.		Vøí³ : HÒ$Ìôý§æþ$. V>Äæý${¡ sêMîüçÜ$ÌZ ™ðþË$Væü$ íÜ°Ðèþ* E…¨.	0:511.6;0:526.8	no-rom
Iba446ed81f9c	20	4	ÆæÿÑ	What about, then?		ÆæÿÑ : AÆÿ$$™óþ HÑ$sìý?	0:557.3	no-rom
I2345d13ecc4b	20	5	Vøí³	I have to go to that cinema.		Vøí³ : B íÜ°Ðèþ*Mæü$ ´ùÐéÍ.	0:587.7	no-rom
Ie698e794debc	20	6	ÆæÿÑ	Go then!		ÆæÿÑ : ´ù!	0:618.2	no-rom
Ieb93eb249855	20	7	Vøí³	You should also come with me.		Vøí³ : ¯èþ$Ðèþ#Ó Mæü*yé ¯é™ø Æ>ÐéÍ.	1:179.8	no-rom
I2b5b2a1aa01f	20	8	ÆæÿÑ	Why should I?		ÆæÿÑ : ¯óþ¯ðþ…§æþ$Mæü$?	1:210.2	no-rom
I0fee1f331f6a	20	9	Vøí³	To see the cinema.		Vøí³ : G…§æþ$MóüÑ$sìý? íÜ°Ðèþ*Mæü$.	1:240.7	no-rom
Iac8dc7eff3dd	20	10	ÆæÿÑ	I have work.		ÆæÿÑ : Cç³šyæþ$ ¯éMæü$ ç³° E…¨.	1:271.1	no-rom
Ib2854944a7a9	20	11	Vøí³	What work?		Vøí³ : H… ç³°?	1:301.5	no-rom
