guid	lesson	seq	speaker	en	rom	legacy	keys	flags
I6360c99829be	42	1		"WHAT HAPPEND TO ""Oh! I have a toothache."" "" Mummy!  What is a toothache?"""		¯óþ°MæüPyæþò³sìýt¯èþ Mør$	0:386.1	prose no-rom
I946119a84b8d	42	2		THE COAT THAT I want the reason?		HÐðþ$O…¨?	0:412.6	prose no-rom
If55c4f7541a6	42	3		I am reminded by the name of the movie : I forgot to culture the milk (for See how big pen I brought for you! This is my gift for your birthday.  Once you		Ò$ ^öM>P ÌZç³Ë$…¨ ™ðþÝë¢¯èþ$…yæþ…yìþ!	0:455.0	prose no-rom
If55c4f7541a6	42	4		I am reminded by the name of the movie : I forgot to culture the milk (for See how big pen I brought for you! This is my gift for your birthday.  Once you		¯óþ°-MæüPyæþ ò³sìýt¯èþ Mør$ HÐðþ$O…-¨?	0:455.0	prose no-rom
Id6d2cbd560e6	42	5				Ò$ Mæüº$Ææÿ$Ï C…M> ç³NÇ¢ M>Ìôý§é AÐèþ*Ã!	1:166.0	prose no-en no-rom
I00b178a66b9f	42	6		Mom! Arn't you finished gossiping Has subbarao passed the examination or		§óþÔèý…ÌZ gôýº$§ö…VæüË$ GMæü$PÐèþÄæý*ÅÆæÿÄæý*Å!	1:178.6	prose no-rom
I6981539d864a	42	7				íÜ°Ðèþ* õ³Ææÿ$ ^èþ*õÜ¢ Væü$Æö¢_a…¨; ò³Ææÿ$Væü$ ™øyæþ$»ñýrtyæþ… Ðèþ$Ç_´ùÄæý*¯èþ…yîþ!	1:443.7	prose no-en no-rom
I2c1ffde0e93b	42	8		Mom! Arn't you finished gossiping		^ðþç³šË$ ™ðþÐèþ$Ã¯é²Ðèþ#Væü§é! Úëç³#§æþVæüYÆæÿ ± òÜOk AÐèþ*ÃÆÿ$$ Mæü°í³…_…¨. Úëç³#ÌZMìü	2:173.9	prose no-rom
I1591f144217a	42	9		Mom! Arn't you finished gossiping yet? Has subbarao passed the examination or		í³Í^é¯èþ$ ......	2:185.9	prose no-rom
I2dd92d3dda42	42	10		Your shirt is inside. Please wait a while I What happend to the coat that I bring it. kept here? curds). Sorry sir!  Today I am on leave. I came You are sleeping in the office. What do here as I couldn't sleep at you think? Is this your house or office? fill it with ink you can write a novel in one go.		CË$Ï Fyæþ$çÜ$¢…sôý Mæü°í³…^éÆÿ$$ ¡çÜ$Mø!	2:473.6	prose no-rom
Ie047fe2e5606	42	11		bring it. kept here? I found them while sweeping the here as I couldn't sleep at you think? Is this your house or office? home.		ïÜ¯èþ*! CMæüPyæþ ± M>Ææÿ*t¯èþ$Ï ç³yézÆÿ$$,	2:484.2	prose no-rom
I9d491a2f0055	42	12		I found them while sweeping the floor.  Take them. home.		^èþ*yæþ$!	2:496.1	prose no-rom
If9b39f1e54cf	42	13		yet? Now-a-days there are a lot more You asked me to buy sandles for you, didn't you ! not !		´ëyæþ$ AËÐér$! C¨	3:197.6	prose no-rom
I6b4ea7c98320	42	14		yet? Now-a-days there are a lot more pickpockts in the country! You asked me to buy sandles for you, didn't you ! not !		§æþçÜÆ> Ðèþ*Ðèþ$*Ë$ ^óþ†ÌZ	3:201.5	prose no-rom
