guid	lesson	seq	speaker	en	rom	legacy	keys	flags
Ie29594568a05	25	1	ÔèýÆæÿÃ	Hello!  Prasad!  How long have been wearing glasses?  I see you wearing for the first time just now.		ÔèýÆæÿÃ : H… {ç³Ýë§Šþ!  MæüâæýågZyæþ$ G°² ÆøkË °…_ ò³r$tMæü$…r$¯é²Ðèþ#? ¯èþ$Ðèþ#Ó MæüâæýågZyæþ$ ò³r$tMør… Cç³šyóþ ^èþ*çÜ$¢¯é²¯èþ$.	0:448.9;0:464.1;0:479.3;0:494.5	no-rom
I1f704da585ef	25	2	{ç³Ýë§Šþ	I started wearing glasses for the last four days only.  Do you have any houses vacant in your area?		{ç³Ýë§Šþ : ¯éË$Væü$ ÆøkË °…^óþ ò³r$tMæü$…& r$¯é²¯èþ$.  Ò$ õ³rÌZ Câæý$å RêäV> E¯é²Äæý*?	0:525.0;0:540.2;0:555.4	no-rom
I9621c9375583	25	3	ÔèýÆæÿÃ	Why?		ÔèýÆæÿÃ : G…§æþ$Mæü$?	0:585.9	no-rom
I7b7a5880e383	25	4	{ç³Ýë§Šþ	I want one.		{ç³Ýë§Šþ : ¯éMæü$ M>ÐéÍ.	0:616.3	no-rom
I1b5948735ca8	25	5	ÔèýÆæÿÃ	Why?  Your house is all right. Isn’t it?		ÔèýÆæÿÃ : H…?  Ò$ CË$Ï »êV>¯óþ E…¨V>?	1:178.7	no-rom
I7159c95c26ae	25	6	{ç³Ýë§Šþ	The house is good.  But it is getting difficult to stay in that house.		{ç³Ýë§Šþ : CË$Ï »êV>¯óþ E…¨; M>° E…yæþyæþ… ^éÌê MæüçÙt…V> E…¨.	1:206.3;1:220.1	no-rom
I1fef15df6c81	25	7	ÔèýÆæÿÃ	Why?  Is not your landlord a good person.		ÔèýÆæÿÃ : H…?  C…r™èþ¯èþ$ Ðèþ$…_Ðéyæþ$ M>§é?	1:247.7	no-rom
I2b080d63305c	25	8	{ç³Ýë§Šþ	The landlord is a good person. But the house is entirely dark. The lights should be on all the time.  That is not all.  It is also far off from the office.  It is difficult to go and come back.		{ç³Ýë§Šþ : C…r™èþ¯èþ$ Ðèþ$…_Ðéyóþ!  M>° CËÏ…™é `Mæüsìý.  Gç³šyæþ* ÌñýOr$ E…yéÍ.  A…™óþ M>§æþ$.  BïœçÜ$Mæü$ ^éÌê §æþ*Ææÿ… Væü*yé!  Æ>Ðèþyæþ… ´ùÐèþyæþ… G…™ø MæüçÙt….	1:275.3;1:289.1;1:302.7;1:316.5;1:330.3	no-rom
I8152088c3ef9	25	9	ÔèýÆæÿÃ	The house rents are higher in our area than in your area.		ÔèýÆæÿÃ : Ò$ õ³rÌZ Câæýå Mæü…sñý Ðèþ* õ³rÌZ Câæýå A§ðþªË$ GMæü$PÐèþ.	1:357.9;1:371.7	no-rom
I4b8be8e5a8c0	25	10	{ç³Ýë§Šþ	So what?  The houses in your locality are more convenient than in our locality.  They are big too.  Is your landlord a good man?		{ç³Ýë§Šþ : AÆÿ$$™óþ H…?  Ðèþ* õ³rÌZ Câæýå Mæü…sñý Ò$ õ³rÌZ Câæý$å »êVæü$¯é²Æÿ$$. ò³§æþªÑ Væü*yé!  Ò$ C…r™èþ¯èþ$ Ðèþ$…_Ðéyóþ¯é?	1:399.3;1:413.1;1:426.9;1:440.7	no-rom
