lesson	seq	speaker	en	rom	legacy	keys	flags
52	1	Æ>Ðèþ$$	Father!  Brother and sister-in- law are arriving from Vi- jayawada.  Aren't they?  I will go to the station.		Æ>Ðèþ$$ : ¯é¯èþ²V>Ææÿ*!  CÐóþÓâæý ÝëÄæý$…{™èþ… A¯èþ²Äæý*Å Ðèþ¨¯é ÑfÄæý$Ðéyæþ °…_ ÐèþçÜ$¢¯é²Ææÿ$ Mæü§æþ*!  ¯óþ¯èþ$ õÜtçÙ¯èþ$Mæü$ Ððþâê¢¯èþ$.	0:446.7;0:463.3;0:479.9;0:496.4	no-rom
52	2	Ðèþ$*Ç¢	Go.  Do you know what to do to go to the platform? I know it father.  If we want to go		Ðèþ$*Ç¢ : Ððþâæý$å.  ´ëÏsŒý¸ëÆæÿÐŒþ$ Ò$¨Mìü Ððþâêå& Ë…sôý H… ^ðþÄæý*ÅÌZ ™ðþË$Ýë?	0:529.6;0:546.2	no-rom
52	3	Æ>Ðèþ$$	to the platform we have to buy a platform ticket.  Unless we show it, will they allow us in?		Æ>Ðèþ$$ : ™ðþË$çÜ$ ¯é¯èþ²V>Ææÿ*!  ´ëÏsŒý¸ëÆæÿÐŒþ$ Ò$¨Mìü ÐðþâêåË…sôý ´ëÏsŒý¸ëÆæÿÐŒþ$ sìýMðüPr$t Mö¯éÍ.  A¨ ^èþ*í³…^èþMæü& ´ù™óþ ÌZç³ÍMìü Æ>°Ýë¢Æ>?	0:579.3;0:595.9;0:612.5;0:629.0	no-rom
52	4	Ðèþ$*Ç¢	Their allowing or not allowing is not our concern.  It is our reponsibility to buy a platform ticket to go in.		Ðèþ$*Ç¢ : Ðéâæý$å Æ>°ÐèþÓr… Æ>°ÐèþÓMæü´ùÐèþr… Ðèþ$¯èþMæü$ AMæüPÆóÿÏ§æþ$.  ´ëÏsŒý¸ëÆæÿÐŒþ$ sìýMðüPr$t Mö° ÌZç³ÍMìü Ððþâæýår… Ðèþ$¯èþ ç³°.	1:161.0;1:176.9;1:193.0	no-rom
52	5	Æ>Ðèþ$$	But, when I went earlier along with sister, they allowed in without a ticket.  Nobody asked for it.		Æ>Ðèþ$$ : M>° Mìü…§æþsìý ÝëÇ ¯óþ¯èþ$ AMæüPÄæý$Å™ø Ððþãå¯èþç³šyæþ$ Ðéâæý$å sìýMðüPr$t ÌôýMæü$…& yé¯óþ ´ù°^éaÆæÿ$. GÐèþÆæÿ* AyæþVæüÌôý§æþ$.	1:225.1;1:241.0;1:257.1	no-rom
52	6	Ðèþ$*Ç¢	They might not have asked you thinking that you bought the ticket.		Ðèþ$*Ç¢ : Ò$Ææÿ$ sìýMðüPr$t Mö¯é²Ææÿ¯èþ$Mö° Ðéâæý$å AyìþW Ðèþ#…yæþÆæÿ$.	1:289.2;1:305.1	no-rom
52	7	Æ>Ðèþ$$	Younger brother also wants to come with me, father!		Æ>Ðèþ$$ : ™èþÐèþ$$Ãyæþ$ Væü*yé ÐèþÝë¢yæþr ¯é¯èþ²& V>Ææÿ*!	1:337.1;1:353.2	no-rom
52	8	Ðèþ$*Ç¢	Let him come.  Be careful when you cross the roads.  Don't allow him to go alone any where. Yes, father.		Ðèþ$*Ç¢ : Æ>±!  Æøyæþ$Ï §ésôýrç³šyæþ$ gê{Væü™èþ¢V> §ér…yìþ.  Ðé×ìý~ °¯èþ$² Ñyìþ_ GMæüPyìþMîü ´ù°ÐèþÓMæü$.	1:385.3;1:401.2;1:417.3	no-rom
52	9	Æ>Ðèþ$$	Father!  Brother is going to the		Æ>Ðèþ$$ : AÌêVóü¯èþ…yîþ!	1:449.4	no-rom
52	10	ÆæÿÑ	station.  I will also go with him.		ÆæÿÑ : ¯é¯èþ²V>Ææÿ*!  A¯èþ²Äæý$Å õÜtçÙ¯èþ$Mæü$ Ððþâæý$¢¯é²yæþ$.  ¯óþ¯èþ$ Mæü*yé Ððþâê¢¯èþ$.	1:481.4;1:497.3	no-rom
52	11	Ðèþ$*Ç¢	Okay!  You can also go.		Ðèþ$*Ç¢ : Ððþâæý$ªÐèþ#V>°.	1:529.3	no-rom
52	12	MæüÐèþ$Ë	Ravi!  Come here.  Call brother also.  You can have your food.		MæüÐèþ$Ë : ÆæÿÒ!  CÌê Æ>!  A¯èþ²Äæý$Å¯èþ$ Væü*yé í³Ë$.  A¯èþ²… †…§æþ$Ææÿ$V>°.	1:561.4;1:577.5	no-rom
52	13	ÆæÿÑ	Brother!  I will also come to the station with you this evening. I will see the train.		ÆæÿÑ : A¯èþ²Äæý*Å!  ¯óþ¯èþ$ Væü*yé ÝëÄæý$…{™èþ… ±™ø õÜtçÙ¯èþ$Mæü$ ÐèþÝë¢¯èþ$.  ÆðÿOË$¯èþ$ ^èþ*Ýë¢¯èþ$.	1:609.5;1:625.4;1:641.6	no-rom
52	14	Æ>Ðèþ$$	Okay!  You can see it.  Let us go and have our food.  Moth- er is calling us.		Æ>Ðèþ$$ : AÌêVóü ^èþ*§æþ$ªÐèþ#V>°.  ç³§æþ, A¯èþ²… †…§é….  AÐèþ$Ã í³Ë$çÜ$¢¯èþ²¨.	2:160.6;2:177.2	no-rom
