guid	lesson	seq	speaker	en	rom	legacy	keys	flags
I974c41b6b252	29	1	Ðèþ*çÙtÆæÿ$	Have all of you come to the class?		Ðèþ*çÙtÆæÿ$ : A…§æþÆæÿ* M>ÏçÜ$Mæü$ Ðèþ^éaÆ>?	0:444.4	no-rom
Ic7c86453eb74	29	2	Vøí³	Subbarao has not come, sir! Ravi too.  Both of them have not come.		Vøí³ : çÜ$»ê¾Æ>Ðèþ# Æ>Ìôý§æþ…yìþ; ÆæÿÑ Mæü*yé Æ>Ìôý§æþ$.  Ðéâæý$å C§æþªÆæÿ* Æ>Ìôý§æþ$.	0:474.8;0:490.1	no-rom
I0b73ca4a62a3	29	3	ÑfÄæý$	Sir!  The fans and lights in that classroom are on.		ÑfÄæý$ : Ðèþ*çÙtÆæÿ$V>Ææÿ*!  B M>ÏçÜ$ÌZ ¸ë¯èþ$Ï †Ææÿ$Væü$™èþ$¯é²Æÿ$$; ÌñýOr$Ï ÐðþË$Væü$ ™èþ$¯é²Æÿ$$.	0:520.5;0:535.7;0:551.0	no-rom
Ia22ce961a3fe	29	4	Ðèþ*çÙtÆæÿ$	Who is there?		Ðèþ*çÙtÆæÿ$ : AMæüPyæþ GÐèþÆæÿ$¯é²Ææÿ$?	0:581.4	no-rom
I26c5cf62da5d	29	5	ÑfÄæý$	Nobody is there.		ÑfÄæý$: GÐèþÆæÿ*ÌôýÆæÿ$.	0:611.9	no-rom
I24ed9419189d	29	6	Ðèþ*çÙtÆæÿ$	Then turn off those fans and lights.  We should not waste electricity.		Ðèþ*çÙtÆæÿ$ : AÆÿ$$™óþ B ÌñýOr$Ï, B ¸ë¯èþ$Ï †Æÿ$$Å.  Ðèþ$¯èþ… Ñ§æþ$Å^èþeMìü¢° Ðèþ–£é ^ðþÄæý$ÅMæü*yæþ§æþ$.	1:179.4;1:194.0;1:208.6	no-rom
I3d305e991083	29	7	ÆæÿÑ	My I come in, sir?		ÆæÿÑ : Ðèþ*çÙtÆæÿ$V>Ææÿ*!  ¯óþ¯èþ$ ÌZç³ÍMìü Æ>Ðèþ^éa?	1:237.8;1:252.6	no-rom
I20029c50961f	29	8	Ðèþ*çÙtÆæÿ$	Yes.  Come in.  What is Mohan doing there?		Ðèþ*çÙtÆæÿ$ : Æ>!  AMæüPyæþ Ððþ*çßý¯Œþ H… ^óþçÜ$¢¯é²yæþ$?	1:281.8;1:296.4	no-rom
Ia4803156f1c7	29	9	ÆæÿÑ	He is looking at the road through the window.		ÆæÿÑ : MìüsìýMîüÌZ°…_ Æøyæþ$z ÐðþOç³# ^èþ*çÜ$¢¯é²yæþ$.	1:325.7;1:340.3	no-rom
Icb4bdf1c3b71	29	10	Ðèþ*çÙtÆæÿ$	What is there on the road?		Ðèþ*çÙtÆæÿ$ : Æøyæþ$zÒ$§æþ HÐèþ$$¯èþ²¨?	1:369.5	no-rom
