guid	lesson	seq	speaker	en	rom	legacy	keys	flags
I3d744b128be9	11	1	çÜÆæÿâæý	Kamala: What is the time now?		çÜÆæÿâæý : MæüÐèþ$Ìê Cç³šyæþ$ sñýOÐèþ$$ G…™èþ?	0:451.1	no-rom
I317f91192ee1	11	2	MæüÐèþ$Ë	Here is the watch.		MæüÐèþ$Ë : C§æþ$Vø VæüyìþÄæý*Ææÿ….	0:480.5	no-rom
I3d482e5a7e36	11	3	çÜÆæÿâæý	There are five watches here. There are five persons in this room. Among these three watches, one is mine, the other one is Rama's and the third one is Vijaya's. In those two watches one is Susila's and the other is Prabha's.		çÜÆæÿâæý : CMæüPyæþ I§æþ$ VæüyìþÄæý*Æ>Ë$ E¯é²Æÿ$$! MæüÐèþ$Ë :D Væü¨ÌZ I§æþ$Væü$Ææÿ… E¯é²…. D Ðèþ$*yæþ$ VæüyìþÄæý*Æ>ËÌZ JMæüsìý ¯é¨, JMæüsìý ÆæÿÐèþ$¨, JMæüsìý ÑfÄæý$¨. B Æðÿ…yæþ$ VæüyìþÄæý*Æ>ËÌZ JMæü VæüyìþÄæý*Ææÿ… çÜ$ÖË¨; C…MöMæü VæüyìþÄæý*Ææÿ… {ç³¿æý¨.	0:510.2;0:539.8;0:554.6;0:569.4;0:584.2;0:599.1	no-rom
I4dc83b3d0f41	11	4	çÜÆæÿâæý	What is this? It is 1-24 in one watch and 1-31 in the other. It is 1-40 in this watch and 1- 50 in that watch. And it is one O'clock in this watch.		çÜÆæÿâæý : C§óþÑ$sìý? JMæü VæüyìþÄæý*Ææÿ…ÌZ JMæüsîý CÆæÿÐðþO¯éË$Væü$. C…MöMæü VæüyìþÄæý*Ææÿ…ÌZ JMæüsîý Ðèþ$$ò³O¹ JMæüsìý. D VæüyìþÄæý*Ææÿ…ÌZ JMæüsîý ¯èþË¿ñýO. B VæüyìþÄæý*Ææÿ…ÌZ JMæüsîý Äæý*¿ñýO. D VæüyìþÄæý*Ææÿ…ÌZ J…sìýVæü…r.	1:179.8;1:195.0;1:210.2;1:225.4;1:240.7	no-rom
I58edbddecd7d	11	5	MæüÐèþ$Ë	The correct time is 1-30. Rama's watch is running six minutes slow. Mine is running one minute fast. Vijaya's is running ten minutes fast and Prabha's is running twenty minutes fast.		MæüÐèþ$Ë : MæüÆðÿMæü$t sñýOÐèþ$$ JMæüsîý Ðèþ$$ò³O¹. ÆæÿÐèþ$ VæüyìþÄæý*Ææÿ… BÆæÿ$ °Ñ$ÚëË$ ÝùÏ. ¯é¨ JMæü °Ñ$çÙ… ¸ëçÜ$t. ÑfÄæý$¨ ç³¨ °Ñ$ÚëË$ ¸ëçÜ$t. {ç³¿æý¨ CÆæÿÐðþO °Ñ$ÚëË$ ¸ëçÜ$t.	1:271.1;1:286.3;1:301.5;1:316.8;1:332.0	no-rom
I4925c0e043a9	11	6	çÜÆæÿâæý	It is two o'clock in that clock. That is running one hour fast.		çÜÆæÿâæý : B Vøyæþ VæüyìþÄæý*Ææÿ…ÌZ Æðÿ…yæþ$ Væü…rË$. A¨ JMæü Væü…r ¸ëçÜ$t.	1:362.4;1:377.7	no-rom
I90c7303dec5a	11	7	MæüÐèþ$Ë	No. It is running half an hour fast. Now the correct time is 1-30. Isn't it?		MæüÐèþ$Ë : M>§æþ$. A¨ AÆæÿVæü…r ¸ëçÜ$t. Cç³šyæþ$ MæüÆðÿMæü$t sñýOÐèþ$$ JMæüsìý¯èþ²Ææÿ Mæü§é!	1:408.1;1:423.3	no-rom
Ie0d1f2b97e08	11	8	çÜÆæÿâæý	Are all of you studying B.A.?		çÜÆæÿâæý : Ò$Ææÿ$ A…§æþÆæÿ* ¼.Äôý$¯é?	1:453.8	no-rom
I336e1be1e2d0	11	9	MæüÐèþ$Ë	No. One is doing her B.A. The other B.Sc., and the third one B.com. The rest of the two are doing diploma.		MæüÐèþ$Ë : M>§æþ$. JMæüÆæÿ$ ¼.G., JMæüÆæÿ$ ¼.G‹Ü. íÜ., JMæüÆæÿ$ ¼.M>ÐŒþ$. C§æþªÆæÿ$ yìþ´÷ÏÐèþ*.	1:484.2;1:499.5;1:514.7	no-rom
Iabec84ad5b1c	11	10	Væü$Ææÿ$¯é£æþ…	Sir, is this Guntur (bound) bus?		Væü$Ææÿ$¯é£æþ… : HÐèþ$…yîþ! C¨ Væü$…r*Ææÿ$ ºõÜÞ¯é?	1:572.5	no-rom
Ibe494760d44c	11	11	Æ>Ðèþ$Äæý$Å	No.		Æ>Ðèþ$Äæý$Å : M>§æþ$.	1:602.9	no-rom
I7967726028c0	11	12	Væü$Ææÿ$	Is this not the bus sheduled for		Væü$Ææÿ$ : C¨ ç³¨…»êÐèþ# ºçÜ$Þ M>§é?	2:179.8	no-rom
Ibe494760d44c	11	13	Æ>Ðèþ$	No.		Æ>Ðèþ$ : M>§æþ$.	2:209.4	no-rom
Ie657e50c7ce1	11	14	Væü$Ææÿ$	What is the time now.		Væü$Ææÿ$ :  Cç³šyæþ$ sñýOÐèþ$$ G…™èþ?	2:239.0	no-rom
I239b86baa609	11	15	Æ>Ðèþ$			Æ>Ðèþ$ : ç³¨¯èþ²Ææÿ.	2:268.6	no-en no-rom
I3a6f1b718c03	11	16	Væü$Ææÿ$	It is 9-45 in my watch.		Væü$Ææÿ$ : ¯ésñýO… ™öÑ$Ã¨ Ðèþ$$Ã´ëµÐèþ#.	2:298.3	no-rom
Idad1c6c9fa9d	11	17	Æ>Ðèþ$	Then your watch is incorrect, it is running 45 minutes slow.		Æ>Ðèþ$ : Ò$ sñýO… ™èþç³š. Ðèþ$$´ëµÐèþ# Væü…r ÝùÏ.	2:327.9	no-rom
I7f38c8af2317	11	18	Væü$Ææÿ$	When is the next bus to Guntur.		Væü$Ææÿ$ : Ðèþ$äÏ Væü$…r*Ææÿ$ ºçÜ$Þ Gç³šyæþ$?	2:357.5	no-rom
I2bbf21bb4507	11	19	Æ>Ðèþ$	There is a passenger bus 15 min- utes later and an express bus after forty minutes.		Æ>Ðèþ$ : ´ëÐèþ# Væü…r ™èþÆ>Ó™èþ ´ëíÜ…fÆæÿ$ ºçÜ$Þ. ¯èþË¿ñýO °Ñ$ÚëË ™èþÆ>Ó™èþ GMŠüÞ{ò³‹Ü ºçÜ$Þ.	2:387.0;2:401.8;2:416.6	no-rom
Iabffcdd19851	11	20	´ëç³	Madam! What is the time now?		´ëç³ : HÐèþ$…yîþ Cç³šyæþ$ sñýOÐèþ$$ G…™èþ?	2:458.4	no-rom
Ib3535d1c43df	11	21	Ðóþ$yæþ…	It is 3-40 now.		Ðóþ$yæþ… : Cç³šyæþ$ sñýOÐèþ$$ Ðèþ$*yæþ* ¯èþË¿ñýO.	2:488.0	no-rom
Idadefbac00bd	11	22	X™èþ	Papa! are these your new clothes?		X™èþ : ´ë´ë! CÑ ± Mö™èþ¢ ºrtÌê?	2:517.7	no-rom
I9b2c119306b2	11	23	´ëç³	Yes, Madam! These are my birthday clothes.		´ëç³ : AÐèþ#¯èþ…yîþ! CÑ ¯é ç³#sìýt¯èþÆøk ºrtË$.	2:547.3	no-rom
Ifc8bca642a3a	11	24	X™èþ	I see! When was your birthday?		X™èþ : AÌêV>! ± ç³#sìýt¯èþÆøk Gç³šyæþ$.	2:576.7	no-rom
I25edcb63a63e	11	25	´ëç³	It was day before yesterday.		´ëç³ : Ððþ$$¯èþ²	2:606.3	no-rom
I33c1c992fb31	11	26	X™èþ	What day was that?		X™èþ : B Æøk H… ÐéÆæÿ…?	3:179.6	no-rom
I9652875f201d	11	27	´ëç³	It was Friday, the nineteenth.		´ëç³ : Ôèý${MæüÐéÆæÿ…. ç³…«§öÑ$Ã§ø ™éÈMæü$.	3:209.0	no-rom
I616b015148a3	11	28	ÆæÿÑ	It's wrong. It was not Friday that before yesterday. Today is Monday. Yesterday was Sunday and the day before yesterday was Saturday.		ÆæÿÑ : ™èþç³š. Ððþ$$¯èþ² Ôèý${MæüÐéÆæÿ… M>§æþ$. CÐóþÓâæý ÝùÐèþ$ÐéÆæÿ…. °¯èþ² B¨ÐéÆæÿ…. Ððþ$$¯èþ² Ôèý°ÐéÆæÿ….	3:238.6;3:253.4;3:268.3	no-rom
I0d338964386d	11	29	´ëç³	Yes. That day was Saturday.		´ëç³ : AÐèþ#¯èþ$. BÆøk Ôèý°ÐéÆæÿ….	3:297.9	no-rom
I0d0456c1958f	11	30	X™èþ	Ravi! When is your birthday?		X™èþ : ÆæÿÒ! ± ç³#sìýt¯èþÆøk Gç³šyæþ$?	3:327.5	no-rom
I26315bd081d5	11	31	ÆæÿÑ	It is in this month.		ÆæÿÑ : D ¯ðþËÌZ¯óþ.	3:357.1	no-rom
I8c19105881c3	11	32	X™èþ	What is the date in this month?		X™èþ : D ¯ðþËÌZ G¯ø² ™éÈMæü$?	3:386.6	no-rom
I2bfa5a43a5eb	11	33	ÆæÿÑ	The twentythird.		ÆæÿÑ : CÆæÿÐðþOÐèþ$*yø ™éÈMæü$.	3:416.2	no-rom
Ie22bd430365a	11	34	X™èþ	Then your birthday is the day after tomorrow!		X™èþ : AÆÿ$$™óþ ± ç³#sìýt¯èþÆøk GË$Ï…yìþ º$«§æþÐéÆæÿÐèþ$¯èþ² Ðèþ*r!	3:445.8;3:460.6	no-rom
