guid	lesson	seq	speaker	en	rom	legacy	keys	flags
Ia4e86501ba1b	57	1	çÜÆæÿâæý	Radha!  I want jasmines.  Can you pluck and give?		çÜÆæÿâæý : Æ>«§é!  ¯éMæü$ Ðèþ$ÌñýÏç³NË$ M>ÐéÍ. MøíÜÝë¢Ðé?	0:439.6;0:456.2	no-rom
I93832f3404c6	57	2	Æ>«§æþ	Now I don't have time.  After Sita comes I will get them plucked by her and give you. When did you buy this ring?		Æ>«§æþ : Cç³šyæþ$ ¯éMæü$ sñýOÐèþ$$ Ìôý§æþ$.  ïÜ™èþ Ðèþ_a¯èþ ™èþÆ>Ó™èþ §é° ^óþ™èþ MøÆÿ$$…_ CÝë¢¯èþ$. D E…VæüÆæÿ… Gç³šyæþ$ Mö¯é²Ðèþ#?	0:489.4;0:505.9;0:522.5;0:539.1	no-rom
I05eb0f838c8c	57	3	çÜÆæÿâæý	I forced my mother and got it bought yesterday.  My brother has a quarrel with me for this from the moment it was bought.		çÜÆæÿâæý : °¯èþ² Ðèþ* AÐèþ$Ã¯èþ$ ºËÐèþ…™èþ… ^óþíÜ Mö°í³…^é¯èþ$. C¨ Mö¯èþ²ç³µsìý°…` Ðèþ* ™èþÐèþ$$Ãyæþ$ ©° MøçÜ… ¯é™ø ´ùsêÏr.	0:572.2;0:588.8;0:605.4;0:622.0	no-rom
I47b748fcc7ec	57	4	Æ>«§æþ	I see!  I get the flowers plucked and give you.  Can you get a garland made by your mother and send it (to me)?		Æ>«§æþ : AÌêV>!  ç³NË$ MøÆÿ$$…_ CÝë¢¯èþ$; ¯èþ$Ðèþ#Ó Ò$ AÐèþ$Ã ^óþ™èþ Ðèþ*Ë Mæüsìýt…_ ç³…í³Ýë¢Ðé?	1:160.6;1:176.2;1:191.9	no-rom
Id50e609171f9	57	5	çÜÆæÿâæý	My Sister can make garland well.  I will get it made by her.  I will pluck the flowers; don't worry.		çÜÆæÿâæý : Ðèþ* AMæüPÄæý$Å Ðèþ*Ë »êV> Mæüyæþ$¢…¨. §é° ^óþ™èþ MæüsìýtÝë¢¯èþ$.  ¯óþ¯èþ$ MøÝë¢¯èþ$Ìôý ç³NË$.	1:223.3;1:239.0;1:254.5	no-rom
I8918f0859f34	57	6	Æ>«§æþ	There is a stone on the way.  It is difficult to pluck the flow- ers standing there.		Æ>«§æþ : AMæüPyæþ JMæü Æ>Æÿ$$ Ayæþz…V> E…¨.  AMæüPyæþ °ÌŸa° ç³NË$ MöÄæý$År… MæüçÙt….	1:285.8;1:301.5	no-rom
Id4132b30d4be	57	7	çÜÆæÿâæý	Yes, this stone is not moving.		çÜÆæÿâæý : AÐèþ#¯èþ$ D Æ>Æÿ$$ fÆæÿVæür…Ìôý§æþ$.	1:332.9	no-rom
Ibd2f2c5ec8fa	57	8	Æ>«§æþ	That is why, after my brother comes I will get the stone shifted, get the flowers plucked and send them.		Æ>«§æþ : A…§æþ$Móü Ðèþ* A¯èþ²Äæý$Å Ðèþ_a¯èþ ™èþÆ>Ó™èþ B Æ>Æÿ$$° fÇí³…_ ïÜ™èþ ^óþ™èþ ç³NË$ MøÆÿ$$…_ ç³…í³Ýë¢¯èþ$.	1:364.1;1:379.7;1:395.4	no-rom
I547b085af441	57	9	çÜÆæÿâæý	Where did he go?		çÜÆæÿâæý : Ò$ A¯èþ²Äæý$Å GMæüPyìþMìü Ððþâêåyæþ$?	1:426.8	no-rom
I010fc9592dd2	57	10	Æ>«§æþ	He went to the neighbour's house.  He will come (soon).		Æ>«§æþ : ç³MìüP…sìýMìü Ððþâêåyæþ$.  ÐèþÝë¢yæþ$.	1:458.0	no-rom
