guid	lesson	seq	speaker	en	rom	legacy	keys	flags
I28973cb76226	62	1		As there were no adequate P. S. Gopalakrishna		JMæü {V>Ðèþ$…ÌZ ÐðþO§æþÅ ÝûMæüÆ>ÅË$	0:420.2	prose no-rom
Id1bb415e8825	62	2		medical facilities in a village, the Chandamama , July 1976.)		A…™èþV> ÌôýMæü´ùÐèþr… ÐèþËÏ AMæüPyìþÐéÆæÿ$ G…™ø	0:436.8	prose no-rom
I186a908eabec	62	3		people there used to suffer a lot.		Cº¾…¨ ç³yæþ$™èþ* E…yóþÐéÆæÿ$.  JMæü ÝëÇ JMæü	0:453.3	prose no-rom
I939aa777cc29	62	4		One Sanyasi visited that place and on seeing their suffierings felt		çÜ¯éÅíÜ B {V>Ðèþ*°Mìü Ðèþ_a AMæüPyìþÐéÇ	0:469.9	prose no-rom
Id25268cbc8c4	62	5		and on seeing their suffierings felt sad and got a hospital built for		ç³ÇíÜ¦† ^èþ*íÜ »ê«§æþç³yìþ JMæü ÐðþO§æþÅÔéË	0:486.5	prose no-rom
Id7d4b8ea8924	62	6		them.  He left his disciples there		Mæüsìýt…^éyæþ$.  ½§æþËMæü$ ÝëÄæý$ç³yóþ E§óþªÔèý…™ø	0:503.1	prose no-rom
I86a39cb41212	62	7		in the hospital with an intention		™èþ¯èþ ÕçÙ$ÅË¯èþ$ E…_ AMæüPyæþ E_™èþ…V> ÐðþO§æþÅ…	0:519.6	prose no-rom
I65cb6968ea10	62	8		to help the poor with free medi- cal aid.		^óþõÜ HÆ>µr$Ï ^óþíÜ Ððþãå´ùÄæý*yæþ$.	0:536.2	prose no-rom
Ifd63c344f41f	62	9		The hospital could be useful		B ÐðþO§æþÅÔéË B {V>Ðèþ$çÜ$¦ËMóü M>Mæü	0:569.4	prose no-rom
Id304c7305d54	62	10		not only to the people of that		CÆæÿ$Væü$&´÷Ææÿ$Væü$ FâæýåÌZ ÐéÇMìü Mæü*yé	0:585.9	prose no-rom
Id1d0f8391559	62	11		village alone, but also to the		Eç³Äñý*Væüç³yæþ ÝëW…¨.  »êV> yæþº$¾ E¯èþ²ÐéÆæÿ$	0:602.5	prose no-rom
Id421c7dda5e0	62	12		people of neighbouring villages. The disciples of the Sanyasi		Mæü*yé ™èþÐèþ$ ÐéÅ«§æþ$ËMæü$ AMæüPyìþ E_™èþ ÐðþO§æþÅ…	0:619.1	prose no-rom
I4163d460ab53	62	13		The disciples of the Sanyasi could not find a way out as the		MøçÜ… Æ>Ðèþr…™ø ÐðþO§æþÅÔéË¯èþ$ ¯èþyæþ$ç³#™èþ$¯èþ² B	0:635.7	prose no-rom
I068e55102191	62	14		rich were also seeking the		çÜ¯éÅíÜ ÕçÙ$ÅËMæü$ H… ^ðþÄæý*ÅÌZ ™ø^èþÌôý§æþ$.	1:160.6	prose no-rom
Id6074d7524c2	62	15		The Sanyasi visited that vil-		Ðèþ$äå Mö¯é²âæýåMæü$ B çÜ¯éÅíÜ B	1:193.7	prose no-rom
Ib1f87c6ceb3c	62	16		lage after sometime.  His dis-		{V>Ðèþ*°Mìü Ðèþ^éayæþ$.  ÐðþO§æþÅÔéË ¯èþyæþ$ç³#™èþ$¯èþ²	1:210.3	prose no-rom
I6c939ed4c00b	62	17		ciples running the hospital re-		BÄæý$¯èþ ÕçÙ$ÅË$ «§æþ¯èþÐèþ…™èþ$Ë$ Mæü*yé E_™èþ	1:226.9	prose no-rom
I816da0edb520	62	18		OVERALL ported to him that the rich were		ÐðþO§æþÅ… MøçÜ… GVæüºyæþ$™èþ$¯é²Ææÿ° BÄæý$¯èþMæü$	1:243.4	prose no-rom
Ibff35309ccb8	62	19		REVIEW 2 also seeking free medical aid, and asked him what they could		^ðþí³µ, A…§æþ$Mæü$ ™éÐèþ$$ H… ^ðþÄæý*ÅË°	1:260.0	prose no-rom
I5a49691b762c	62	20		do under the circumstances.		AyìþV>Ææÿ$.	1:276.6	prose no-rom
Ia3a2a32eedfe	62	21		"The Sanyasi laughed and said, ""Our aim is that our hospi-"		"çÜ¯éÅíÜ ¯èþÑÓ """"Ðèþ$¯èþ ÐðþO§æþÅÔéË"	1:309.7	prose no-rom
If824618a5c02	62	22		"said, ""Our aim is that our hospi- tal should serve the poor."		½§æþËMæü$ ÝëÄæý$ç³yéË° Ðèþ$¯èþ E§óþªÔèý….  A¨	1:326.3	prose no-rom
I21c83bc23367	62	23		Knowing this, if the rich also		™ðþÍíÜ Mæü*yé CMæüPyìþ ÐðþO§æþÅ… MøçÜ… «§æþ¯èþÐèþ…™èþ$Ë$	1:342.9	prose no-rom
I7f7cf5d9313c	62	24		come for free medical aid what		ÐèþõÜ¢ Ðèþ$¯èþ… H… ^ðþÄæý*ÅÍ?  ÐéÇMîü ÐðþO§æþÅ…	1:359.5	prose no-rom
I22523ef0a187	62	25		THE POOR PEOPLE can we do?  We have to serve them too.  Whosoever begs is a		^ðþÄæý*ÅÍÞ…§óþ!  Äæý*_…^óþÐéyæþ$ GÐèþyðþO¯é	1:376.0	prose no-rom
I5a5dfb3e7c1c	62	26		poor person.		õ³§æþÐéyóþ'' A¯é²yæþ$.	1:392.6	prose no-rom
I28973cb76226	62	27		As there were no adequate P. S. Gopalakrishna		í³. G‹Ü. Vø´ëËMæü–çÙ~	1:425.8	prose no-rom
Id1bb415e8825	62	28		medical facilities in a village, the Chandamama , July 1976.)		(	1:442.3	prose no-rom
Id1bb415e8825	62	29		medical facilities in a village, the Chandamama , July 1976.)		, lÌñýO 1976)	1:442.3	prose no-rom
