lesson	seq	speaker	en	rom	legacy	keys	flags
14	1	Ææÿ†Æ>ÐŒþ$	Mr. Ningayya!  What is there in this box?		Ææÿ†Æ>ÐŒþ$: °…VæüÄæý$ÅV>Ææÿ*!  D ò³sñýtÌZ H… E…¨?	0:445.6;0:460.2	no-rom
14	2	°…VæüÄæý$Å	There is a bottle, sir!		°…VæüÄæý$Å: ïÜÝë E¯èþ²§æþ…yîþ!	0:489.9	no-rom
14	3	Ææÿ†Æ>ÐŒþ$	What is there in the bottle?		Ææÿ†Æ>ÐŒþ$: ïÜÝëÌZ H… E…¨?	0:519.5	no-rom
14	4	°…VæüÄæý$Å	Mandu.		°…VæüÄæý$Å: Ðèþ$…§æþ$.	0:549.1	no-rom
14	5	Ææÿ†Æ>ÐŒþ$	What does mandu mean?		Ææÿ†Æ>ÐŒþ$: Ðèþ$…§æþ$ A…sôý HÑ$sìý?	0:578.7	no-rom
14	6	°…VæüÄæý$Å	Mandu means medicine in medicine. English.		°…VæüÄæý$Å: Ðèþ$…§æþ$ A…sôý C…XÏçÙ$ÌZ	0:608.4	no-rom
14	7	Ææÿ†Æ>ÐŒþ$	I see!  For whom?  Is it for you?		Ææÿ†Æ>ÐŒþ$: AÌêV>!  Ðèþ$…§æþ$ GÐèþÇMìü?  ±M>?	1:179.8	no-rom
14	8	°…VæüÄæý$Å	This medicine is not for me.  It is for my uncle.		°…VæüÄæý$Å: D Ðèþ$…§æþ$ ¯éMæü$ M>§æþ$; Ðèþ* »ê»êÆÿ$$ V>ÇMìü.	1:210.2;1:225.4	no-rom
14	9	Ææÿ†Æ>ÐŒþ$	Why?  (Does he have) fever?		Ææÿ†Æ>ÐŒþ$: G…§æþ$Mæü$?  fÓÆæÿÐèþ*?	1:255.9	no-rom
14	10	°…VæüÄæý$Å	Not fever; stomachache.  This medicine is very good for stomachache.		°…VæüÄæý$Å: fÓÆæÿ… M>§æþ$; Mæüyæþ$ç³#ÌZ ¯öí³µ. Mæüyæþ$ç³#ÌZ ¯öí³µMìü D Ðèþ$…§æþ$ ^éÌê Ðèþ$…_¨.	1:286.3;1:301.5;1:316.8	no-rom
