lesson	seq	speaker	en	rom	legacy	keys	flags
54	1	Ñ¯ø§Šþ	Father!  What does mean and what does mean?  Chil- dren of our class are giving different meanings.	tellavāra- aṁ poddugūkaṭaṁ	Ñ¯ø§Šþ : ¯é¯èþ²V>Ææÿ*!  ™ðþËÏÐéÆæÿr… A…sôý HÑ$sìý?  ´÷§æþ$ªVæü*Mæür… A…sôý HÑ$sìý?  Ðèþ* M>ÏçÜ$ í³ËÏË$ ™èþÌê JMæü AÆæÿ¦… ^ðþç³#¢¯é²Ææÿ$.	0:482.1;0:498.6;0:515.2;0:531.8	
54	2	Æ>Ðèþ#	While the Sun rises, we call it the day-break .  After the sun- rise we call it morning.		Æ>Ðèþ# : çÜ*Ææÿ$Åyæþ$ E§æþÆÿ$$çÜ$¢¯èþ²ç³šyæþ$ ™ðþËÏÐéÆæÿ$™èþ$¯èþ²¨ A…sê…. E§æþÆÿ$$…_¯èþ ™èþÆ>Ó™èþ ™ðþËÏÐéÇ…¨ A…sê….	0:564.9;0:581.5;0:598.1;0:614.7	no-rom
54	3	Ñ¯ø§Šþ	Then day-break means emer- gence of light after darkness vanishes.  In other words,	pagalu kāvaṭaṁ	Ñ¯ø§Šþ : AÆÿ$$™óþ, ™ðþËÏÐéÆæÿr… A…sôý `Mæüsìý ´ùÆÿ$$ ÐðþË$™èþ$Ææÿ$ Æ>Ðèþr… A¯èþ²& Ðèþ*r!  A…sôý ç³VæüË$ M>Ðèþr….	1:161.2;1:177.8;1:194.4	
54	4	Æ>Ðèþ#	You should not say .  Nobody says so. People say	pagalu ayiṁdi tellavāriṁdi	"Æ>Ðèþ# : ""ç³VæüË$ AÆÿ$$…¨' A¯èþMæü*yæþ§æþ$. AÌê GÐèþÆæÿ* A¯èþÆæÿ$.  ""™ðþËÏÐéÇ…¨' A…sêÆæÿ$."	1:227.5;1:244.1;1:260.7	
54	5	Ñ¯ø§Šþ	Then what does mean?	poddu- gūkaṭaṁ	Ñ¯ø§Šþ : Ðèþ$Ç ´÷§æþ$ªVæü*Mæür… A…sôý HÑ$sìý?	1:293.8	
54	6	Æ>Ðèþ#	means the Sun.	Poddu	Æ>Ðèþ# : ´÷§æþ$ª A…sôý çÜ*Ææÿ$Åyæþ$ A° AÆæÿ¦….	1:327.0	unmapped-glyph
54	7	Ñ¯ø§Šþ	I never heard anyone calling the Sun	poddu	"Ñ¯ø§Šþ : çÜ*Ææÿ$Å×ìý~ ""´÷§æþ$ª' A° A¯èþr… ¯óþ¯èþ$ Ñ¯èþÌôý§óþ!"	1:360.1;1:376.7	
54	8	Æ>Ðèþ#	No one calles the Sun But in the expression means the Sun. means the Sun rose (dawn). means the Sun rose and is up in the sky. means the Sun is coming down (evening). means the Sun has set. means the Sun has gone (it is long after the sunset).	poddu poddu gūkiṁdi  poddu' Poddu poḍiciṁdi Poddekkiṁdi Poddu vāliṁdi Poddu gūkiṁdi Poddu pōyiṁdi	"Æ>Ðèþ# : çÜ*Ææÿ$Å×ìý~ ´÷§æþ$ª A° GÐèþÆæÿ* A¯èþÆæÿ$.  M>° ""´÷§æþ$ªVæü*Mìü…¨' A¯óþ Ðèþ*rÌZ° ""´÷§æþ$ª' Mæü$ ""çÜ*Ææÿ$Åyæþ$' A° AÆæÿ¦….  ´÷§æþ$ª ´÷yìþ_…¨ A…sôý çÜ*ÆøÅ§æþÄæý$… AÆÿ$$…¨ A° AÆæÿ¦….  ´÷§ðþªMìüP…¨ A…sôý çÜ*Ææÿ$Åyæþ$ çÜ*Ææÿ$Åyæþ$ E§æþÆÿ$$…_ Mö…^ðþ… ò³OMìü Ðèþ^éayæþ$ A° AÆæÿ¦…. ´÷§æþ$ª ÐéÍ…¨ A…sôý ÝëÄæý$…{™èþ… AÆÿ$$…¨ A° AÆæÿ¦….  ´÷§æþ$ª Væü*Mìü…¨ A…sôý çÜ*Æ>ÅçÜ¢-Ðèþ$Äæý$… AÆÿ$$…¨ A° AÆæÿ¦….  ´÷§æþ$ª ´ùÆÿ$$…¨ A…sôý çÜ*Ææÿ$Åyæþ$ AçÜ¢Ñ$…_ ^éÌê õÜç³# AÆÿ$$…¨ A° AÆæÿ¦…."	1:409.8;1:426.4;1:443.0;1:459.6;1:476.1;1:492.7;1:509.3;1:525.9;1:542.5;1:559.0;1:575.6;1:592.2;1:608.8;1:625.3	unmapped-glyph
54	9	Ñ¯ø§Šþ	Now I understand, father!  If my teacher asks me tomor- row, I can answer correctly. Others cannot answer.		Ñ¯ø§Šþ : Cç³šyæþ$ AÆæÿ¦Ððþ$O…¨ ¯é¯èþ²V>Ææÿ*! Æóÿç³# Ðèþ* Ðèþ*çÙtÆæÿ$V>Ææÿ$ AyìþW™óþ çÜÇV>Y ^ðþç³µVæüË¯èþ$.  ™èþMìüP¯èþÐéâæý$å ^ðþç³µÌôýÆæÿ$.	2:159.9;2:175.6;2:191.3;2:206.9	no-rom
54	10	Æ>Ðèþ#	Why can't they answer?		Æ>Ðèþ# : G…§æþ$Mæü$ ^ðþç³µÌôýÆæÿ$?	2:238.1	no-rom
