lesson	seq	speaker	en	rom	legacy	keys	flags
22	1	Vøí³	I am cutting the mangoes.  What		Vøí³ : ÆæÿÒ! CMæüPyóþ… ^óþçÜ$¢¯é²Ðèþ#?	0:434.7	no-rom
22	2	ÆæÿÑ	is that bag?  What is in it? There is nothing in it.  It is empty.		ÆæÿÑ : Ðèþ*Ñ$yìþ ç³âæý$Ï MøçÜ$¢¯é²¯èþ$. HÑ$sìý B çÜ…`? A…§æþ$ÌZ HÐèþ$$…¨?	0:463.5;0:477.9	no-rom
22	3	Vøí³	Give me a fruit. Take it.  Are you going out?		Vøí³ : HÒ$Ìôý§æþ$.  Rêä çÜ…`.  ¯éMæü$ Væü*yé JMæü ç³…yæþ$ CÐèþ#Ó.	0:506.7;0:520.9	no-rom
22	4	ÆæÿÑ	No.  Look there!  That fruit is		ÆæÿÑ : ¡çÜ$Mø!  ¯èþ$Ðèþ#Ó »ñýOsìýMìü Ððþâæý$¢¯é²Ðé?	0:549.7	no-rom
22	5	Vøí³	good.  Cut that one.  Why are you cutting with a blade?  There is a knife!		Vøí³ : Ìôý§æþ$.  A§æþ$Vø ^èþ*yæþ$!  B ç³…yæþ$ ^éÌê »êVæü$…¨.  A¨ MöÆÿ$$Å. HÑ$sìý »ôýÏyæþ$™ø MøçÜ$¢¯é²Ðé?  Mæü†¢ E…¨ Mæü§é!	0:578.6;0:593.0;0:607.2;0:621.6	no-rom
22	6	ÆæÿÑ	That knife not shorp.		ÆæÿÑ : Mæü†¢Mìü ç³§æþ$¯èþ$ Ìôý§æþ$.	1:179.4	no-rom
22	7	Vøí³	What is your brother doing in- side?		Vøí³ : Ò$ ™èþÐèþ$$Ãyæþ$ ÌZç³Ë H… ^óþçÜ$¢¯é²yæþ$?	1:208.8	no-rom
22	8	ÆæÿÑ	He is writing a letter to Hari. Tap the door.  He is waiting for you.  He does not have Hari’s address.		ÆæÿÑ : çßýÇMìü E™èþ¢Ææÿ… Æ>çÜ$¢¯é²yæþ$.  ™èþË$ç³# Mör$t.  Ðéyæþ$ ± MøçÜÐóþ$ G§æþ$Ææÿ$ ^èþ*çÜ$¢¯é²yæþ$.  Ðéyìþ §æþVæüYÆæÿ çßýÇ A{yæþçÜ$ Ìôý§æþ$.	1:238.2;1:253.0;1:267.6;1:282.5	no-rom
22	9	»êË$	Gopi!  Come in.   Please write Hari’s address on the letter.		»êË$ : Vøí³!  ÌZç³ÍMìü Æ>!  D E™èþ¢Ææÿ… Ò$§æþ çßýÇ A{yæþçÜ$ Æ>Æÿ$$.	1:311.9;1:326.5	no-rom
22	10	Vøí³	Hari’s address is in the diary. Search for it.		Vøí³ : çßýÇ A{yæþçÜ$ yðþOÈÌZ E…¨. Ððþ™èþ$Mæü$.	1:355.9;1:370.7	no-rom
22	11	»êË$þ	It is no where here in this (diary).		»êË$þ : C…§æþ$ÌZ GMæüPyé Ìôý§æþ$.	1:400.2	no-rom
22	12	Vøí³	Search for it once again.  Where are you looking into?  That is an old diary.		Vøí³ : C…MöMæü ÝëÇ Ððþ™èþ$Mæü$.  G…§æþ$ÌZ ^èþ*çÜ$¢¯é²Ðèþ#?  A¨ ´ë™èþ yðþOÈ!	1:429.6;1:444.2	no-rom
22	13	ÆæÿÑ	Some one is knocking door out side.  Open the door Balu!		ÆæÿÑ : »ñýOr GÐèþÆø ™èþË$ç³# Möyæþ$¢¯é²Ææÿ$. ™èþË$ç³# †Æÿ$$Å »êË*!	1:473.6;1:488.4	no-rom
22	14	Vøí³	I am opening the door.  Thre is no one out side.  The doors are rattling because of the wind.		Vøí³ : ¯óþ¯èþ$ ¡çÜ$¢¯é²¯èþ$.  »ñýOr GÐèþÆæÿ* ÌôýÆæÿ$.  V>ÍMìü ™èþË$ç³#Ë$ ^èþç³šyæþ$ ^óþçÜ$¢¯é²Æÿ$$.	1:517.9;1:532.5;1:547.3	no-rom
22	15	ÆæÿÑþ	Okay!  Push that chair to that door.		ÆæÿÑþ : çÜÆóÿ!  B Mæü$Èa° ™èþË$ç³# §æþVæüYÇMìü ¯ðþr$t.	1:576.7	no-rom
22	16	Vøí³	I am pushing it.  There are some papers in this.		Vøí³ : ¯ðþyæþ$¢¯é²¯èþ$.  C…§æþ$ÌZ HÐø M>Æÿ$$™éË$¯é²Æÿ$$.	1:606.1;1:621.2	no-rom
22	17	ÆæÿÑ	Keep this book on them.		ÆæÿÑ : Ðésìý Ò$§æþ D ç³#çÜ¢Mæü… ò³r$t.	2:179.8	no-rom
22	18	Vøí³	I am keeping it there.		Vøí³ : ò³yæþ$™èþ$¯é²¯èþ$.	2:210.2	no-rom
22	19	»êË$	Gopi!  We have to take these book-bundles to the Railway station.  Aren’t we?  Start.		»êË$ : Vøï³!  Ðèþ$¯èþ… Cç³šyæþ$ D ç³#çÜ¢M>Ë MæürtË$ ÆðÿOË$õÜtçÙ¯èþ$Mæü$ ¡çÜ$Mæü$ ´ùÐéÍ Mæü§é!  ºÄæý$ÌôýªÆæÿ$.	2:240.7;2:255.9;2:271.1	no-rom
22	20	Vøí³þ	The books are many.		Vøí³þ : ç³#çÜ¢M>Ë$ ^éÌê E¯é²Æÿ$$.	2:301.5	no-rom
22	21	»êË$	Yes.  Giri and  Sarma are also coming with us.  You take this bundle.  Giri, you take this. Give this to Sarma.		»êË$ : AÐèþ#¯èþ$.  WÇ, ÔèýÆæÿÃ Mæü*yé Ðèþ$¯èþ™ø ÐèþçÜ$¢¯é²Ææÿ$.  ¯èþ$ÒÓ Mæürt ¡çÜ$Mø! WÈ C¨ ¯èþ$Ðèþ#Ó ¡çÜ$Mø!  C¨ ÔèýÆæÿÃMæü$ CÐèþ#Ó!	2:332.0;2:347.2;2:362.4;2:377.7	no-rom
22	22	Vøí³	Balu!  Why are you limping?		Vøí³ : »êË*!  G…§æþ$Mæü$ Mæü$…r$™èþ$¯é²Ðèþ#?	2:408.1	no-rom
22	23	»êË$	My leg is paining.  Don’t go fast (before me).		»êË$ : ¯é M>Ë$ ¯ðþí³µV> E…¨.  ¯èþ$Ðèþ#Ó Ðèþ$$…§æþ$ ÐðþâæýÏMæü$.	2:438.6;2:453.8	no-rom
22	24	Vøí³	Then hold my hand.		Vøí³ : AÆÿ$$™óþ ¯é ^ðþÆÿ$$Å ç³r$tMø.	2:484.2	no-rom
22	25	»êË$	You have books in your hand!		»êË$ : ± ^óþ†ÌZ ç³#çÜ¢M>Ë$¯é²Æÿ$$ Mæü§é!	2:514.7	no-rom
22	26	Vøí³	Doesn’t matter.  I don’t have the books in both the hands.		Vøí³ : ç³ÆæÿÐéÌôý§æþ$.  Æðÿ…yæþ$ ^óþ™èþ$ËÌZ ÌôýÐèþ#Væü§é!	2:545.1;2:560.3	no-rom
22	27	»êË$	Why are tears there in your left eye?  Your eyes also look red.		»êË$ : G…§æþ$Mæü$ ± GyæþÐèþ$Mæü…sìýMìü ±âæý$Ï ÐèþçÜ$¢¯é²Æÿ$$?  Mæüâæý$å G{ÆæÿV> E¯é²Æÿ$$ Væü*yé!	2:590.8;2:606.0;2:621.2	no-rom
22	28	Vøí³	Are both the eyes red?		Vøí³ : Æðÿ…yæþ$ Mæüâæý*å G{ÆæÿV> E¯é²Äæý*?	3:179.8	no-rom
22	29	»êË$	The left eye is very red and the right one is also red but a little.		»êË$ : GyæþÐèþ$ Mæü¯èþ$² »êV> G{ÆæÿV> E…¨. Mæü$yìþMæü¯èþ$² Mö…^ðþ… G{ÆæÿV> E…¨.	3:210.2;3:225.4	no-rom
22	30	Vøí³	There is something in my left eye. That’s why it is paining.		Vøí³ : GyæþÐèþ$ Mæü…sZÏ H§ø E…¨.  A…§æþ$Móü Mæü¯èþ$² ¯öí³µV> E…¨.	3:255.9;3:271.1	no-rom
22	31	»êË$	The wind is blowing fast.  The dust is getting into the eyes. Put on the spectacales.		»êË$ : V>Í Ñç³È™èþ…V> E…¨.  MæüâæýåÌZÏ §æþ$Ðèþ$$Ã ç³yæþ$™ø…¨.  MæüâæýågZyæþ$ ò³r$tMø!	3:301.5;3:316.8;3:332.0	no-rom
22	32	Vøí³	Be careful!  You have a hole in your pocket and the coins are dropping down.		Vøí³ : gê{Væü™èþ¢!  ± gôýº$Mæü$ _ÍÏ E…¨. yæþº$¾Ë$ Mìü…§æþ ç³yæþ$™èþ$¯é²Æÿ$$.	3:362.4;3:377.7	no-rom
22	33	»êË$	What is this?  There are so many thorns in this way.  See how big is this thorn.		»êË$ : C§óþÑ$sìý?  D §øÐèþÌZ C°² Ðèþ$$âæý$å E¯é²Æÿ$$?  D Ðèþ$$Ë$Ï ^èþ*yæþ$.  G…™èþ ò³§æþª§ø!	3:408.1;3:423.3;3:438.6	no-rom
22	34	ÆæÿÑÿ	Yes!  Walk carefully.  It is also very hot.  My feet are burning.		ÆæÿÑÿ : AÐèþ#¯èþ$!  gê{Væü™èþ¢V> Æ>!  G…yæþ Væü*yé ¡{Ðèþ…V> E…¨. M>âæý$å M>Ë$™èþ$¯é²Æÿ$$.	3:469.0;3:484.2	no-rom
22	35	»êË$	Are Giri and Sarma also coming?		»êË$ : WÇ, ÔèýÆæÿÃ Væü*yé ÐèþçÜ$¢¯é²Æ>?	3:514.7	no-rom
22	36	ÆæÿÑ	Yes!  They are coming behind us.  They have more books.		ÆæÿÑ : B!  Ðéâæý$å Ðèþ$¯èþÐðþ¯èþMæü ÐèþçÜ$¢¯é²Ææÿ$. Ðéâæýå §æþVæüYÆæÿ GMæü$PÐèþ ç³#çÜ¢M>Ë$¯é²Æÿ$$.	3:545.1;3:560.3	no-rom
22	37	»êË$	Yes.  We don’t have so many books.  Our bag is less heavier (than their bag).		»êË$ : AÐèþ#¯èþ$, Ðèþ$¯èþ §æþVæüYÆæÿ A°² ç³#çÜ¢M>Ë$ ÌôýÐèþ#.  Ðèþ$¯èþ çÜ…` ºÆæÿ$Ðèþ#™èþMæü$PÐèþ.	3:590.8;3:606.0	no-rom
