lesson	seq	speaker	en	rom	legacy	keys	flags
60	1		WHAT IS THE		Ò$Ææÿ$ ÑÐéçßý…	0:374.5	prose no-rom
60	2		REASON FOR YOU		^óþçÜ$MøMæü´ùÐèþsê°Mìü M>Ææÿ×ý…?	0:401.0	prose no-rom
60	3		clock on Sunday and the wrist watch each night.  Understand! You better cook your lunch. The doctor won't speak for two more days. He just got the medicine applied to his tongue yesterday. novels could be dedicated to me after all, isn't it? year plan we can check		¯óþ¯èþ$ Æ>íÜ¯èþ Mæü£æþ §óþ°Mîü A¯èþ$Ðé§æþÐèþ$* A¯èþ$MæüÆæÿ×ê M>§æþ° àÒ$ ç³{™èþ… Æ>íÜ_a¯é	0:465.4	prose no-rom
60	4		watch each night.  Understand! applied to his tongue yesterday. me after all, isn't it? population growth.		Ò$Ææÿ$ ¯èþÐèþ$ÃMæü´ù™óþ GÌêVæü…yîþÿ!	0:477.3	prose no-rom
60	5				gôýº$ÌZ I§æþ$ Ðèþ…§æþË Ææÿ*´ëÄæý$Ë ¯ør$	1:165.3	prose no-en no-rom
60	6				CÐéÓâæýVæü*yé K Äæý*¿ñýO QÆæÿ$a ò³rt°ÐèþÓ…yìþ. Ðèþ*ÆæÿaMæü$…yé Ðèþ$*yæþ$ ÆøkË¯èþ$…` ± ^óþ™èþ	1:176.8	prose no-en no-rom
60	7		Jyothi is proud that no one I have a good Idea.  We will Did you find a strange thing my dear? I have a suspecion that day by day our We got his hair cut when he was given anesthesia for his leg operation. Oh, you got selected for Govt. post.		B ¯ør$ AÌêVóü C§æþ$ªÆæÿ$V>°! QÆæÿ$a ò³sìýtçÜ$¢¯é²¯èþ$ ´ëç³…! G…™èþ AÆÿ$$…¨?	1:188.7	prose no-rom
60	8		REASON FOR YOU		C§æþ$Vø! B VæüyìþÄæý*Æ>°Mìü	1:397.8	prose no-rom
60	9		Hey! What is the use of writing all the		B¨ÐéÆæÿ… Mîü CÐéÓÍ. Ðé_Mìü	1:409.9	prose no-rom
60	10		NOT MARRYING? Then, Jyothi's age is twenty novels in your wife's name? Chitragupta!  It seems that he is		Æ>{†ç³Nr Mîü CÐéÓÍ.	1:421.9	prose no-rom
60	11		Then, Jyothi's age is twenty Yes, I have been hiding that years! Understand! a tug-of-war champion. It is my opinion that, if we can		™ðþÍíÜ…§é!	1:433.8	prose no-rom
60	12		Even though I have given you an assurance letter that the story which		"""""Ò$Ç…™èþ ÐèþÆæÿMæü* ÑÐéçßý… ^óþçÜ$MøMæü"	1:488.1	prose no-rom
60	13		Even though I have given you an assurance letter that the story which I have written is not a translation or imitation, you don't believe me!		´ùÐèþsê°Mìü M>Ææÿ×ý…?''	1:500.1	prose no-rom
60	14				"""""¯é ¯èþr iÑ™èþ…ÌZ Æðÿ…yö…§æþË _{™éËÌZ"	1:515.3	prose no-en no-rom
60	15				ò³ãÏ ïÜ¯èþÏÌZ ¯èþsìý…_ ¯èþsìý…_ Ððþ$$çßý…	1:527.3	prose no-en no-rom
60	16				Ððþ$$†¢…¨.''	1:539.2	prose no-en no-rom
60	17				gZÅ†Mìü ™èþ¯èþ ÐèþÄæý$çÜ$ GÐèþÆæÿ*	2:162.7	prose no-en no-rom
60	18				K Ðèþ$…_ IyìþÄæý*! gZÅ† ÐèþÄæý$çÜ$	2:162.7	prose no-en no-rom
60	19				™ðþË$çÜ$MøÌôýÆæÿ° VæüÆæÿÓ… çßý$¶!	2:174.6	prose no-en no-rom
60	20				gZÅ† ^óþ™èþ¯óþ ^ðþí³µ§éª… ç³§æþ !	2:174.6	prose no-en no-rom
60	21				Ñ$‹Ü gZÅ¡! Ò$ ÐèþÄæý$çÜ$ K	2:284.9	prose no-en no-rom
60	22				B ÆæÿçßýçÜÅ… GÐèþÇMîü ^ðþç³µMæü$…yé ^éÌê	2:292.3	prose no-en no-rom
60	23				ò³§æþª ÆæÿçßýçÜÅ…Ìê E…§óþ!	2:296.8	prose no-en no-rom
60	24		Ms. Jyothi!  It seems your		ÆøkË¯èþ$…` §é_ ò³yæþ$¢¯é²Ææÿ¯èþ$Mæü$…sê¯èþ$?	2:304.2	prose no-rom
60	25		secret for many many days. -Yes		AÐèþ#¯èþ$	2:331.9	prose no-rom
60	26		REASON FOR YOU		gZÅ† ÐèþÄæý$çÜ$ CÆæÿÐðþO HâæýÏ¯èþ²Ðèþ*r!	2:398.9	prose no-rom
60	27		REASON FOR YOU Hey! What is the use of writing all the		AÐèþ#¯èþ$. CÆæÿÐðþO HâæýÏ °…_ B	2:407.5	prose no-rom
60	28		NOT MARRYING? Hey! What is the use of writing all the Chitragupta!  It seems that he is		™ðþÍíÜ…§é!	2:414.1	prose no-rom
60	29		NOT MARRYING? Hey! What is the use of writing all the novels in your wife's name? Chitragupta!  It seems that he is		ÆæÿçßýçÜÅ… §é_ ò³yæþ$™èþ$¯é²¯èþ$.	2:419.4	prose no-rom
60	30				Ò$Ææÿ$ ^ðþõ³¢¯èþÐèþ$ÃÆæÿ$! Cç³µsìýMóü	2:517.7	prose no-en no-rom
60	31				{ç³† M>ÏçÜ$Mæü* JMæüÇ§æþªÆæÿ$	2:529.7	prose no-en no-rom
60	32				í³ËÏË$ GMæü$PÐðþO´ùÆÿ$$, ïÜr$Ï	2:541.6	prose no-en no-rom
