lesson	seq	speaker	en	rom	legacy	keys	flags
64	1		The present atmosphere of		¯óþsìý A…V>ÆæÿMæü {Væüçßý Ðé™éÐèþÆæÿ×ý…	0:429.5	prose no-rom
64	2		the planet Mars is hundred times thinner than that of the earth.		¿æý*Ñ$ Ðé™éÐèþÆæÿ×ý… Mæü…sñý 100 Æðÿr$Ï ç³Ë^èþV>	0:445.2	prose no-rom
64	3		thinner than that of the earth. Carbon dioxide, a little of car-		E…r$…¨.  A…§æþ$ÌZ »ŸVæü$Yç³#Ë$çÜ$	0:460.8	prose no-rom
64	4		bon monoxide, water vapour and		ÐéÄæý$$Ðèþ#, Mö…^ðþ… M>Ææÿ¾¯Œþ Ððþ*¯éMðüOüÞyŠþ, ±sìý	0:476.5	prose no-rom
64	5		probably a little of oxygen are present there.  From the infor-		BÑÇ, ºçßý$Ôèý Mö…^ðþ… {´ë×ýÐéÄæý$$Ðèþ#	0:492.2	prose no-rom
64	6		mation collected by the Soviet		E¯é²Æÿ$$.  ÝùÑÄæý$sŒý Æø§æþïÜ ¯úMæü õÜMæüÇ…_¯èþ	0:507.7	prose no-rom
64	7		space ship, it is known that ar- gon gas is also available on		"MöË™èþË ÐèþËÏ A…V>ÆæÿMæü {Væüçßý…ÌZ ""BÆ>Y¯Œþ'"	0:523.4	prose no-rom
64	8		gon gas is also available on Mars.  But it is yet to be found		ÐéÄæý$$Ðèþ# Væü*yé E¯èþ²r$Ï Ñ¨™èþÐèþ$Æÿ$$…¨.	0:539.0	prose no-rom
64	9		out whether nitrogen, which		¿æý*Ñ$ Ò$¨ {´ë×ý$Ë ÐèþËÏ HÆæÿµyóþ ¯èþ{™èþf°	0:554.7	prose no-rom
64	10		forms from the living beings on the earth, is available there or not.		AMæüPyæþ E¯èþ²§ø Ìôý§ø Mæü¯èþ$Vö¯èþÐèþËíÜ E¯èþ²¨.	0:570.4	prose no-rom
64	11		The atmosphere of a planet		{Væüçßý Eç³Ç™èþË… Ò$§æþ çÜ…¿æýÑ…^óþ	0:591.4	prose no-rom
64	12		reflects whatever happens on the		Ðésìý° Ðé™éÐèþÆæÿ×ý… {ç³†¼…¼çÜ$¢…r$…¨.	0:606.9	prose no-rom
64	13		surface of the planet.  The present conditions (reflected by		Mæü¯èþ$Mæü CMæüPyìþ D çÜ*^èþ¯èþË$ iÑ Ðèþ$¯èþ$VæüyæþMæü$	0:622.5	prose no-rom
64	14		the atmosphere of the planet) are		A¯èþ$Mæü*ËÐðþ$O¯èþÑ M>Ðèþ#.  ò³OV> {ç³Ðèþ*§æþMæüÆæÿÐðþ$O¯èþ	0:638.4	prose no-rom
64	15		not congenial for the survival		A{ÌêtÐèþÄæý$ÌñýsŒý ÑMìüÆæÿ×ý… ¯èþ$…_ AMæüPyìþ	1:160.3	prose no-rom
64	16		of life on Mars.  Moreover, pro- tection from the harmful ultra-vio-		Ðé™éÐèþÆæÿ×ý…ÌZ Ææÿ„æü×ý ^éÌê ™èþMæü$PÐèþV> E¯èþ²¨.	1:176.2	prose no-rom
64	17		let rays is very less there.  In		AÆÿ$$¯èþç³µsìýMîü, çÜ*Mæü‡iÐèþ#Ë$ »êV> ¯óþË ÌZç³ÍMìü	1:192.4	prose no-rom
64	18		spite of these facts, biologists believe that the micro-organisms		Ððþãå AMæüPyæþ AÑ ™èþÐèþ$¯èþ$ ™éÐèþ$$ Ææÿ„ìü…^èþ$Mø-	1:208.5	prose no-rom
64	19		can protect themselves by going		VæüËÐèþ° iÐèþÔéçÜˆkqË$ ¿êÑçÜ$¢¯é²Ææÿ$.	1:224.7	prose no-rom
64	20		OVERALL deep into the suface of the planet.		A…V>ÆæÿMæü {Væüçßý… Cç³šyìþç³šyóþ	1:246.1	prose no-rom
64	21		REVIEW 4 Time only will decide		çÜiÐèþÐèþ$Ðèþ#™èþ$¯èþ²§é? ÌôýMæü´ù™óþ, A¨ Ðèþ$Ææÿ×ý	1:262.2	prose no-rom
64	22		whether the planet Mars is strug- gling to become alive or in the		Äæý*™èþ¯èþ A¯èþ$¿æýÑçÜ$¢¯èþ²§é?  D ÑçÙÄæý$…	1:278.4	prose no-rom
64	23		process of dying.		Væü$Ç…_ M>ËÐóþ$ °Ææÿ~Æÿ$$…^éÍ.	1:294.5	prose no-rom
64	24		Andhra Jyothi		&	1:315.9	prose no-rom
64	25		Andhra Jyothi		çÜ_{™èþþÐéÆæÿç³{†Mæü,	1:315.9	prose no-rom
64	26		Illustrated Weekly,		23&7&1976.	1:332.3	prose no-rom
