lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
45	1	Ðèþ*çÙtÆæÿ$	Sarma!  Did everyone (of you) attend the class yesterday?	మాస్టరు : శర్మా! నిన్న అందరూ క్లాసుకు వచ్చారా?	ocr		Ðèþ*çÙtÆæÿ$ : ÔèýÆ>Ã!  °¯èþ² A…§æþÆæÿ* M>ÏçÜ$Mæü$ Ðèþ^éaÆ>?	0:446.0;0:462.2	no-rom
45	2	ÔèýÆæÿÃ	All of us came except Ravi, sir.	శర్మ... : రవి తప్ప అందరం వచ్చామండీ!	ocr		ÔèýÆæÿÃ : ÆæÿÑ ™èþç³µ A…§æþÆæÿ… Ðèþ^éaÐèþ$…yîþ!	0:494.4	no-rom
45	3	Ðèþ*çÙtÆæÿ$	Why didn't Ravi come?	మాస్టరు : రవి ఎందుకు రాలేదు?	ocr		Ðèþ*çÙtÆæÿ$ : ÆæÿÑ G…§æþ$Mæü$ Æ>Ìôý§æþ$?	0:526.7	no-rom
45	4	ÔèýÆæÿÃ	He came to the institute, sir. He did not come to the class. He submitted the leave letter and left.	శర్మ : ఇన్‌స్టిట్యూట్‌కు వచ్చాడండీ. క్లాసుకు రాలేదు. లీవులెటరు ఇచ్చి వెళ్లాడు.	ocr		ÔèýÆæÿÃ : C¯ŒþíÜtr*ÅsŒýMæü$ Ðèþ^éayæþ…yîþ. M>ÏçÜ$Mæü$ Æ>Ìôý§æþ$.  ÎÐèþ#ÌñýrÆæÿ$ C_a ÐðþâêÏyæþ$.	0:558.7;0:574.9;0:591.0	no-rom
45	5	Ðèþ*çÙtÆæÿ$	Having come to the institute, did he not come to the class?	మాస్టరు : ఇన్‌స్టిట్యూట్‌కు వచ్చి క్లాసుకు రాలేదా?	ocr		Ðèþ*çÙtÆæÿ$ : C¯ŒþíÜtr*ÅsŒýMæü$ Ðèþ_a M>ÏçÜ$Mæü$ Æ>Ìôý§é?	0:623.3;0:639.6	no-rom
45	6	ÔèýÆæÿÃ	Yes sir. He was not well.  He wanted to go to the hospital and collect the medicine.  This climate did not suit him.	శర్మ. : అవునండీ! అతనికి ఒంట్లో బాగా లేదండీ. ఆస్పత్రికి వెళ్ళి మందు తీసుకుని వెళ్తానన్నాడు. ఈ వాతావరణం అతని ఒంటికి పడలేదు.	ocr		ÔèýÆæÿÃ : AÐèþ#¯èþ…yîþ!  A™èþ°Mìü J…sZÏ »êV> Ìôý§æþ…yîþ.  BçÜµ{†Mìü Ððþãå Ðèþ$…§æþ$ ¡çÜ$Mæü$° Ððþâê¢¯èþ¯é²yæþ$.  D Ðé™éÐèþÆæÿ×ý… A™èþ° J…sìýMìü ç³yæþÌôý§æþ$.	1:160.6;1:177.1;1:193.7;1:210.3;1:226.9	no-rom
45	7	Ðèþ*çÙtÆæÿ$	I see!	మాస్టరు : అలాగా!	ocr		Ðèþ*çÙtÆæÿ$ : AÌêV>!	1:260.0	no-rom
45	8	ÔèýÆæÿÃ	His health is not good sir.  If a slight change is there in the climate, he will have fever.  I asked him to go after informing you.  Perhaps he left without informing you.	శర్మ. : అతని ఒళ్లు మంచిది కాదండీ! వాతావరణంలో కొంచెం మార్పు వస్తే అతనికి జ్వరం వస్తుంది. నిన్న మీతో చెప్పి వెళ్ళమన్నాను. చెప్పకుండా వెళ్ళాడేమో!	ocr		ÔèýÆæÿÃ : A™èþ° Jâæý$Ï Ðèþ$…_¨ M>§æþ…yîþ! Ðé™éÐèþÆæÿ×ý…ÌZ Mö…^ðþ… Ðèþ*Ææÿ$µ ÐèþõÜ¢ A™èþ°Mìü fÓÆæÿ… ÐèþçÜ$¢…¨. °¯èþ² Ò$™ø ^ðþí³µ ÐðþâæýåÐèþ$¯é²¯èþ$. ^ðþç³µMæü$…yé ÐðþâêåyóþÐðþ*!	1:293.2;1:309.7;1:326.3;1:342.9;1:359.5	no-rom
45	9	Ðèþ*çÙtÆæÿ$	It doesn't matter.  There is a good doctor in our street. He is my friend too.  Gopi, you know my house.  Don't you? Bring Ravi to my house in the evening. Let us take him to the doctor.	మాస్టరు : పరవాలేదు. మా వీథిలో ఒక మంచి డాక్టరు ఉన్నాడు. అతను నా స్నేహితుడు గూడా... గోపీ! నీకు మా యిల్లు తెలుసు గదా! రవిని సాయంత్రం మా యింటికి తీసుకురా, అతనికి చూపిద్దాం.	ocr		Ðèþ*çÙtÆæÿ$ : ç³ÆæÿÐéÌôý§æþ$.  Ðèþ* Ò¤ÌZ JMæü Ðèþ$…_ yéMæütÆæÿ$ E¯é²yæþ$. A™èþ¯èþ$ ¯é õÜ²íßý™èþ$yæþ$ Væü*yé.  Vøï³! ±Mæü$ Ðèþ* Æÿ$$Ë$Ï ™ðþË$çÜ$ Væü§é! ÆæÿÑ° ÝëÄæý$…{™èþ… Ðèþ* Æÿ$$…sìýMìü ¡çÜ$Mæü$Æ>, A™èþ°Mìü ^èþ*í³§éª….	1:392.6;1:409.2;1:425.8;1:442.3;1:458.9;1:475.5	no-rom
45	10	ÔèýÆæÿÃ	Now-a-days Ravi and Gopi are not in good terms.	శర్మ ఈ మధ్య రవికీ గోపీకీ పడటం లేదండీ.	ocr		ÔèýÆæÿÃ : D Ðèþ$«§æþÅ ÆæÿÑMîü Vøï³Mîü ç³yæþr… Ìôý§æþ…yîþ.	1:508.6;1:525.2	no-rom
