lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
46	1	MæüÐèþ$Ë	Lakshmi!  Had it been long since you came?	కమల. : లక్ష్మి నువ్వు వచ్చి చాలాసేపైందా?	ocr		MæüÐèþ$Ë : ËMìü‡!  ¯èþ$Ðèþ#Ó Ðèþ_a ^éÌêõÜò³O…§é?	0:444.9	no-rom
46	2	ËMìü‡	Yes.  It was half an hour.	లక్ష్మి. : బెను అరగంటైంది.	ocr		ËMìü‡ : L¯èþ$ AÆæÿVæü…sñýO…¨.	0:478.1	no-rom
46	3	MæüÐèþ$Ë	Oh!  Sorry!  I did not notice. All right. We will go to a movie today.  Come on. It is more than two months since I went to a movie. After the theft in my house, I didn't go outside anywhere.	కమల. : అరె! నేను చూడలేదు. సరే! ఇవ్వాళ సినిమాకు పోదాం, ర నేను సినిమా చూసి రెండు నెలలైంది. మా యింట్లో దొంగ- తనం జరిగిన తర్వాత నేను బైటికి వెళ్ళలేదు.	ocr		MæüÐèþ$Ë : AÆðÿ!  ¯óþ¯èþ$ ^èþ*yæþÌôý§æþ$.  çÜÆóÿ! CÐéÓâæý íÜ°Ðèþ*Mæü$ ´ù§é…, Æ>! ¯óþ¯èþ$ íÜ°Ðèþ* ^èþ*íÜ Æðÿ…yæþ$ ¯ðþËÌñýO…¨.  Ðèþ* Æÿ$$…sZÏ §ö…Væü& ™èþ¯èþ… fÇW¯èþ ™èþÆ>Ó™èþ ¯óþ¯èþ$ »ñýOsìýMìü ÐðþâæýåÌôý§æþ$.	0:511.2;0:527.8;0:544.4;0:561.0;0:577.5;0:594.1	no-rom
46	4	ËMìü‡	I am not happy today.	లక్ష్మి. : ఇవ్వాళ నా మనస్సు బాగలేదు.	ocr		ËMìü‡ : CÐéÓâæý ¯é Ðèþ$¯èþçÜ$Þ »êVæüÌôý§æþ$.	0:627.3	no-rom
46	5	MæüÐèþ$Ë	Why?  Didn't you see Prabhakar today also.	కమల. : ఏం! ఇవ్వాళ గూడా ప్రభాకర్‌ కనిపించలేదా?	ocr		MæüÐèþ$Ë : H…! CÐéÓâæý Væü*yé {ç³¿êMæüÆŠÿ Mæü°í³…^èþÌôý§é?	1:160.6;1:177.1	no-rom
46	6	ËMìü‡	No.  What do you advise me to do?	లక్ష్మి... : లేదు. ఏం చెయ్యమంటావు నన్ను?	ocr		ËMìü‡ : Ìôý§æþ$.  H… ^ðþÄæý$ÅÐèþ$…sêÐèþ# ¯èþ¯èþ$²?	1:210.1	no-rom
46	7	MæüÐèþ$Ë	You are really a coward. He is behaving like that because of your gentle behaviour and cowardice (nature).  Be bold enough.  I will go and speak to him.	కమల. : నువ్వ వట్టి పిరికదానివి. నీ మంచి- తనం పిరికితనం చూసి అతను ఇట్లా చేస్తున్నాడు. నువ్వు ధైర్యంగా ఉండు. సేను వెళ్ళి మాట్లాడ్తాను.	ocr		MæüÐèþ$Ë : ¯èþ$Ðèþ#Ó Ðèþsìýt í³ÇMìü§é°Ñ.  ± Ðèþ$…_& ™èþ¯èþ… í³ÇMìü™èþ¯èþ… ^èþ*íÜ A™èþ¯èþ$ CsêÏ ^óþçÜ$¢¯é²yæþ$. ¯èþ$Ðèþ#Ó «§ðþOÆæÿÅ…V> E…yæþ$. ¯óþ¯èþ$ Ððþãå Ðèþ*sêÏyé¢¯èþ$.	1:242.8;1:259.1;1:275.5;1:291.8	no-rom
46	8	ËMìü‡	I want to do something now.	లక్ష్మి... : ఇప్పుడు నేనొక పని చెయ్యదల- చుకున్నాను.	ocr		ËMìü‡ : Cç³šyæþ$ ¯óþ¯öMæü ç³° ^ðþÄæý$Å§æþË& ^èþ$Mæü$¯é²¯èþ$.	1:324.8;1:341.1	no-rom
46	9	MæüÐèþ$Ë	What is it?	కమల : ఏమిటది?	ocr		MæüÐèþ$Ë : HÑ$r¨?	1:373.8	no-rom
46	10	ËMìü‡	I am thinking of going to his house.	లక్ష్మి: వ్య్లఇంటిి వెళ్ళం అనుకంటున్నాను.	ocr		ËMìü‡ : ÐéâæýÏ C…sìýMìü Ððþâêª… A¯èþ$Mæü$…r$¯é²¯èþ$.	1:406.5	no-rom
46	11	MæüÐèþ$Ë	Do you want to go in for alms? Don't do such a silly thing. I will tell you what you should do. You need not go to his house like a beggar. You will only go as a daughter-in-law. I never thought that he was such a cheat.	కమల. : బిచ్చం కోసం పోతావా? అటు వంటి పిచ్చి పని చెయ్యకు. ఏం చేయాలో నేను చెప్తాను. వాళ్ళిం- టికి బిచ్చగత్తెలా వెళ్తక్కర్రేదు. కోడలుగానే వెళ్తావు. అతనింత మోసగాడు అనుకోలేదు నేను.	ocr		MæüÐèþ$Ë : ¼^èþa… MøçÜ… ´ù™éÐé?  Ar$& Ðèþ…sìý í³_a ç³° ^ðþÄæý$ÅMæü$.  H… ^óþÄæý*ÌZ ¯óþ¯èþ$ ^ðþ´ë¢¯èþ$.  Ðéãå…& sìýMìü ¼^èþaVæü™ðþ¢Ìê ÐðþâæýÏMæüPÆóÿÏ§æþ$. MøyæþË$V>¯óþ Ððþâê¢Ðèþ#.  A™èþ°…™èþ Ððþ*çÜV>yæþ$ A¯èþ$MøÌôý§æþ$ ¯óþ¯èþ$.	1:439.4;1:455.8;1:472.2;1:488.5;1:504.9;1:521.4	no-rom
46	12	ËMìü‡	While coming in the bus yest- erday, I saw him.  He did not speak.	లక్ష్మి. : నిన్న బస్సులో వస్తూ ఉండగా కనిపించాడు; మాట్లాడలేదు.	ocr		ËMìü‡ : °¯èþ² ºçÜ$ÞÌZ ÐèþçÜ*¢ E…yæþV> Mæü°í³…^éyæþ$; Ðèþ*sêÏyæþÌôý§æþ$.	1:554.1;1:570.5	no-rom
