guid	lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
I7ea1563d0092	9	1	™é™èþÄæý$Å	Children! What is there in this box?	తాతయ్య : పిల్లలూ! ఈ పెట్టెలో ఏం ఉంది?	ocr		™é™èþÄæý$Å : í³ËÏË*! D ò³sñýtÌZ H… E…¨?	0:446.0	no-rom
I50d3db7138ac	9	2	çÜ$Ðèþ$	A book.	సుమ : పుస్తకం ఉంది.	ocr		çÜ$Ðèþ$ : ç³#çÜ¢Mæü… E…¨.	0:475.7	no-rom
Ib3f900d78ca2	9	3	™é™èþÄæý$Å	Whose book is that?	తాతయ్య : ఆ పుస్తకం ఎవరిది?	ocr		™é™èþÄæý$Å : B ç³#çÜ¢Mæü… GÐèþÇ¨?	0:505.3	no-rom
Ia9406c2aea05	9	4	çÜ$Ðèþ$	It is Ravi's.	సుమ : రవిది.	ocr		çÜ$Ðèþ$ : ÆæÿÑ¨.	0:534.9	no-rom
Ia6e55f9a83b2	9	5	™é™èþÄæý$Å	Where is Ravi?	తాతయ్య : రవి ఏడి?	ocr		™é™èþÄæý$Å : ÆæÿÑ Hyìþ?	0:564.5	no-rom
I7747e98553fe	9	6	çÜ$Ðèþ$	He is there.	సుమ : అడుగో, అక్కడున్నాడు.	ocr		çÜ$Ðèþ$ : Ayæþ$Vø, AMæüPyæþ$¯é²yæþ$.	0:594.2	no-rom
Ib3f900d78ca2	9	7	™é™èþ	Whose book is that?	తాత : ఆ పుస్తకం ఎవరిది?	ocr		™é™èþ : B ç³#çÜ¢Mæü… GÐèþÇ¨?	0:623.6	no-rom
Idaa3db0e5d42	9	8	çÜ$Ðèþ$	It is Gopi's	సుమ : గోపిది.	ocr		çÜ$Ðèþ$ : Vøí³¨.	1:179.8	no-rom
I3b4cd15dc56f	9	9	™é™èþ	Where is Gopi?	తాత: గోప్‌ ఏడి?	ocr		™é™èþ : Vøí³ Hyìþ?	1:210.2	no-rom
Id3b5a28fde6c	9	10	çÜ$Ðèþ$	He is here. Isn't he?	సుమ : ఇడుగో, ఇక్కడే ఉన్నాడు కదా!	ocr		çÜ$Ðèþ$ : Cyæþ$Vø, CMæüPyóþ E¯é²yæþ$ Mæü§é!	1:240.7	no-rom
I185253479fc5	9	11	™é™èþ	Whose pens are these?	తాత : ఈ కలాలు ఎవరివి?	ocr		™é™èþ : D MæüÌêË$ GÐèþÇÑ?	1:271.1	no-rom
Idbe8faa6cba3	9	12	çÜ$Ðèþ$	One is Kamala's and one is Vinod's.	సుమ : ఒకటి కమలది; ఒకటి వినోద్‌ది.	ocr		çÜ$Ðèþ$ : JMæüsìý MæüÐèþ$Ë¨; JMæüsìý Ñ¯ø§Šþ¨.	1:301.5	no-rom
Ib841c44c8326	9	13	™é™èþ	Where are those two?	తాత : వాళ్ళిద్దరూ ఏరి?	ocr		™é™èþ : Ðéãå§æþªÆæÿ* HÇ?	1:332.0	no-rom
Ib61e3aab03b1	9	14	çÜ$Ðèþ$	There, they are!	సుమ : అరుగో!	ocr		çÜ$Ðèþ$ : AÆæÿ$Vø!	1:362.4	no-rom
I35bff4806b4e	9	15	™é™èþ	Whose bag is this?	తాత : ఈ సంచి ఎవరిది?	ocr		™é™èþ : D çÜ…_ GÐèþÇ¨?	1:392.9	no-rom
Idefbf26fb195	9	16	çÜ$Ðèþ$	Mine.	సుమ : నాది	ocr		çÜ$Ðèþ$ : ¯é¨	1:423.3	no-rom
If823e9b836bd	9	17	™é™èþ	What are there in this bag?	తాత : ఈ సంచిలో ఏం ఉన్నాయి?	ocr		™é™èþ : D çÜ…_ÌZ H… E¯é²Æÿ$$?	1:453.8	no-rom
