lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
50	1		climb up the hill any more and gave up the attempt. Because	చాముండి కొండ మీద	ocr		^éÐèþ$$…yìþ Mö…yæþ Ò$§æþ	0:371.6	prose no-rom
50	2		All of us from our class went to	ఇటీవల మా క్లాసువాళ్ళం అందరం కలిసి	ocr		CsîýÐèþË Ðèþ* M>ÏçÜ$Ðéâæýå… A…§æþÆæÿ… MæüÍíÜ	0:445.4	prose no-rom
50	3		Chamundi hill recently. Some	చాముండి కొండకు వెళ్ళాం. కొంతమంది నడిచి	ocr		^éÐèþ$$…yìþ Mö…yæþMæü$ Ððþâêå….  Mö…™èþÐèþ$…¨ ¯èþyìþ_	0:462.0	prose no-rom
50	4		proposed to go on foot. Some said that they could not walk	వెళ్ళాం అన్నారు. కొంతమంది నడవలేం,	ocr		Ððþâêª… A¯é²Ææÿ$. Mö…™èþÐèþ$…¨ ¯èþyæþÐèþÌôý…,	0:478.5	prose no-rom
50	5		said that they could not walk and wanted to go by bus. If all Sir! He is fleeing with my You are an young boy.  You go purse.	బస్సులో వెళ్దాం అన్నారు. అందరం కలిసి	ocr		ºçÜ$ÞÌZ Ððþâêª… A¯é²Ææÿ$. A…§æþÆæÿ… MæüÍíÜ	0:495.1	prose no-rom
50	6		of us go togethere, we thought purse. and catch him. Do you think I can run that fast?	సరదాగా వేళ్లే మెట్లు ఎక్కటం కష్టం కాదు,	ocr		çÜÆæÿ§éV> Ðóþâôý¢ Ððþ$r$Ï GMæüPr… MæüçÙt… M>§æþ$,	0:511.7	prose no-rom
50	7		climbing the steps would not be a difficult task, and we could do can run that fast?	సులభంగానే ఎక్కగలం అనుకున్నాం. తలా	ocr		çÜ$Ë¿æý…V>¯óþ GMæüPVæüË… A¯èþ$Mæü$¯é²…. ™èþÌê	0:528.3	prose no-rom
50	8		a difficult task, and we could do it easily. We ate four bananas	నాలుగు ఆరిటిపళ్ళు తిని బయలేరాం. మెట్లకు	ocr		¯éË$Væü$ AÇsìýç³âæý$å †° ºÄæý$ÌôýªÆ>…. Ððþ$rÏMæü$	0:544.8	prose no-rom
50	9		each and started. There were	అటూ ఇటూ చెట్టూ, పొదలూ, పెద్దపెద్ద రాళ్లూ	ocr		Ar* Cr* ^ðþr*Ï, ´÷§æþË*, ò³§æþªò³§æþª Æ>âæý*Ï	0:561.4	prose no-rom
50	10		trees, bushes and large stones on both the sides of the steps.	ఉన్నాయి. నాలుగైదు మెట్లు ఎక్కామో లేదో	ocr		E¯é²Æÿ$$. ¯éË$VðüO§æþ$ Ððþ$r$Ï GM>PÐðþ* Ìôý§ø	0:578.0	prose no-rom
50	11		We did not even climb up four	రవికీ కుమార్‌కూ ఒక పోటీ వచ్చింది. అక్కడ	ocr		ÆæÿÑMîü Mæü$Ðèþ*ÆŠÿMæü* JMæü ´ùsîý Ðèþ_a…¨. AMæüPyæþ	0:594.6	prose no-rom
50	12		steps, but Ravi and Kumar had	ఒక పెద్ద రాయి ఉంది. ఆ రాతిని నేను	ocr		JMæü ò³§æþª Æ>Æÿ$$ E…¨. B Æ>†° ¯óþ¯èþ$	0:611.1	prose no-rom
50	13		"a bet between them. There was a big stone. Ravi said ""I can lift"	'ఎత్తగలను అన్నాడు రవి. నువ్వు ఎత్తలేవు	ocr		G™èþ¢VæüË¯èþ$ A¯é²yæþ$ ÆæÿÑ. ¯èþ$Ðèþ#Ó G™èþ¢ÌôýÐèþ#	0:627.7	prose no-rom
50	14		"this stone up"". ""You cannot lift it"	అన్నాడు కుమార్‌. పందెం కట్టమన్నాడు రవి.	ocr		A¯é²yæþ$ Mæü$Ðèþ*ÆŠÿ. ç³…§ðþ… MæürtÐèþ$¯é²yæþ$ ÆæÿÑ.	0:644.3	prose no-rom
50	15		"up"" said Kumar. Then Ravi"	కొండ మీద నువ్వు ఎన్ని అరిటిపళ్ళు తినగలవో	ocr		Mö…yæþ Ò$§æþ ¯èþ$Ðèþ#Ó G°² AÇsìýç³âæý$å †¯èþVæüËÐø	1:160.6	prose no-rom
50	16		wanted to have a bet. Kumar said that he would buy and give	అన్ని కొని ఇస్తాను అన్నాడు కుమార్‌. రవి ఆ	ocr		A°² Mö° CÝë¢¯èþ$ A¯é²yæþ$ Mæü$Ðèþ*ÆŠÿ. ÆæÿÑ B	1:177.1	prose no-rom
50	17		a top the hill as many bananas	రాతిని ఎత్తటానికి ప్రయత్నం చేశాడు. అది	ocr		Æ>†° G™èþ¢sê°Mìü {ç³Äæý$™èþ²… ^óþÔéyæþ$. A¨	1:193.7	prose no-rom
50	18		as he (Ravi) would be able to	లేవలేదు. మళ్ళీ ప్రయత్నించాడు. చివరికి ఆ	ocr		ÌôýÐèþÌôý§æþ$. Ðèþ$äå {ç³Äæý$†²…^éyæþ$. _ÐèþÇMìü B	1:210.3	prose no-rom
50	19		eat. Ravi tried to lift the stone up. It could not be lifted. He	రాయి కొంచెం లేచింది. ఇంతలో ఆ రాతి	ocr		Æ>Æÿ$$ Mö…^ðþ… Ìôý_…¨. C…™èþÌZ B Æ>†	1:226.9	prose no-rom
