lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
58	1	Vøí³	Raju!  Look here, I purchased these plates, pans (bowls/ves- sels) and spoons.  How are they?	గోపి : రాజూ! చూడు నేను ఈ పళ్ళేలు, గిన్నెలు, చెంచాలు కొన్నాను. ఎలా ఉన్నాయి?	ocr		Vøí³ : Æ>l!  ^èþ*yæþ$ ¯óþ¯èþ$ D ç³âôýåË$, W¯ðþ²Ë$, ^ðþ…^éË$ Mö¯é²¯èþ$.  GÌê E¯é²Æÿ$$?	0:439.6;0:456.2;0:472.8	no-rom
58	2	Æ>k	What is the cost of this plate?	రాజు : ఈ హొం ఎంత?	ocr		Æ>k : D ç³âñýå… G…™èþ?	0:505.9	no-rom
58	3	Vøí³	Twentythree rupees and fifty paise. He (shopkeeper) gave one spoon free for each plate.	గోపి. : ఇరవైమూడు రూపాయల యాభై పైసలు. ఒక్కొక్క పళ్ళేనికి ఒక్కొక్క చెంచా ఊరికెనే ఇచ్చాడు.	ocr		Vøí³ : CÆæÿÐðþOÐèþ$*yæþ$ Ææÿ*´ëÄæý$Ë Äæý*¿ñýO ò³OçÜË$.  JMöPMæüP ç³âôýå°Mìü JMöPMæüP ^ðþ…^é FÇMðü¯óþ C^éayæþ$.	0:539.1;0:555.7;0:572.2	no-rom
58	4	Æ>k	What do you do with so many plates?  Whom did you buy them for?	రాజు: ఇన్ని పళ్ళేలు ఏం చేసుకుంటావు? ఎవరి కోసం తెచ్చావు?	ocr		Æ>k : C°² ç³âôýåË$ H… ^óþçÜ$Mæü$…sêÐèþ#? GÐèþÇ MøçÜ… ™ðþ^éaÐèþ#?	0:605.4;0:622.0	no-rom
58	5	Vøí³	I got them for ourselves.  To use.	గోపి: మా కోసమే తెచ్చుకున్నాను; వాడు కోటానికి.	ocr		Vøí³ : Ðèþ* MøçÜÐóþ$ ™ðþ^èþ$aMæü$¯é²¯èþ$;  Ðéyæþ$& Møsê°Mìü.	1:161.2;1:177.8	no-rom
58	6	Æ>k	Do you use all of them at a time?	రాజు. ఇన్నింటిని ఒకే సారి వాడ్డారా?	ocr		Æ>k : C°²…sìý° JMóü ÝëÇ Ðéyé¢Æ>?	1:210.9	no-rom
58	7	Vøí³	What is there?  We use them whenever we need them. I didn't pay for all of them yet. I paid only for a few.	గోపి. : దానిదేముంది? అవసరం వచ్చి- నప్పుడు వాడ్తాం. అన్నింటికీ ఇంకా. డబ్బు ఇవ్వలేదు; కొన్నింటికే ఇచ్చాను.	ocr		Vøí³ : §é°§óþÐèþ$$…¨?  AÐèþçÜÆæÿ… Ðèþ_a& ¯èþç³šyæþ$ Ðéyé¢….  A°²…sìýMîü C…M> yæþº$¾ CÐèþÓÌôý§æþ$; Mö°²…sìýMóü C^éa¯èþ$.	1:244.1;1:260.7;1:277.2;1:293.8	no-rom
58	8	Æ>k	How many did you pay for?	రాజు. : ఎన్నింటికి ఇచ్చావు?	ocr		Æ>k : G°²…sìýMìü C^éaÐèþ#?	1:327.0	no-rom
58	9	Vøí³	I paid for four plates and three pans.  I said that I would pay for the rest later.  My wife did not see them yet.  If she likes, I will retain them.  If she doesn't I will return the ones for which I have not paid.	గోపి... నాలుగు పళ్ళేలకు, మూడు గిన్నెలకు ఇచ్చాను. మిగిలిన వాటికి ఇస్తా- నన్నాను. ఇంకా మా ఆవిడ వీటిని చూడలేదు. మిగిలినవి ఆవిడెకు నచ్చితే ఉంచుతాను; నచ్చకపోతే, తిరిగి ఇచ్చేస్తాను.	ocr		Vøí³ : ¯éË$Væü$ ç³âôýåËMæü$, Ðèþ$*yæþ$ W¯ðþ²ËMæü$ C^éa¯èþ$.  Ñ$WÍ¯èþ ÐésìýMìü CÝë¢& ¯èþ¯é²¯èþ$.  C…M> Ðèþ* BÑyæþ Òsìý° ^èþ*yæþÌôý§æþ$.  Ñ$WÍ¯èþÑ BÑyðþMæü$ ¯èþ_a™óþ E…^èþ$™é¯èþ$; ¯èþ^èþaMæü´ù™óþ †ÇW C^óþaÝë¢¯èþ$.	1:360.1;1:376.7;1:393.3;1:409.8;1:426.4;1:443.0	no-rom
58	10	Æ>k	Why do you return them at all. Keep them.  It seems your wife is singing inside (the house).  Who else is there? Nobody else is there.  She is	రాజు. : మళ్ళీ ఇవ్వటం దేనికి? ఉంచుకో. మీ ఆవిడ లోపల ఏదో పాట పాడు- తున్నట్లుంది. ఇంకా ఎవరున్నారు లోపల?	ocr		Æ>k : Ðèþ$äå CÐèþÓr… §óþ°Mìü?  E…^èþ$Mø. Ò$ BÑyæþ ÌZç³Ë H§ø ´ër ´ëyæþ$& ™èþ$¯èþ²r$Ï…¨.  C…M> GÐèþÆæÿ$¯é²Ææÿ$ ÌZç³Ë?	1:476.1;1:492.7;1:509.3;1:525.9	no-rom
