guid	lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
I5c47105c0c3c	10	1	çÜ$Væü$×ý	Mother! when is the Dasara festival?	సుగుణ : అమ్మా! దసరా పండగ ఎప్పుడు?	ocr		çÜ$Væü$×ý : AÐèþ*Ã! §æþçÜÆ> ç³…yæþVæü Gç³šyæþ$?	0:447.6	no-rom
I42e426540376	10	2	´ëÆæÿÓ†	This is the Dasara festival period. Dasara is a ten-day festival.The important celebra- tions fall on the last three days.	పార్వతి : ఇప్పుడు దసరా పండగే. దసరా పది. రోజుల పండగ. చివరి మూడు రోజులు ముఖ్యమైన పండగలు.	ocr		´ëÆæÿÓ† : Cç³šyæþ$ §æþçÜÆ> ç³…yæþVóü. §æþçÜÆ> ç³¨ ÆøkË ç³…yæþVæü. _ÐèþÇ Ðèþ$*yæþ$ ÆøkË$ Ðèþ$$QÅÐðþ$O¯èþ ç³…yæþVæüË$.	0:478.1;0:493.3;0:508.5	no-rom
I00e3b92e0131	10	3	çÜ$Væü$×ý	What are the names of those days?	సుగుణ : ఆ పండగల పేర్లేమిటి?	ocr		çÜ$Væü$×ý : B ç³…yæþVæüË õ³ÆóÿÏÑ$sìý?	0:539.0	no-rom
I15aa95939923	10	4	´ëÆæÿÓ†	The first day is .  The second day is The last day is	పార్వతి : మొదటిరోజు దుర్గాష్టమి. రెండో రోజు మహర్నవమి. చివరిరోజు విజయ ది.	ocr		´ëÆæÿÓ† : Ððþ$$§æþsìýÆøk §æþ$Æ>YçÙtÑ$. Æðÿ…yø Æøk Ðèþ$çßýÆæÿ²ÐèþÑ$. _ÐèþÇüÆøk ÑfÄæý$ §æþÔèýÑ$.	0:569.4;0:584.7;0:599.9	no-rom
If163d41a6f59	10	5	çÜ$Væü$×ý	What is the date of Vijayadasami.	సుగుణ : విజయదశమి ఎన్నో తారీకు?	ocr		çÜ$Væü$×ý : ÑfÄæý$§æþÔèýÑ$ G¯ø² ™éÈMæü$?	1:179.8	no-rom
I466014571890	10	6	´ëÆæÿÓ†	20th of this month.	పార్వతి : ఇరవయ్యో తారీకు.	ocr		´ëÆæÿÓ† : CÆæÿÐèþÄñý*Å ™éÈMæü$.	1:210.2	no-rom
Id0e26c802953	10	7	çÜ$Væü$×ý	Today is 18th. Tomorrow is 19th. The day after tomorrow is 20th. Then Vijayadasami is on the day after tomorrow.	సుగుణ : ఇవ్వేళ పద్దెనిమిదో తారీకు. రేపు 'పంధొమ్మిది. ఎల్లుండి ఇరవై. అయితే విజయదశమి ఎల్లుండి అన్నమాట!	ocr		çÜ$Væü$×ý : CÐóþÓâæý ç³§ðþ®°Ñ$§ø ™éÈMæü$. Æóÿç³# ç³…«§öÑ$Ã¨. GË$Ï…yìþ CÆæÿÐðþO. AÆÿ$$™óþ ÑfÄæý$§æþÔèýÑ$ GË$Ï…yìþ A¯èþ²Ðèþ*r!	1:240.7;1:255.9;1:271.1	no-rom
I320eab3d1b31	10	8	ÑfÄæý$	Gita! Whose saris are these in this box?	విజయ : గీతా! ఈ పెట్టెలో చీరలు ఎవరివి?	ocr		ÑfÄæý$ : X™é! D ò³sñýtÌZ `ÆæÿË$ GÐèþÇÑ?	1:328.9	no-rom
I2815d77b271a	10	9	X™èþ	Some are mine.	గీత 2 కొన్నినావి.	ocr		X™èþ : Mö°²¯éÑ.	1:359.4	no-rom
Idd2a98dd500d	10	10	ÑfÄæý$	Are these new saris?	విజయ : ఇవి కొత్త చీరలా?	ocr		ÑfÄæý$ : CÑ Mö™èþ¢ `ÆæÿÌê?	1:389.8	no-rom
I33dd06affe4e	10	11	X™èþ	Yes. They are festival saris. Now it is Dasara. Isn't it?	గీత : అవును. ఇవి పండుగ చీరలు. ఇప్పుడు దసరా కదా!	ocr		X™èþ : AÐèþ#¯èþ$. CÑ ç³…yæþ$Væü `ÆæÿË$. Cç³šyæþ$ §æþçÜÆ> Mæü§é!	1:420.3;1:435.5	no-rom
Iba5d55b7c774	10	12	ÑfÄæý$	Yes. Are all these saris yours?	విజయ : అవను. ఈ చీరలు అన్నీ నీవేనా?	ocr		ÑfÄæý$ : AÐèþ#¯èþ$. D `ÆæÿË$ A±² ±Ðóþ¯é?	1:465.9;1:481.2	no-rom
I2815d77b271a	10	13	X™èþ	Some are mine.	గీత: కొన్ని నావి.	ocr		X™èþ : Mö°² ¯éÑ.	1:511.6	no-rom
Ic168fe6f6ab9	10	14	ÑfÄæý$	Which are yours?	విజయ : ఏవి నీవి?	ocr		ÑfÄæý$ : HÑ ±Ñ?	1:542.1	no-rom
I63236737fbe0	10	15	X™èþ	This green sari and this rose sari are mine.	గీత : ఈ ఆకుపచ్చ చీర, ఈ గులాబీ రంగు, చీర నావి.	ocr		X™èþ : D BMæü$ç³^èþa `Ææÿ, D Væü$Ìê½ Ææÿ…Væü$ `Ææÿ ¯éÑ.	1:572.5;1:587.7	no-rom
Ic3393e806541	10	16	ÑfÄæý$	Whose saris are the rest? The red sari and the white sari	విజయ : మిగిలిన చీరలు ఎవరివి?	ocr		ÑfÄæý$ : Ñ$WÍ¯èþ `ÆæÿË$ GÐèþÇÑ?	1:618.2	no-rom
I3e3ee421d55c	10	17	X™èþ	are my mother's. The yellow sari is elder sister's. The rest are my sister-in-law's. Look here. The lady in this photograph is my sister-in-law.	గీత : ఎర్ర చీర, తెల్ల చీర మా అమ్మవి. పసుపుపచ్చ చీర మా అక్కయ్యది. మిగిలినవి మా వదినవి. ఇదుగో ఈ ఫోటోలో ఆవిడ మా వదిన.	ocr		X™èþ : G{Ææÿ `Ææÿ, ™ðþËÏ `Ææÿ Ðèþ* AÐèþ$ÃÑ. ç³çÜ$ç³#ç³^èþa `Ææÿ Ðèþ* AMæüPÄæý$Å¨. Ñ$WÍ¯èþÑ Ðèþ* Ðèþ¨¯èþÑ. C§æþ$Vø D ¸ùsZÌZ BÑyæþ Ðèþ* Ðèþ¨¯èþ.	2:179.2;2:193.6;2:208.0;2:222.4	no-rom
Ic4172221eba9	10	18	ÑfÄæý$	Is she your sister-in-law? She is a lecturer in your college. Isn't she?	విజయ : ఈవిడేనా మీ వదిన? ఈవిడ మీ కాలేజీలో లెక్చరర్‌ కదూ?	ocr		ÑfÄæý$ : DÑyóþ¯é Ò$ Ðèþ¨¯èþ? DÑyæþ Ò$ M>ÌôýiÌZ ÌñýMæüaÆæÿÆŠÿ Mæü§æþ*?	2:251.0;2:265.4	no-rom
I36a8b09f1b1e	10	19	X™èþ	Yes.	గీత : అవును.	ocr		X™èþ : AÐèþ#¯èþ$.	2:294.2	no-rom
Ie738568e4fd5	10	20	ÑfÄæý$	Her name is Saroja. Isn't it?	విజయ : ఈవిడ పేరు సరోజు కదూ?	ocr		ÑfÄæý$ : DÑyæþ õ³Ææÿ$ çÜÆøf Mæü§æþ*?	2:323.0	no-rom
I36a8b09f1b1e	10	21	X™èþ	Yes.	గీత : అవును.	ocr		X™èþ : AÐèþ#¯èþ$.	2:351.7	no-rom
I4c19113e18f9	10	22	ÑfÄæý$	Where is she now?	విజయ : ఆవిడ ఇప్పుడు ఎక్కడున్నారు?	ocr		ÑfÄæý$ : BÑyæþ Cç³šyæþ$ GMæüPyæþ$¯é²Ææÿ$?	2:380.5	no-rom
I0fb825d153eb	10	23	X™èþ	She is here. These are her saris.	గీత : ఇక్కడే ఉంది. ఇవి ఆవిడ చీరలే!	ocr		X™èþ : CMæüPyóþ E…¨. CÑ BÑyæþ `ÆæÿÌôý!	2:409.3	no-rom
Id84aae413591	10	24	MæüÐèþ$Ë	Leela! Which are yours in these new clothes?	కమల : లీలా! ఈ కొత్త బట్టలలో ఏవి నీవి?	ocr		MæüÐèþ$Ë : ÎÌê! D Mö™èþ¢ ºrtËÌZ HÑ ±Ñ?	2:450.1	no-rom
I0032d5ef63e5	10	25	ÎË	This white gown/frock is mine. This red one is also mine.	లీల : ఈ తెల్లగౌను నాది. ఈ ఎర్రది కూడా నాదే.	ocr		ÎË : D ™ðþËÏVú¯èþ$ ¯é¨. D G{Ææÿ¨ Mæü*yé ¯é§óþ.	2:478.9;2:493.3	no-rom
Ic76a06bf889e	10	26	MæüÐèþ$Ë	Is this red one yours? Whose shirt is this?	కమల : ఈ ఎగ్రది నీదా? ఈ చొక్కా ఎవరిది?	ocr		MæüÐèþ$Ë : D G{Ææÿ¨ ±§é? D ^öM>P GÐèþÇ¨?	2:521.9	no-rom
I423dee31431e	10	27	ÎË	This is our Babu's.	లీల : ఇది మా బాబుది.	ocr		ÎË : C¨ Ðèþ* »êº$¨.	2:550.8	no-rom
I567f4e633fbb	10	28	MæüÐèþ$Ë	Which class is your Babu in?	కమల : మీ బాబు ఎన్నో తరగతి?	ocr		MæüÐèþ$Ë : Ò$ »êº$ G¯ø² ™èþÆæÿVæü†?	2:579.6	no-rom
I39fedabe4a34	10	29	ÎË	6th class.	లీల : ఆరో తరగతి.	ocr		ÎË : BÆø ™èþÆæÿVæü†.	2:608.8	no-rom
I13ee25dd8e33	10	30	MæüÐèþ$Ë	Here are our festival clothes. Mine is the green gown/frock. My brother's is the black shirt.	కమల : ఇవిగో ఇవి మా పండగ బట్టలు. నాది ఆకుపచ్చ గౌను. మా తమ్ముడిది నల్ల చక్కా	ocr		MæüÐèþ$Ë : CÑVø CÑ Ðèþ* ç³…yæþVæü ºrtË$. ¯é¨ BMæü$ç³^èþa Vú¯èþ$. Ðèþ* ™èþÐèþ$$Ãyìþ¨ ¯èþËÏ ^öM>P.	3:178.7;3:192.3;3:205.9	no-rom
I8b6a6c2f41de	10	31	ÎË	The red is a good/nice colour. The green and the black are not good/nice colours.	లీల : ఎరుపు మంచి రంగు. ఆకుపచ్చా నలుపూ మంచి రంగులు కాదు.	ocr		ÎË : GÆæÿ$ç³# Ðèþ$…_ Ææÿ…Væü$. BMæü$ç³^éa ¯èþË$ç³N Ðèþ$…_ Ææÿ…Væü$Ë$ M>§æþ$.	3:233.1;3:246.7	no-rom
Ieb027c0613b5	10	32	»êº$	The white is also a good/nice colour.	బాబు : తెలుపు కూడా మంచి రంగే!	ocr		»êº$ : ™ðþË$ç³# Mæü*yé Ðèþ$…_ Ææÿ…Vóü!	3:273.9	no-rom
I0b578af098af	10	33	MæüÐèþ$Ë	Is not the green a good/nice colour? The leaves are green.	కమల : ఆకుపచ్చ మంచి రంగు కాదా? ఆకులు, ఆకుపచ్చ.	ocr		MæüÐèþ$Ë : BMæü$ç³^èþa Ðèþ$…_ Ææÿ…Væü$ M>§é? BMæü$Ë$ BMæü$ç³^èþa.	3:301.3;3:314.9	no-rom
I86c0ce492178	10	34	ÎË	The flowers are red.	లీల : పూలు ఎరుపు.	ocr		ÎË : ç³NË$ GÆæÿ$ç³#.	3:342.1	no-rom
I0a1fe6bc0021	10	35	MæüÐèþ$Ë	All the leaves are green. But all the flowers are not red. Some are red, some are white, some are yellow and some are rose in colour.	కమల : ఆకులు అన్నీ ఆకుపచ్చ రంగే! పూలు, అన్నీ ఎరుపు కాదు. కొన్ని ఎరుపు. కొన్ని తెలుపు. కొన్ని పసుపుపచ్చ. కొన్ని గులాబీ రంగు.	ocr		MæüÐèþ$Ë : BMæü$Ë$ A±² BMæü$ç³^èþa Ææÿ…Vóü! ç³NË$ A±² GÆæÿ$ç³# M>§æþ$. Mö°² GÆæÿ$ç³#. Mö°² ™ðþË$ç³#. Mö°² ç³çÜ$ç³#ç³^èþa. Mö°² Væü$Ìê½ Ææÿ…Væü$.	3:369.3;3:382.9;3:396.5;3:410.1	no-rom
Ie7271806b93c	10	36	ÎË	There my father is. It is holiday today. He is at home. Father! Is green a good / nice colour? or red?	లీల : అదుగో మా నాన్నగారు. ఇవ్వేళ సెలవు. ఇంటి దగ్గరే ఉన్నారు. నాన్నగ్రారూ! ఆకుపచ్చ మంచి రంగా! ఎరుపు మంచి రంగా?	ocr		ÎË : A§æþ$Vø Ðèþ* ¯é¯èþ²V>Ææÿ$. CÐóþÓâæý òÜËÐèþ#. C…sìý §æþVæüYÆóÿ E¯é²Ææÿ$. ¯é¯èþ²V>Ææÿ*! BMæü$ç³^èþa Ðèþ$…_ Ææÿ…V>! GÆæÿ$ç³# Ðèþ$…_ Ææÿ…V>?	3:437.3;3:450.9;3:464.5;3:478.3	no-rom
