guid	lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
Ie29594568a05	25	1	ÔèýÆæÿÃ	Hello!  Prasad!  How long have been wearing glasses?  I see you wearing for the first time just now.	శర్మ: ఏం ప్రసాద్‌! కళ్ళజోడు ఎన్ని రోజుల నించి పెట్టుకుంటున్నావు? నువ్యు కళ్ళజోడు పెట్టుకోటం ఇప్పుడే చూస్తున్నాను.	ocr		ÔèýÆæÿÃ : H… {ç³Ýë§Šþ!  MæüâæýågZyæþ$ G°² ÆøkË °…_ ò³r$tMæü$…r$¯é²Ðèþ#? ¯èþ$Ðèþ#Ó MæüâæýågZyæþ$ ò³r$tMør… Cç³šyóþ ^èþ*çÜ$¢¯é²¯èþ$.	0:448.9;0:464.1;0:479.3;0:494.5	no-rom
I1f704da585ef	25	2	{ç³Ýë§Šþ	I started wearing glasses for the last four days only.  Do you have any houses vacant in your area?	ప్రసాద్‌: నాలుగు రోజుల నించే పెట్టుకుం- టున్నాను.. మీ పేటలో ఇళ్ళు ఖాలీగా ఉన్నాయా?	ocr		{ç³Ýë§Šþ : ¯éË$Væü$ ÆøkË °…^óþ ò³r$tMæü$…& r$¯é²¯èþ$.  Ò$ õ³rÌZ Câæý$å RêäV> E¯é²Äæý*?	0:525.0;0:540.2;0:555.4	no-rom
I9621c9375583	25	3	ÔèýÆæÿÃ	Why?	శర్మ: ఎందుకు?	ocr		ÔèýÆæÿÃ : G…§æþ$Mæü$?	0:585.9	no-rom
I7b7a5880e383	25	4	{ç³Ýë§Šþ	I want one.	ప్రసాద్‌: నాకు కావాలి.	ocr		{ç³Ýë§Šþ : ¯éMæü$ M>ÐéÍ.	0:616.3	no-rom
I1b5948735ca8	25	5	ÔèýÆæÿÃ	Why?  Your house is all right. Isn’t it?	శర్మ: ఏం? మీ ఇల్లు బాగానే ఉందిగా?	ocr		ÔèýÆæÿÃ : H…?  Ò$ CË$Ï »êV>¯óþ E…¨V>?	1:178.7	no-rom
I7159c95c26ae	25	6	{ç³Ýë§Šþ	The house is good.  But it is getting difficult to stay in that house.	ప్రసాద్‌: ఇల్లు బాగానే ఉంది; కాని ఉండడం చాలా కష్టంగా ఉంది.	ocr		{ç³Ýë§Šþ : CË$Ï »êV>¯óþ E…¨; M>° E…yæþyæþ… ^éÌê MæüçÙt…V> E…¨.	1:206.3;1:220.1	no-rom
I1fef15df6c81	25	7	ÔèýÆæÿÃ	Why?  Is not your landlord a good person.	శు: ఏం? ఇంటతను మంచివాడు కాదా?	ocr		ÔèýÆæÿÃ : H…?  C…r™èþ¯èþ$ Ðèþ$…_Ðéyæþ$ M>§é?	1:247.7	no-rom
I2b080d63305c	25	8	{ç³Ýë§Šþ	The landlord is a good person. But the house is entirely dark. The lights should be on all the time.  That is not all.  It is also far off from the office.  It is difficult to go and come back.	ప్రసాద్‌: ఇంటతను మంచివాడే! కాని ఇల్లంతా చీకటి. ఎప్పుడూ లైటు ఉండాలి. అంతే కాదు. ఆఫీసుకు చాలా దూరం గూడా! రావడం పోవడం ఎంతో కష్టం.	ocr		{ç³Ýë§Šþ : C…r™èþ¯èþ$ Ðèþ$…_Ðéyóþ!  M>° CËÏ…™é `Mæüsìý.  Gç³šyæþ* ÌñýOr$ E…yéÍ.  A…™óþ M>§æþ$.  BïœçÜ$Mæü$ ^éÌê §æþ*Ææÿ… Væü*yé!  Æ>Ðèþyæþ… ´ùÐèþyæþ… G…™ø MæüçÙt….	1:275.3;1:289.1;1:302.7;1:316.5;1:330.3	no-rom
I8152088c3ef9	25	9	ÔèýÆæÿÃ	The house rents are higher in our area than in your area.	శర్మ: మీ పేటలో ఇళ్ళ కంటె మా పేటలో ఇళ్ళ అద్దెలు ఎక్కువ.	ocr		ÔèýÆæÿÃ : Ò$ õ³rÌZ Câæýå Mæü…sñý Ðèþ* õ³rÌZ Câæýå A§ðþªË$ GMæü$PÐèþ.	1:357.9;1:371.7	no-rom
I4b8be8e5a8c0	25	10	{ç³Ýë§Šþ	So what?  The houses in your locality are more convenient than in our locality.  They are big too.  Is your landlord a good man?	ప్రసాద్‌ : అయితే ఏం? మా పేటలో ఇళ్ళ కంటె మీ పేటలో ఇళ్ళు బాగున్నాయి. పెద్దవి గూడా! మీ ఇంటతను 'మంచివాడేనా?	ocr		{ç³Ýë§Šþ : AÆÿ$$™óþ H…?  Ðèþ* õ³rÌZ Câæýå Mæü…sñý Ò$ õ³rÌZ Câæý$å »êVæü$¯é²Æÿ$$. ò³§æþªÑ Væü*yé!  Ò$ C…r™èþ¯èþ$ Ðèþ$…_Ðéyóþ¯é?	1:399.3;1:413.1;1:426.9;1:440.7	no-rom
Idf2c76f852da	25	11	ÔèýÆæÿÃ	Yeah!  All people in our locality are good.  No bad people here. There is one house vacant be- side my house.  Come with me.	శర్మ: ఆ| మా పేటలో అందరూ మంచి- వాళ్ళే. చెడ్డవాళ్ళే లేరు. మా ఇంటి పక్కన ఒక ఇల్లు ఉంది; ర!	ocr		ÔèýÆæÿÃ : B!  Ðèþ* õ³rÌZ A…§æþÆæÿ* Ðèþ$…_& Ðéâôýå.  ^ðþyæþzÐéâôýå ÌôýÆæÿ$.  Ðèþ* C…sìý ç³MæüP¯èþ JMæü CË$Ï E…¨; Æ>!	1:468.1;1:481.9;1:495.7	no-rom ocr-suspect
I9f435ad2506e	25	12	{ç³Ýë§Šþ	Now the time is not sufficient. It is not known whether bus is available or not.	ప్రసాద్‌: ఇప్పుడు టైం చాలదు. బస్సు కూడా ఉందో లేదో!	ocr		{ç³Ýë§Šþ : Cç³šyæþ$ sñýO… ^éË§æþ$.  ºçÜ$Þ Mæü*yé E…§ø Ìôý§ø!	1:523.3;1:537.1	no-rom
I68807c3b1197	25	13	ÔèýÆæÿÃ	Tomorrow is holiday.  Isn’t it? Come tomorrow morning.	శర్మ: రేపు సెలవే కదా! రేపు ఉదయం ర	ocr		ÔèýÆæÿÃ : Æóÿç³# òÜËÐóþ Mæü§é!  Æóÿç³# E§æþÄæý$… Æ>!	1:564.7;1:578.6	no-rom
Id6d614a58483	25	14	{ç³Ýë§Šþ	Okay.	ప్రసాద్‌: అలాగే!	ocr		{ç³Ýë§Šþ : AÌêVóü!	1:606.2	no-rom
I00863d5d0c1d	25	15	ÔèýÆæÿÃ	Come on, Prasad.  Our neighbouring house is vacant. But the kitchen is small.	శర్మ : రా ప్రసాద్‌! మా పక్కఇల్లు ఖాలీగానే ఉంది. కాని వంటయిల్లు చిన్నది.	ocr		ÔèýÆæÿÃ : Æ> {ç³Ýë§Šþ! Ðèþ* ç³MæüP CË$Ï RêäV>¯óþ E…¨.  M>° Ðèþ…rÆÿ$$Ë$Ï _¯èþ²¨.	2:178.7;2:192.5	no-rom
I1f0d06614959	25	16	{ç³Ýë§Šþ	Come on; show it.	ప్రసాద్‌: పద. చూపించు.	ocr		{ç³Ýë§Šþ : ç³§æþ.  ^èþ*í³…^èþ$.	2:220.1	no-rom
Iaaf907baae03	25	17	ÔèýÆæÿÃ	Come.  This is the house.  This Papa is the daughter of the landlord. Papa! What is your sister doing?	శర్మ: రా ఇదే ఇల్లు, ఈ పాప ఇంటి- వాళ్ళ అమ్మాయి. పాపా! అక్కయ్య ఏం చేస్తోందమ్మా?	ocr		ÔèýÆæÿÃ : Æ>!  C§óþ CË$Ï.  D ´ëç³ C…sìý& Ðéâæýå AÐèþ*ÃÆÿ$$.  ´ë´ë!  AMæüPÄæý$Å H… ^óþÝù¢…§æþÐèþ*Ã?	2:247.7;2:261.5;2:275.3	no-rom
Ie26d67540e69	25	18	´ëç³	My elder sister is in the kitchen, sir!  She is cooking.  The younger sister is playing with a girl from next door.  All the time she indulges in games.	పాప. : పెద్దక్కయ్య వంటయింట్లో ఉన్నదండీ. 'వంటచేస్తోంది. చిన్నక్షయ్య పక్శవాళ్ళ అమ్మాయితో ఆడుతోంది... దానికి ఎప్పుడూ ఆటలేనండీ!	ocr		´ëç³ : ò³§æþªMæüPÄæý$Å Ðèþ…rÆÿ$$…sZÏ E¯èþ²§æþ…yîþ. Ðèþ…r^óþÝù¢…¨.  _¯èþ²MæüPÄæý$Å ç³MæüPÐéâæýå AÐèþ*ÃÆÿ$$™ø Byæþ$™ø…¨.  §é°Mìü Gç³šyæþ* BrÌôý¯èþ…yîþ!	2:302.7;2:316.5;2:330.3;2:344.1	no-rom
Ic37bb01f663f	25	19	ÔèýÆæÿÃ	You too play!	శర్మ: నువ్వు కూడా ఆడు.	ocr		ÔèýÆæÿÃ : ¯èþ$Ðèþ#Ó Mæü*yé Byæþ$.	2:371.7	no-rom
I4cea79f24186	25	20	´ëç³	Playing in the mornings is not good, sir!	పాప : ఉదయం ఆడటం మంచిది కాదండీ!	ocr		´ëç³ : E§æþÄæý$… Byæþr… Ðèþ$…_¨ M>§æþ…yîþ!	2:399.3	no-rom
I67a39a279b8d	25	21	ÔèýÆæÿÃ	I see!  You are a good girl. Take these chocolates.	శర్మ: అలాగా! నువ్వ చాలా మంచిదానివి. ఈ చక్లెట్లు తీసుకో!	ocr		ÔèýÆæÿÃ : AÌêV>!  ¯èþ$Ðèþ#Ó ^éÌê Ðèþ$…_§é°Ñ. D ^éMðüÏr$Ï ¡çÜ$Mø!	2:426.9;2:440.7	no-rom
I2206b496bae3	25	22	´ëç³	One is enough, sir!  Eating too much is not good.	పాప : ఒకటి చాలండీ! ఎక్కువగా తినటం మంచిది కాదు.	ocr		´ëç³ : JMæüsìý ^éË…yîþ!  GMæü$PÐèþV> †¯èþr… Ðèþ$…_¨ M>§æþ$.	2:468.1;2:481.9	no-rom
I102f0594b676	25	23	{ç³Ýë§Šþ	Papa! What are you studying presently.	ప్రసాద్‌: పాపా! ఇప్పుడు నువ్వేం చదువు తున్నావు?	ocr		{ç³Ýë§Šþ : ´ë´ë!  Cç³šyæþ$ ¯èþ$ÐóþÓ… ^èþ§æþ$Ðèþ# ™èþ$¯é²Ðèþ#?	2:509.5;2:523.3	no-rom
I764ed91c963b	25	24	´ëç³	I am not studying anything now, sir!  I am putting on a wrap- per to this book.	పాప : ఇప్పుడు నేను చదవటంలేదండీ! పుస్తనికి అట్ట వేస్తున్నాను.	ocr		´ëç³ : Cç³šyæþ$ ¯óþ¯èþ$ ^èþ§æþÐèþr…Ìôý§æþ…yîþ! ç³#çÜ¢M>°Mìü Art ÐóþçÜ$¢¯é²¯èþ$.	2:550.9;2:564.7	no-rom
I177c196b41e4	25	25	{ç³Ýë§Šþ	No, not that my dear!  I am saying what class are you in now.	ప్రసాద్‌: అది కాదమ్మా! నువ్వు ఇప్పుడు ఎన్నో తరగతి చదువుతున్నావు అంటున్నాను.	ocr		{ç³Ýë§Šþ : A¨ M>§æþÐèþ*Ã!  ¯èþ$Ðèþ#Ó Cç³šyæþ$ G¯ø² ™èþÆæÿVæü† ^èþ§æþ$Ðèþ#™èþ$¯é²Ðèþ# A…r$¯é²¯èþ$.	2:592.4;2:606.2;2:619.7	no-rom
I3eb2303fb4db	25	26	´ëç³	I am in second standard, sir!	పాప. : రెండో తరగతి చదువుతున్నానండీ!	ocr		´ëç³ : Æðÿ…yø ™èþÆæÿVæü† ^èþ§æþ$Ðèþ#™èþ$¯é²¯èþ…yîþ!	3:179.8	no-rom
I99d5b1098276	25	27	{ç³Ýë§Šþ	I see!  What lesson are they teaching now in your school?	ప్రసాద్‌: అలాగా! ఇప్పుడు మీ బళ్ళో ఏం పాఠం చెప్తున్నారు?	ocr		{ç³Ýë§Šþ : AÌêV>!  Cç³šyæþ$ Ò$ ºâZå H… ´ëuæÿ… ^ðþç³#¢¯é²Ææÿ$?	3:210.2;3:225.4	no-rom
Iffc0be0e99fa	25	28	´ëç³	Now they are not teaching any lessons, sir.  They are telling stories, and teaching songs. They are also teaching draw- ing pictures.	పాప: ఇప్పుడు పాఠాలు చెప్పటం లేదండీ! కథలు, పాటలు చెబుతున్నారు. బొమ్మలు వెయ్యటం కూడా నేర్పు- తున్నారు.	ocr		´ëç³ : Cç³šyæþ$ ´ëu>Ë$ ^ðþç³µr… Ìôý§æþ…yîþ! Mæü£æþË$, ´ërË$ ^ðþº$™èþ$¯é²Ææÿ$. »ŸÐèþ$ÃË$ ÐðþÄæý$År… Mæü*yé ¯óþÆæÿ$µ& ™èþ$¯é²Ææÿ$.	3:255.9;3:271.1;3:286.3;3:301.5	no-rom
I8d69ae3855e3	25	29	ç³Ýë§Šþ	Then, sing a song.	పసాద్‌ : ఏది, ఒక పాట పాడు.	ocr		ç³Ýë§Šþ : H¨, JMæü ´ër ´ëyæþ$.	3:332.0	no-rom
