lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
43	1	X™èþ	Suguna! We should see that our work is finished by tomorrow. It is already getting very late. My father is angry.	గీత... : సుగుణా! మన పని రేపు అయ్యే- టట్లు చూడాలి. ఇప్పటికే చాలా ఆలస్యం అయింది. మా నాన్న గారికి కోపం వస్తున్నది.	ocr		X™èþ : çÜ$Væü$×ê!  Ðèþ$¯èþ ç³° Æóÿç³# AÄôý$Å& rr$Ï ^èþ*yéÍ. Cç³µsìýMóü ^éÌê BËçÜÅ… AÆÿ$$…¨. Ðèþ* ¯é¯èþ²& V>ÇMìü Møç³… ÐèþçÜ$¢¯èþ²¨.	0:445.6;0:462.2;0:478.8;0:495.3	no-rom
43	2	çÜ$Væü$×ý	Yes.  Look! It looks as though it would rain now.  There are dark clouds all over the sky. We are still very far from the bus stand.	సుగుణ : అవును. చూడు వాన వచ్చే- టట్లున్నది. ఆకాశం అంతా మబ్బులు పట్టాయి. మనం ఇంకా బస్సు స్టాండుకు చాలా దూరంలో ఉన్నాం.	ocr		çÜ$Væü$×ý : AÐèþ#¯èþ$.  ^èþ*yæþ$ Ðé¯èþ Ðèþ^óþa& rr$Ï¯èþ²¨.  BM>Ôèý… A…™é Ðèþ$º$¾Ë$ ç³sêtÆÿ$$.  Ðèþ$¯èþ… C…M> ºçÜ$Þ Ýët…yæþ$Mæü$ ^éÌê §æþ*Ææÿ…ÌZ E¯é²….	0:528.5;0:545.1;0:561.6;0:578.2;0:594.8	no-rom
43	3	X™èþ	No, Suguna! It is very near.	గీత... : లేదు సుగుణా! దగ్గరికే వచ్చాం.	ocr		X™èþ : Ìôý§æþ$ çÜ$Væü$×ê! §æþVæüYÇMóü Ðèþ^éa….	0:627.9	no-rom
43	4	çÜ$Væü$×ý	Why is it that there are so many people here?	సుగుణ : ఏమిటి ఇక్కడ యింతమంది జనం ఉన్నారు?	ocr		çÜ$Væü$×ý : HÑ$sìý CMæüPyæþ Æÿ$$…™èþÐèþ$…¨ f¯èþ… E¯é²Ææÿ$?	1:159.9;1:175.6	no-rom
43	5	X™èþ	The bus stops here also.  We will also stay here.  Who among your friends (fem) are coming to your house today? and who are not coming?	గీత. : ఇక్కడ గూడా బస్సు ఆగుతుంది. మనం గూడా యిక్కడే ఉందాం. మీ స్నేహితురాళ్ళల్లో ఇవ్వాళ మీ ఇంటికి వస్తున్న వాళ్ళివరు? రాని వాళ్ళెవరు.	ocr		X™èþ : CMæüPyæþ Væü*yé ºçÜ$Þ BVæü$™èþ$…¨. Ðèþ$¯èþ… Væü*yé Æÿ$$MæüPyóþ E…§é…. Ò$ õÜ²íßý™èþ$Æ>âæýåÌZÏ CÐéÓâæý Ò$ C…sìýMìü ÐèþçÜ$¢¯èþ² ÐéâñýåÐèþÆæÿ$?  Æ>° ÐéâñýåÐèþÆæÿ$.	1:207.0;1:222.6;1:238.1;1:253.8	no-rom
43	6	çÜ$Væü$×ý	All are coming.  Look here, there are about a hundred people. I am afraid all of them are wait- ing for the bus only.	సుగుణ : అందరూ వస్తున్నారు. చూడు ఇక్కడ సువూరు వందవుంది ఉన్నారు. అందరూ బస్సు కోసమే ఎదురు చూస్తున్నట్లున్నారు.	ocr		çÜ$Væü$×ý : A…§æþÆæÿ* ÐèþçÜ$¢¯é²Ææÿ$.  ^èþ*yæþ$, CMæüPyæþ çÜ$Ðèþ*Ææÿ$ Ðèþ…§æþÐèþ$…¨ E¯é²Ææÿ$.  A…§æþÆæÿ* ºçÜ$Þ MøçÜÐóþ$ G§æþ$Ææÿ$ ^èþ*çÜ$¢¯èþ²r$Ï¯é²Ææÿ$.	1:285.2;1:300.9;1:316.5;1:332.0	no-rom
43	7	X™èþ	Yes.	గీత. : అవును.	ocr		X™èþ : AÐèþ#¯èþ$.	1:363.4	no-rom
43	8	çÜ$Væü$×ý	Will there be room in the bus for so many?	సుగుణ : అంతవుందికి బస్సులో చోటు ఉంటుందా?	ocr		çÜ$Væü$×ý : A…™èþÐèþ$…¨Mìü ºçÜ$ÞÌZ ^ør$ E…r$…§é?	1:394.8;1:410.4	no-rom
43	9	X™èþ	Yes! What do you think of a city bus? Its capacity is unlimited.	గీత : ఆ| సిటీ బస్సు అంటే ఏమను- కుంటున్నావు? పుష్పకవిమానం!	ocr		X™èþ : B! íÜsîý ºçÜ$Þ A…sôý HÐèþ$¯èþ$& Mæü$…r$¯é²Ðèþ#? ç³#çÙµMæüÑÐèþ*¯èþ…!	1:441.6;1:457.3	no-rom ocr-suspect
43	10	çÜ$Væü$×ý	If we just stand here how can we identify the buses going to our area from the other buses?	సుగుణ : ఇక్కడ నిల్చుంటే మన పేటకు వెళ్ళే బస్సులేవో వెళ్ళని బస్సులేవో ఎట్లా కనుక్కోవటవం?.	ocr		çÜ$Væü$×ý : CMæüPyæþ °Ë$a…sôý Ðèþ$¯èþ õ³rMæü$ Ððþâôýå ºçÜ$ÞÌôýÐø Ððþâæýå° ºçÜ$ÞÌôýÐø GsêÏ Mæü¯èþ$MøPÐèþrÐèþ…?	1:488.7;1:504.4;1:519.8	no-rom
