guid	lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
I73e723fcf08f	1	1	ÆæÿÑ	What is that?	రవి : అది ఏమిటి?	rom	ravi : adi ēmiṭi?	ÆæÿÑ : A¨ HÑ$sìý?	0:471.0	
I19295bb697b3	1	2	WÇ	That is a chair.	గిరి : అది కుర్చీ.	rom	giri : adi kurcī.	WÇ : A¨ Mæü$Èa.	0:531.9	
Ib1ba3bfbfc7b	1	3	ÆæÿÑ	What is this?	రవి : ఇది ఏమిటి?	rom	ravi : idi ēmiṭi?	ÆæÿÑ : C¨ HÑ$sìý?	0:593.8	
I2c69f19981a1	1	4	WÇ	This is a table.	గిరి : ఇది బల్ల.	rom	giri : idi balla.	WÇ : C¨ ºËÏ.	1:180.0	
I42902f2c3dc4	1	5	ÆæÿÑ	This is a wall. That is a threshold. This is a paper. That is a pen. This is a book. That is a clock/watch. This is a dog.  That is a cat.	రవి : ఇది గోడ.  అది వాకిలి. ఇది కాయితం.  అది కలం. ఇది పుస్తకం. అది గడియారం. ఇది కుక్క.  అది పిల్లి.	rom	ravi : idi gōḍa.  adi vākili. idi kāyitaṁ.  adi kalaṁ. idi pustakaṁ. adi gaḍiyāraṁ. idi kukka.  adi pilli.	ÆæÿÑ : C¨ Vøyæþ.  A¨ ÐéMìüÍ. C¨ M>Æÿ$$™èþ….  A¨ MæüË…. C¨ ç³#çÜ¢Mæü…. A¨ VæüyìþÄæý*Ææÿ…. C¨ Mæü$MæüP.  A¨ í³ÍÏ.	1:241.9;1:303.8;1:365.7;1:381.1;1:458.4	
Ibe79ef813c76	1	6	WÇ	Which is the door? Which is the window?	గిరి : ఏది తలుపు?  ఏది కిటికీ?	rom	giri : ēdi talupu?  ēdi kiṭikī?	WÇ : H¨ ™èþË$ç³#?  H¨ MìüsìýMîü?	1:520.3	
I3a19bdfaadee	1	7	ÆæÿÑ	This is the door? That is the window.	రవి : ఇది తలుపు.  అది కిటికీ.	rom	ravi : idi talupu.  adi kiṭikī.	ÆæÿÑ : C¨ ™èþË$ç³#.  A¨ MìüsìýMîü.	1:582.2	
Ieff0ea10e840	1	8	ÆæÿÑ	Who is he?	రవి : ఆయన ఎవరు?	rom	ravi : āyana evaru?	ÆæÿÑ : BÄæý$¯èþ GÐèþÆæÿ$?	2:179.6	
I93a7cfc78b4d	1	9	Ë™èþ	He is a teacher.	లత : ఆయన మాష్టరుగారు.	rom	lata : āyana māṣṭarugāru.	Ë™èþ : BÄæý$¯èþ Ðèþ*çÙtÆæÿ$V>Ææÿ$.	2:240.0	
Ic74a27688304	1	10	ÆæÿÑ	Who is she?	రవి : ఆమె ఎవరు?	rom	ravi : āme evaru?	ÆæÿÑ : BÐðþ$ GÐèþÆæÿ$?	2:300.3	
