guid	lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
Ic350930782f3	55	1		THE PYTHON was hurt severely, it died.  While throwing the stone Ravi never	మేకను పట్టుకున్న	ocr		Ðóþ$Mæü¯èþ$ ç³r$tMæü$¯èþ²	0:374.3	prose no-rom
Ib76f48b7528e	55	2		THAT SWALLOWED and the crow would die.  He	కొండచిలువ	ocr		Mö…yæþ_Ë$Ðèþ	0:400.8	prose no-rom
I3a513a1f00ca	55	3		Gwalior, September 26. without throwing stones any more.  But while climbing up the	గ్వాలియర్‌, సెప్టెంబర్‌ 26.	ocr		V>ÓÍÄæý$ÆŠÿ, òÜò³t…ºÆŠÿ 26.	0:451.1	prose no-rom
I287ead89c735	55	4		One python, while swallow- more.  But while climbing up the tree he slipped and fell down.	మొన్న గ్వాలియర్‌ కోట ఆవరణలో ఒక	ocr		Ððþ$$¯èþ² V>ÓÍÄæý$ÆŠÿ Mør BÐèþÆæÿ×ýÌZ JMæü	0:466.4	prose no-rom
I3573015854d4	55	5		ing a goat inside the Gwalior fort The branch he was holding was	పెద్ద కొండచిలువ ఒక మేకను పట్టుకుని	ocr		ò³§æþª Mö…yæþ_Ë$Ðèþ JMæü Ðóþ$Mæü¯èþ$ ç³r$tMæü$°	0:481.4	prose no-rom
I02a52c98f955	55	6		on the other day, was caught.  By that time more than half of the also broken.  There was rain water below.  Since he fell into	మింగుతూ ఉండగా దాన్ని పట్టుకున్నారు.	ocr		Ñ$…Væü$™èþ* E…yæþV> §é°² ç³r$tMæü$¯é²Ææÿ$.	0:496.6	prose no-rom
I48907655fa41	55	7		that time more than half of the goat’s body was inside the water below.  Since he fell into the water his clothes got wet.  The	అప్పటికి వక శరీరంలో సగానికి పైగా	ocr		Aç³µsìýMìü Ðóþ$Mæü ÔèýÈÆæÿ…ÌZ çÜV>°Mìü ò³OV>	0:511.9	prose no-rom
I186bd90dd0d5	55	8		goat’s body was inside the python’s mouth.  But the hind legs watch he wore without his	కొండచిలువ నోటిలోనికి వెళ్ళిపోయింది. మేక	ocr		Mö…yæþ_Ë$Ðèþ ¯øsìýÌZ°Mìü Ððþãå´ùÆÿ$$…¨.  Ðóþ$Mæü	0:527.1	prose no-rom
Ib3b0883cbce3	55	9		of the goat were seen outside. father’s knowledge also got wet. The moment it fell in water, it	వెనక కాళ్ళు మాత్రం బైటికి కనిపిస్తున్నాయి.	ocr		Ððþ¯èþMæü M>âæý$å Ðèþ*{™èþ… »ñýOsìýMìü Mæü°í³çÜ$¢¯é²Æÿ$$.	0:542.2	prose no-rom
I2bf238ad5a2b	55	10		People pulled it out with those The moment it fell in water, it stopped working.  He was afraid	ఆ కాళ్ళు పట్టుకొని మేకను బయటికి లాగారు.	ocr		B M>âæý$å ç³r$tMö° Ðóþ$Mæü¯èþ$ ºÄæý$sìýMìü ÌêV>Ææÿ$.	0:557.4	prose no-rom
I9d59c54ff3fa	55	11		hind legs.  The goat was still alive that his father might take him to	అప్పటికి మేక ఇంకా బతికి వుంది. కాని ఆ	ocr		Aç³µsìýMìü Ðóþ$Mæü C…M> º†Mìü Ðèþ#…¨.  M>° B	0:572.6	prose no-rom
I0f905596de15	55	12		by then.  But after a short while, task.  Thinking that his father would have left for his office, he	తర్వాత కొద్ది సేపటికి అది చచ్చిపోయింది.	ocr		™èþÆ>Ó™èþ Mö¨ª õÜç³sìýMìü A¨ ^èþ_a´ùÆÿ$$…¨.	0:587.9	prose no-rom
I1522a222a8cd	55	13		it died.  The python was handed over to a local zoo.  The python would have left for his office, he started slowly for his home.  But,	కొండచిలువను స్థానిక జంతుప్రదర్శనౌాలకు	ocr		Mö…yæþ_Ë$Ðèþ¯èþ$ Ýë¦°Mæü f…™èþ${ç³§æþÆæÿØ¯èþÔéËMæü$	0:602.9	prose no-rom
I58b2024a9946	55	14		over to a local zoo.  The python weighed about 40 kilograms.  It his father was in the verandah by	అప్పగించారు... కొండచిలువ సుమారు 40.	ocr		Aç³µW…^éÆæÿ$.  Mö…yæþ_Ë$Ðèþ çÜ$Ðèþ*Ææÿ$ 40	0:618.2	prose no-rom
Id519201c9c10	55	15		weighed about 40 kilograms.  It was ten years old.  The goat the time he reached home.	కిలోగ్రాముల బరువు వుంది. దాని వయస్సు	ocr		MìüÌZ{V>Ðèþ$$Ë ºÆæÿ$Ðèþ# Ðèþ#…¨.  §é° ÐèþÄæý$çÜ$Þ	0:633.4	prose no-rom
Ic44a67cfa152	55	16		captured by the python was 15	పది సంవత్సరాలు. అది పట్టుకున్న మేక	ocr		ç³¨ çÜ…Ðèþ™èþÞÆ>Ë$.  A¨ ç³r$tMæü$¯èþ² Ðóþ$Mæü	1:160.3	prose no-rom
Id8925f75082c	55	17		kilograms.	బరువు 15 కిలోగ్రాములు.	ocr		ºÆæÿ$Ðèþ# 15 MìüÌZ{V>Ðèþ$$Ë$.	1:175.6	prose no-rom
Iff575468b35e	55	18		Andhra Prabha	ఆంధ్రప్రభ 27-9-1975	ocr		B…{«§æþ{ç³¿æý 27&9&1975	1:191.7	prose no-rom ocr-suspect
