lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
11	1	çÜÆæÿâæý	Kamala: What is the time now?	సరళ : కమలా ఇప్పుడు టైము ఎంత?	ocr		çÜÆæÿâæý : MæüÐèþ$Ìê Cç³šyæþ$ sñýOÐèþ$$ G…™èþ?	0:451.1	no-rom
11	2	MæüÐèþ$Ë	Here is the watch.	కమల : ఇదుగో గడియారం.	ocr		MæüÐèþ$Ë : C§æþ$Vø VæüyìþÄæý*Ææÿ….	0:480.5	no-rom
11	3	çÜÆæÿâæý	There are five watches here. There are five persons in this room. Among these three watches, one is mine, the other one is Rama's and the third one is Vijaya's. In those two watches one is Susila's and the other is Prabha's.	సరళ : ఇక్కడ ఐదు గడియారాలు ఉన్నాయి! కమల :ఈ గదిలో ఐదుగురం ఉన్నాం. ఈ మూడు గడియారాలలో ఒకటి నాది, ఒకటి రమది, ఒకటి విజయది. ఆ రెండు గడియారాలలో ఒక గడియారం. 'సుశీలది; ఇంకొక గడియారం ప్రభది.	ocr		çÜÆæÿâæý : CMæüPyæþ I§æþ$ VæüyìþÄæý*Æ>Ë$ E¯é²Æÿ$$! MæüÐèþ$Ë :D Væü¨ÌZ I§æþ$Væü$Ææÿ… E¯é²…. D Ðèþ$*yæþ$ VæüyìþÄæý*Æ>ËÌZ JMæüsìý ¯é¨, JMæüsìý ÆæÿÐèþ$¨, JMæüsìý ÑfÄæý$¨. B Æðÿ…yæþ$ VæüyìþÄæý*Æ>ËÌZ JMæü VæüyìþÄæý*Ææÿ… çÜ$ÖË¨; C…MöMæü VæüyìþÄæý*Ææÿ… {ç³¿æý¨.	0:510.2;0:539.8;0:554.6;0:569.4;0:584.2;0:599.1	no-rom
11	4	çÜÆæÿâæý	What is this? It is 1-24 in one watch and 1-31 in the other. It is 1-40 in this watch and 1- 50 in that watch. And it is one O'clock in this watch.	సరళ : ఇదేమిటి? ఒక గడియారంలో ఒకటీ ఇరవైనాలుగు. ఇంకొక గడియారంలో 'ఒకటీ ముప్ఫై ఒకటి. ఈ గడియారంలో ఒకటీ నలభై. ఆ గడియారంలో ఒకటీ యాభై. ఈ గడియారంలో ఒంటిగంట.	ocr		çÜÆæÿâæý : C§óþÑ$sìý? JMæü VæüyìþÄæý*Ææÿ…ÌZ JMæüsîý CÆæÿÐðþO¯éË$Væü$. C…MöMæü VæüyìþÄæý*Ææÿ…ÌZ JMæüsîý Ðèþ$$ò³O¹ JMæüsìý. D VæüyìþÄæý*Ææÿ…ÌZ JMæüsîý ¯èþË¿ñýO. B VæüyìþÄæý*Ææÿ…ÌZ JMæüsîý Äæý*¿ñýO. D VæüyìþÄæý*Ææÿ…ÌZ J…sìýVæü…r.	1:179.8;1:195.0;1:210.2;1:225.4;1:240.7	no-rom
11	5	MæüÐèþ$Ë	The correct time is 1-30. Rama's watch is running six minutes slow. Mine is running one minute fast. Vijaya's is running ten minutes fast and Prabha's is running twenty minutes fast.	కమల : కరెక్టు టైము ఒకటీ ముప్ఫై. రమ గడియారం ఆరు నిమిషాలు స్తో. నాది 'ఒక నిమిషం ఫాస్టు. విజయది పది నిమిషాలు ఫాస్టు. ప్రభది ఇరవై నిమిషాలు ఫాస్టు.	ocr		MæüÐèþ$Ë : MæüÆðÿMæü$t sñýOÐèþ$$ JMæüsîý Ðèþ$$ò³O¹. ÆæÿÐèþ$ VæüyìþÄæý*Ææÿ… BÆæÿ$ °Ñ$ÚëË$ ÝùÏ. ¯é¨ JMæü °Ñ$çÙ… ¸ëçÜ$t. ÑfÄæý$¨ ç³¨ °Ñ$ÚëË$ ¸ëçÜ$t. {ç³¿æý¨ CÆæÿÐðþO °Ñ$ÚëË$ ¸ëçÜ$t.	1:271.1;1:286.3;1:301.5;1:316.8;1:332.0	no-rom
11	6	çÜÆæÿâæý	It is two o'clock in that clock. That is running one hour fast.	సరళ : ఆ గోడ గడియారంలో రెండు గంటలు. అది ఒక గంట ఫాస్టు.	ocr		çÜÆæÿâæý : B Vøyæþ VæüyìþÄæý*Ææÿ…ÌZ Æðÿ…yæþ$ Væü…rË$. A¨ JMæü Væü…r ¸ëçÜ$t.	1:362.4;1:377.7	no-rom
11	7	MæüÐèþ$Ë	No. It is running half an hour fast. Now the correct time is 1-30. Isn't it?	కమల : కాదు. అది అరగంట ఫాస్టు. ఇప్పుడు కరెక్టు టైము ఒకటిన్నర కదా!	ocr		MæüÐèþ$Ë : M>§æþ$. A¨ AÆæÿVæü…r ¸ëçÜ$t. Cç³šyæþ$ MæüÆðÿMæü$t sñýOÐèþ$$ JMæüsìý¯èþ²Ææÿ Mæü§é!	1:408.1;1:423.3	no-rom
11	8	çÜÆæÿâæý	Are all of you studying B.A.?	సరళ : మీరు అందరూ బి.యేనా?	ocr		çÜÆæÿâæý : Ò$Ææÿ$ A…§æþÆæÿ* ¼.Äôý$¯é?	1:453.8	no-rom
11	9	MæüÐèþ$Ë	No. One is doing her B.A. The other B.Sc., and the third one B.com. The rest of the two are doing diploma.	కమల : కాదు. ఒకరు బి.ఎ., ఒకరు బి.ఎస్‌. సి, ఒకరు బి.కావ్‌. ఇద్దరు డిప్లొమా.	ocr		MæüÐèþ$Ë : M>§æþ$. JMæüÆæÿ$ ¼.G., JMæüÆæÿ$ ¼.G‹Ü. íÜ., JMæüÆæÿ$ ¼.M>ÐŒþ$. C§æþªÆæÿ$ yìþ´÷ÏÐèþ*.	1:484.2;1:499.5;1:514.7	no-rom
11	10	Væü$Ææÿ$¯é£æþ…	Sir, is this Guntur (bound) bus?	గురునాధం : ఏమండీ! ఇది గుంటూరు బస్సేనా?	ocr		Væü$Ææÿ$¯é£æþ… : HÐèþ$…yîþ! C¨ Væü$…r*Ææÿ$ ºõÜÞ¯é?	1:572.5	no-rom
11	11	Æ>Ðèþ$Äæý$Å	No.	రామయ్య : కాదు.	ocr		Æ>Ðèþ$Äæý$Å : M>§æþ$.	1:602.9	no-rom
11	12	Væü$Ææÿ$	Is this not the bus sheduled for	గురు : ఇది పదింబావు బస్సు కాదా?	ocr		Væü$Ææÿ$ : C¨ ç³¨…»êÐèþ# ºçÜ$Þ M>§é?	2:179.8	no-rom
11	13	Æ>Ðèþ$	No.	రామ : కాదు.	ocr		Æ>Ðèþ$ : M>§æþ$.	2:209.4	no-rom
11	14	Væü$Ææÿ$	What is the time now.	గురు : ఇప్పుడు టైము ఎంత?	ocr		Væü$Ææÿ$ :  Cç³šyæþ$ sñýOÐèþ$$ G…™èþ?	2:239.0	no-rom
11	15	Æ>Ðèþ$		రామ : పదిన్నర.	ocr		Æ>Ðèþ$ : ç³¨¯èþ²Ææÿ.	2:268.6	no-en no-rom
11	16	Væü$Ææÿ$	It is 9-45 in my watch.	గురు : నాటైం తొమ్మిది మ్యుష్పావు.	ocr		Væü$Ææÿ$ : ¯ésñýO… ™öÑ$Ã¨ Ðèþ$$Ã´ëµÐèþ#.	2:298.3	no-rom
11	17	Æ>Ðèþ$	Then your watch is incorrect, it is running 45 minutes slow.	రామ : మీ టైం తప్పు. ముప్పావు గంట స్లో.	ocr		Æ>Ðèþ$ : Ò$ sñýO… ™èþç³š. Ðèþ$$´ëµÐèþ# Væü…r ÝùÏ.	2:327.9	no-rom
11	18	Væü$Ææÿ$	When is the next bus to Guntur.	గురు : మళ్లీ గుంటూరు బస్సు ఎప్పుడు?	ocr		Væü$Ææÿ$ : Ðèþ$äÏ Væü$…r*Ææÿ$ ºçÜ$Þ Gç³šyæþ$?	2:357.5	no-rom
