guid	lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
I766b7ce480ff	23	1	ÆæÿÑ	Ramarao!  What are you doing here?	రవి... : రామారావ్య! ఇక్కడేం చేస్తున్నావు?	ocr		ÆæÿÑ : Æ>Ðèþ*Æ>Ðèþ#!  CMæüPyóþ… ^óþçÜ$¢¯é²Ðèþ#?	0:434.3	no-rom
I58aaba4cfa79	23	2	Æ>Ðèþ*	I am buying a Radio for my sister.	రామా : మా చెల్లెలికి రేడియో కొంటున్నాను.	ocr		Æ>Ðèþ* : Ðèþ* ^ðþÌñýÏÍMìü ÆóÿyìþÄñý* Mö…r$¯é²¯èþ$.	0:463.1	no-rom
Ie9846639bc63	23	3	ÆæÿÑ	There is a shop in the main market.  You buy there. There are very good models in that shop.	రవి. : పెద్ద బజార్లో ఇంకొక కొట్టుంది. అక్కడ కొను. ఆ కొట్లో మంచి మంచి మోడల్సు ఉన్నాయి.	ocr		ÆæÿÑ : ò³§æþª ºgêÆøÏ C…MöMæü Mör$t…¨. AMæüPyæþ Mö¯èþ$.  B MösZÏ Ðèþ$…_ Ðèþ$…_ Ððþ*yæþË$Þ E¯é²Æÿ$$.	0:491.9;0:506.1;0:520.5	no-rom
I2b7507302a55	23	4	Mört™èþ¯èþ$	The shops in the main market observe holiday today.  We too have new models, sir!	కొట్టతను: ఇవ్వాళ పెద్ద బజారు కొట్లకు సెలవు. మా దగ్గర కూడా ఉన్నాయండీ కొత్త మోడల్సు.	ocr		Mört™èþ¯èþ$: CÐéÓâæý ò³§æþª ºgêÆæÿ$ MörÏMæü$ òÜËÐèþ#. Ðèþ* §æþVæüYÆæÿ Mæü*yé E¯é²Äæý$…yîþ Mö™èþ¢ Ððþ*yæþË$Þ.	0:549.3;0:563.7;0:578.1	no-rom
If867fcb2db74	23	5	ÆæÿÑ	Who is this baby?  Is she your niece (sister's daughter)?	రవి : ఈ పాప ఎవరు? మీ చెల్లెలి కూతురా?	ocr		ÆæÿÑ : D ´ëç³ GÐèþÆæÿ$?  Ò$ ^ðþÌñýÏÍ Mæü*™èþ$Æ>?	0:606.8;0:621.2	no-rom
I36a8b09f1b1e	23	6	Æ>Ðèþ*	Yes.	రామా : అవును.	ocr		Æ>Ðèþ* : AÐèþ#¯èþ$.	1:179.8	no-rom
Ib9fc00022310	23	7	ÆæÿÑ	Papa!  What are you eating?	రవి. : ఏం పాపా! ఏమిటి తింటున్నావు?	ocr		ÆæÿÑ : H… ´ë´ë!  HÑ$sìý †…r$¯é²Ðèþ#?	1:210.2	no-rom
Idfa11bcd8dc1	23	8	´ëç³	I am eating a chocolate.	పాప : చాక్లెట్టు తింటున్నాను.	ocr		´ëç³ : ^éMðüÏr$t †…r$¯é²¯èþ$.	1:240.7	no-rom
Ice0b42cd2074	23	9	Æ>Ðèþ*	"Please tune this radio. ""ALL INDIA RADIO, NOW YOU ARE LISTENING TO FILM SONGS ...."" ""SAY YES!  SAY YES, YES!......"""	రామా : ఏద్సీ ఈ రేడియో పెట్టండి. “ఆకాశవాణి, ఇప్పుడు మీరు సినిమా పాటలు వింటున్నారు.” “ఊం అను! ఊం ఊం అను! 'బెనను, బెనౌనను .........””.	ocr		"Æ>Ðèþ* : H©, D ÆóÿyìþÄñý* ò³rt…yìþ. """"BM>ÔèýÐé×ìý, Cç³šyæþ$ Ò$Ææÿ$ íÜ°Ðèþ* ´ërË$ Ñ…r$¯é²Ææÿ$.'' """"F¶ A¯èþ$!  F¶ F¶ A¯èþ$! L¯èþ¯èþ$, L¯ú¯èþ¯èþ$ ...........''"	1:271.1;1:301.5;1:316.8;1:347.2;1:362.4	no-rom
Ibe413301304e	23	10	WÇf	This model is not good, brother!	గిరిజ : ఈ మోడలు బాగా లేదన్నయ్యా!	ocr		WÇf : D Ððþ*yæþË$ »êV> Ìôý§æþ¯èþ²Äæý*Å!	1:392.9	no-rom
