lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
21	1	MæüÐèþ$Ë	Ravi!  See that monkey.  It is jumping from this branch to that branch and from that branch to this branch.  Whose mango grove is this?	కమల : రవీ! ఆ కోతిని చూడు. అఆ కొమ్మ మీది నించి ఈ కొమ్మమీదికి ఈ కొమ్మమీదినించి ఆ కొమ్మమీదికి 'దూకుతోంది. ఈ మామిడి తోట ఎవరిది?	ocr		MæüÐèþ$Ë : ÆæÿÒ! B Mø†° ^èþ*yæþ$.  B MöÐèþ$Ã Ò$¨ °…_ D MöÐèþ$ÃÒ$¨Mìü D MöÐèþ$ÃÒ$¨°…_ B MöÐèþ$ÃÒ$¨Mìü §æþ*Mæü$™ø…¨.  D Ðèþ*Ñ$yìþ ™ør GÐèþ-Ç-¨?	0:434.9;0:449.7;0:464.5;0:479.3;0:494.1	no-rom
21	2	ÆæÿÑ	Ours only.  Do you want mangoes.	రవి. మాదే. మీకు మామిడి కాయలు కావాలా?	ocr		ÆæÿÑ : Ðèþ*§óþ.  Ò$Mæü$ Ðèþ*Ñ$yìþ M>Äæý$Ë$ M>ÐéÌê?	0:523.8;0:538.6	no-rom
21	3	ÑÐèþ$Ë	One is enough for me.	విమల : నాకు ఒక కాయ చాలు.	ocr		ÑÐèþ$Ë : ¯éMæü$ JMæü M>Äæý$ ^éË$.	0:568.2	no-rom
21	4	MæüÐèþ$Ë	Ravi!  You climb the tree and pluck the mangoes.	కమల : నువ్వు చెట్టు ఎక్కు రవీ! కాయలు కొయ్యి.	ocr		MæüÐèþ$Ë : ¯èþ$Ðèþ#Ó ^ðþr$t GMæü$P ÆæÿÒ! M>Äæý$Ë$ MöÆÿ$$Å.	0:597.8;0:612.5	no-rom
21	5	Ððþ*çßý¯Œþ	I am climbing it.	మోహన్‌ : నేను ఎక్కుతున్నాను.	ocr		Ððþ*çßý¯Œþ : ¯óþ¯èþ$ GMæü$P™èþ$¯é²¯èþ$.	1:179.6	no-rom
21	6	ÆæÿÑ	Be careful.  Climb slowly.  Rock that branch.	రవి. : జాగ్రత్త మెల్లగా ఎక్కు ఆ కొమ్మను ఊపు.	ocr		ÆæÿÑ : gê{Væü™èþ¢!  Ððþ$ËÏV> GMæü$P.  B MöÐèþ$Ã¯èþ$ Fç³#.	1:209.0;1:223.8	no-rom
21	7	Ððþ*çßý¯Œþ	I am rocking it.	మోహన్‌ : ఊపుతున్నాను.	ocr		Ððþ*çßý¯Œþ : Fç³#™èþ$¯é²¯èþ$.	1:253.4	no-rom
21	8	ÆæÿÑ	Which branch are you rocking? That small branch doesn’t have any mangoes.  Rock that big branch.	రవి : ఏ కొమ్మను ఊపుతున్నావు ఆ చిన్న కొమ్మకు మామిడి కాయలు, లేవు. ఆ పెద్ద కొమ్మను ఊపు.	ocr		ÆæÿÑ : H MöÐèþ$Ã¯èþ$ Fç³#™èþ$¯é²Ðèþ#?  B _¯èþ² MöÐèþ$ÃMæü$ Ðèþ*Ñ$yìþ M>Äæý$Ë$ ÌôýÐèþ#.  B ò³§æþª MöÐèþ$Ã¯èþ$ Fç³#.	1:283.1;1:297.9;1:312.7	no-rom
21	9	Ððþ*çßý¯Œþ	Okay.  Are the fruits falling down?	మోహన్‌ : సర్కే కాయలు రాలుతున్నాయా?.	ocr		Ððþ*çßý¯Œþ : çÜÆóÿ, M>Äæý$Ë$ Æ>Ë$™èþ$¯é²Äæý*?	1:342.3	no-rom
21	10	ÑÐèþ$Ë	Yes, They are.	విమల : ఆ! రాలుతున్నాయి.	ocr		ÑÐèþ$Ë : B! Æ>Ë$™èþ$¯é²Æÿ$$.	1:371.8	no-rom
21	11	Ððþ*çßý¯Œþ	Are you picking up all the mangoes?	మోహన్‌ : కాయలన్నీ మీరు ఏరుతున్నారా?	ocr		Ððþ*çßý¯Œþ : M>Äæý$Ë±² Ò$Ææÿ$ HÆæÿ$™èþ$¯é²Æ>?	1:401.4	no-rom
21	12	MæüÐèþ$Ë	Yes, we are.	కమల : ఆ ఏరుతున్నాం.	ocr		MæüÐèþ$Ë : B HÆæÿ$™èþ$¯é²….	1:431.0	no-rom
21	13	Ððþ*çßý¯Œþ	Who is picking them up?	మోహన్‌ : ఎవరు ఏరుతున్నారు?	ocr		Ððþ*çßý¯Œþ : GÐèþÆæÿ$ HÆæÿ$™èþ$¯é²Ææÿ$?	1:460.6	no-rom
21	14	MæüÐèþ$Ë	I am picking up.  Ravi is picking. Vimala is also picking.	'-న్నాడు. విమలగూడా ఏరుతోంది.	ocr		MæüÐèþ$Ë : ¯óþ¯èþ$ HÆæÿ$™èþ$¯é²¯èþ$.  ÆæÿÑ HÆæÿ$™èþ$ &¯é²yæþ$.  ÑÐèþ$ËVæü*yé HÆæÿ$™ø…¨.	1:491.3;1:506.5	no-rom
21	15	Ððþ*çßý¯Œþ	I am getting down from the tree. Are the mangoes sufficient?	మోహన్‌ : నేను చెట్టుమీదినుంచి దిగుతున్నాను. కాయలు చాలా?	ocr		Ððþ*çßý¯Œþ : ¯óþ¯èþ$ ^ðþr$tÒ$¨¯èþ$…_ ¨Væü$™èþ$¯é²¯èþ$. M>Äæý$Ë$ ^éÌê?	1:536.1;1:550.7	no-rom
21	16	ÆæÿÑ	Yes.  Come down.  Be careful. The branch is breaking down.	రవి : ఆ| చాలు. కిందికి రా జాగ్రత్త, కొమ్మ విరుగుతోంది.	ocr		ÆæÿÑ : B! ^éË$.  Mìü…¨Mìü Æ>!  gê{Væü™èþ¢. MöÐèþ$Ã ÑÆæÿ$Væü$™ø…¨.	1:580.4;1:595.2	no-rom ocr-suspect
21	17	Ððþ*çßý¯Œþ	It’s all right.  I am getting down the branch carefully. Hey!  Ramarao.  There was a boy who looked like you. Where (Which side) are you going?	మోహన్‌ : పరవాలేదు. జాగ్రత్తగానే దిగుతున్నాను. వెంకటరామయ్య : ఏమోయ్‌, రామారావ్‌! అక్కడ ఒక కుర్రాడు నీలాగే ఉన్నాడోయ్‌! ఎటు వెళ్తున్నావు?	ocr		Ððþ*çßý¯Œþ : ç³ÆæÿÐéÌôý§æþ$.  gê{Væü™èþ¢V>¯óþ ¨Væü$™èþ$¯é²¯èþ$. Ððþ…MæürÆ>Ðèþ$Äæý$Å : HÐðþ*ÄŒý$, Æ>Ðèþ*Æ>ÐŒþ! AMæüPyæþ JMæü Mæü${Æ>yæþ$ ±ÌêVóü E¯é²yøÄŒý$!  Gr$ Ððþâæý$¢¯é²Ðèþ#?	2:179.2;2:193.4;2:233.9;2:248.1;2:262.4	no-rom
