lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
20	1	Vøí³	Ravi!  You should do me a favour.	గోపి : రవీ! నువ్వు నాకొక సహాయం చెయ్యాలి	ocr		Vøí³ : ÆæÿÒ! ¯èþ$Ðèþ#Ó ¯éMöMæü çÜàÄæý$… ^ðþÄæý*ÅÍ	0:435.5;0:450.7	no-rom
20	2	ÆæÿÑ	What is it?	రవి: ఏమిటి?	ocr		ÆæÿÑ : HÑ$sìý?	0:481.1	no-rom
20	3	Vøí³	There is Telugu film in Gayatri talkies.	గోపి. : ఏమీలేదు. గాయత్రీ టాకీసులో తెలుగు సినిమా ఉంది.	ocr		Vøí³ : HÒ$Ìôý§æþ$. V>Äæý${¡ sêMîüçÜ$ÌZ ™ðþË$Væü$ íÜ°Ðèþ* E…¨.	0:511.6;0:526.8	no-rom
20	4	ÆæÿÑ	What about, then?	రవి. : అయితే ఏమిటి?	ocr		ÆæÿÑ : AÆÿ$$™óþ HÑ$sìý?	0:557.3	no-rom
20	5	Vøí³	I have to go to that cinema.	గోపి : ఆ సినిమాకు పోవాలి.	ocr		Vøí³ : B íÜ°Ðèþ*Mæü$ ´ùÐéÍ.	0:587.7	no-rom
20	6	ÆæÿÑ	Go then!	రవి: పో	ocr		ÆæÿÑ : ´ù!	0:618.2	no-rom
20	7	Vøí³	You should also come with me.	గోపి: నువ్వు కూడా నాతో రావాలి.	ocr		Vøí³ : ¯èþ$Ðèþ#Ó Mæü*yé ¯é™ø Æ>ÐéÍ.	1:179.8	no-rom
20	8	ÆæÿÑ	Why should I?	రవి. 2 నేనెందుకు?	ocr		ÆæÿÑ : ¯óþ¯ðþ…§æþ$Mæü$?	1:210.2	no-rom
20	9	Vøí³	To see the cinema.	గోపి : ఎందుకేమిటి? సినిమాకు.	ocr		Vøí³ : G…§æþ$MóüÑ$sìý? íÜ°Ðèþ*Mæü$.	1:240.7	no-rom
20	10	ÆæÿÑ	I have work.	రవి: ఇప్పుడు నాకు పని ఉంది.	ocr		ÆæÿÑ : Cç³šyæþ$ ¯éMæü$ ç³° E…¨.	1:271.1	no-rom
20	11	Vøí³	What work?	గోపి : ఏం పని?	ocr		Vøí³ : H… ç³°?	1:301.5	no-rom
20	12	ÆæÿÑ	I have to speak with the teacher.  I have to take a book (from him). Talk tomorrow.  Take the book	రవి. : మాష్టారుగారితో మాట్లాడాలి. ఒక పుస్తకం తీసుకోవాలి.	ocr		ÆæÿÑ : Ðèþ*ÚëtÆæÿ$V>Ç™ø Ðèþ*sêÏyéÍ.  JMæü ç³#çÜ¢Mæü… ¡çÜ$MøÐéÍ.	1:332.0;1:347.2	no-rom
20	13	Vøí³	tomorrow.	గోపి. : రేపు మాట్లాడు. పుస్తకం రేపు తీసుకో,	ocr		Vøí³ : Æóÿç³# Ðèþ*sêÏyæþ$. ç³#çÜ¢Mæü… Æóÿç³# ¡çÜ$Mø.	1:377.7	no-rom
