lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
42	1		"WHAT HAPPEND TO ""Oh! I have a toothache."" "" Mummy!  What is a toothache?"""	నేనిక్కడపెట్టిన కోటు	ocr		¯óþ°MæüPyæþò³sìýt¯èþ Mør$	0:386.1	prose no-rom
42	2		THE COAT THAT I want the reason?	ఏమైంది?	ocr		HÐðþ$O…¨?	0:412.6	prose no-rom
42	3		I am reminded by the name of the movie : I forgot to culture the milk (for See how big pen I brought for you! This is my gift for your birthday.  Once you	నేనిక్కడ పెట్టిన కోటు వమైంది?	ocr		Ò$ ^öM>P ÌZç³Ë$…¨ ™ðþÝë¢¯èþ$…yæþ…yìþ!	0:455.0	prose no-rom
42	4		I am reminded by the name of the movie : I forgot to culture the milk (for See how big pen I brought for you! This is my gift for your birthday.  Once you	నేనిక్కడ పెట్టిన కోటు వమైంది?	ocr		¯óþ°-MæüPyæþ ò³sìýt¯èþ Mør$ HÐðþ$O…-¨?	0:455.0	prose no-rom
42	5			మీ కబుర్లు ఇంకా పూర్తి కాలేదా అమ్మా!	ocr		Ò$ Mæüº$Ææÿ$Ï C…M> ç³NÇ¢ M>Ìôý§é AÐèþ*Ã!	1:166.0	prose no-en no-rom
42	6		Mom! Arn't you finished gossiping Has subbarao passed the examination or	దేశంలో జేబుదొంగలు ఎక్కువయ్యారయ్యా!.	ocr		§óþÔèý…ÌZ gôýº$§ö…VæüË$ GMæü$PÐèþÄæý*ÅÆæÿÄæý*Å!	1:178.6	prose no-rom
42	7			సినిమా పేరు చూస్తే గుర్దొచ్చింది; పెరుగు తోడుబెట్టడం మరిచిపోయానండీ!	ocr		íÜ°Ðèþ* õ³Ææÿ$ ^èþ*õÜ¢ Væü$Æö¢_a…¨; ò³Ææÿ$Væü$ ™øyæþ$»ñýrtyæþ… Ðèþ$Ç_´ùÄæý*¯èþ…yîþ!	1:443.7	prose no-en no-rom
42	8		Mom! Arn't you finished gossiping	చెప్పులు తెమ్మన్నావ్రుగదా! షాపుదగ్గర నీ పైజు అమ్మాయి కనిపించింది. షాపులోకి	ocr		^ðþç³šË$ ™ðþÐèþ$Ã¯é²Ðèþ#Væü§é! Úëç³#§æþVæüYÆæÿ ± òÜOk AÐèþ*ÃÆÿ$$ Mæü°í³…_…¨. Úëç³#ÌZMìü	2:173.9	prose no-rom
42	9		Mom! Arn't you finished gossiping yet? Has subbarao passed the examination or	పిలిచాను 4	ocr		í³Í^é¯èþ$ ......	2:185.9	prose no-rom
42	10		Your shirt is inside. Please wait a while I What happend to the coat that I bring it. kept here? curds). Sorry sir!  Today I am on leave. I came You are sleeping in the office. What do here as I couldn't sleep at you think? Is this your house or office? fill it with ink you can write a novel in one go.	ఇల్లు ఊడుస్తుంటే కలైపించాయి తీసుకో!	ocr		CË$Ï Fyæþ$çÜ$¢…sôý Mæü°í³…^éÆÿ$$ ¡çÜ$Mø!	2:473.6	prose no-rom
42	11		bring it. kept here? I found them while sweeping the here as I couldn't sleep at you think? Is this your house or office? home.	పీనూ! ఇక్కడ నీ కార్వ్పూన్లు పడ్డాయి,	ocr		ïÜ¯èþ*! CMæüPyæþ ± M>Ææÿ*t¯èþ$Ï ç³yézÆÿ$$,	2:484.2	prose no-rom
42	12		I found them while sweeping the floor.  Take them. home.	చూడు!	ocr		^èþ*yæþ$!	2:496.1	prose no-rom
42	13		yet? Now-a-days there are a lot more You asked me to buy sandles for you, didn't you ! not !	పొడు అలవాటు! ఇది	ocr		´ëyæþ$ AËÐér$! C¨	3:197.6	prose no-rom
42	14		yet? Now-a-days there are a lot more pickpockts in the country! You asked me to buy sandles for you, didn't you ! not !	దనరా మామూలు చేతిలో	ocr		§æþçÜÆ> Ðèþ*Ðèþ$*Ë$ ^óþ†ÌZ	3:201.5	prose no-rom
42	15		pickpockts in the country! You asked me to buy sandles for you, didn't you ! I found a girl of your size at the shop. I just called her in.	అబ్బాయి (్రోగ్రస్‌ కార్డండీ 1	ocr		A»ê¾Æÿ$$ {´ù{Væü‹Ü M>Ææÿz…yîþ !	3:209.5	prose no-rom
42	16		pickpockts in the country! I found a girl of your size at the shop. I just called her in. Yes, it is dicoction ! Don't	'పడితేగాని సంతకం పెట్టను 1	ocr		ç³yìþ™óþV>° çÜ…™èþMæü… ò³rt¯èþ$ !	3:213.5	prose no-rom
42	17						ÝëÈ ÝëÆŠÿ! ¯óþ¯èþ$ CÐéÓâæý òÜËÐèþ# Ò$§æþ E¯é²¯èþ$. BïœçÜ$ÌZ °{§æþ´ù™èþ$¯é²Ðèþ#. C¨ ±	3:438.4	prose no-en no-rom no-te
42	18		See how big pen I brought for you! This is my gift for your birthday.  Once you				C…sZÏ °{§æþç³rtMæü´ù™óþ CMæüPyìþMìü Ðèþ^éa¯èþ$. CËÏ¯èþ$Mæü$¯é²Ðé? BïœçÜ¯èþ$Mæü$¯é²Ðé?	3:450.4	prose no-rom no-te
42	19		Mom! Arn't you finished gossiping Has subbarao passed the examination or	అది కషాయమే! ఇవ్వాళ	ocr		A¨ MæüÚëÄæý$Ðóþ$! CÐéÓâæý	4:179.2	prose no-rom
42	20		Mom! Arn't you finished gossiping yet? Now-a-days there are a lot more Has subbarao passed the examination or not !	ఛీ! ఈ జన్మలో లీకు కాఫీ,	ocr		d! D f¯èþÃÌZ ±Mæü$ M>ïœ	4:190.3	prose no-rom
42	21		Mom! Arn't you finished gossiping yet? Now-a-days there are a lot more Has subbarao passed the examination or not !	గూడా. కాఫీపొడి.	ocr		Væü*yé  M>ïœ´÷yìþ	4:191.2	prose no-rom
42	22		yet? Now-a-days there are a lot more pickpockts in the country! You asked me to buy sandles for you, didn't you ! not !	చెయ్యటం కాదు.	ocr		^ðþÄæý$År… Æ>§æþ$.	4:202.2	prose no-rom
