guid	lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
I974c41b6b252	29	1	Ðèþ*çÙtÆæÿ$	Have all of you come to the class?	'మాష్టరు : అందరూ క్లాసుకు వచ్చారా?	ocr		Ðèþ*çÙtÆæÿ$ : A…§æþÆæÿ* M>ÏçÜ$Mæü$ Ðèþ^éaÆ>?	0:444.4	no-rom
Ic7c86453eb74	29	2	Vøí³	Subbarao has not come, sir! Ravi too.  Both of them have not come.	గోపి. : సుబ్బారావు రాలేదండి; రవి కూడా రాలేదు. వాళ్ళు ఇద్దరూ రాలేదు.	ocr		Vøí³ : çÜ$»ê¾Æ>Ðèþ# Æ>Ìôý§æþ…yìþ; ÆæÿÑ Mæü*yé Æ>Ìôý§æþ$.  Ðéâæý$å C§æþªÆæÿ* Æ>Ìôý§æþ$.	0:474.8;0:490.1	no-rom
I0b73ca4a62a3	29	3	ÑfÄæý$	Sir!  The fans and lights in that classroom are on.	విజయ : మాష్టరుగారూ! ఆ క్లాసులో ఫాన్లు తిరుగుతున్నాయి; లైట్లు వెలుగు తున్నాయి.	ocr		ÑfÄæý$ : Ðèþ*çÙtÆæÿ$V>Ææÿ*!  B M>ÏçÜ$ÌZ ¸ë¯èþ$Ï †Ææÿ$Væü$™èþ$¯é²Æÿ$$; ÌñýOr$Ï ÐðþË$Væü$ ™èþ$¯é²Æÿ$$.	0:520.5;0:535.7;0:551.0	no-rom
Ia22ce961a3fe	29	4	Ðèþ*çÙtÆæÿ$	Who is there?	'మాష్టరు : అక్కడ ఎవరున్నారు?	ocr		Ðèþ*çÙtÆæÿ$ : AMæüPyæþ GÐèþÆæÿ$¯é²Ææÿ$?	0:581.4	no-rom
I26c5cf62da5d	29	5	ÑfÄæý$	Nobody is there.	విజయ: ఎవరూలేరు.	ocr		ÑfÄæý$: GÐèþÆæÿ*ÌôýÆæÿ$.	0:611.9	no-rom
I24ed9419189d	29	6	Ðèþ*çÙtÆæÿ$	Then turn off those fans and lights.  We should not waste electricity.	'మాష్టరు : అయితే ఆ లైట్లు, ఆ ఫాన్లు తియ్యి. మనం విద్యుచ్భక్తిని వృథా చెయ్యకూడదు.	ocr		Ðèþ*çÙtÆæÿ$ : AÆÿ$$™óþ B ÌñýOr$Ï, B ¸ë¯èþ$Ï †Æÿ$$Å.  Ðèþ$¯èþ… Ñ§æþ$Å^èþeMìü¢° Ðèþ–£é ^ðþÄæý$ÅMæü*yæþ§æþ$.	1:179.4;1:194.0;1:208.6	no-rom
I3d305e991083	29	7	ÆæÿÑ	My I come in, sir?	రవి. : మాష్టరుగారూ! నేను లోపలికి రావచ్చా?	ocr		ÆæÿÑ : Ðèþ*çÙtÆæÿ$V>Ææÿ*!  ¯óþ¯èþ$ ÌZç³ÍMìü Æ>Ðèþ^éa?	1:237.8;1:252.6	no-rom
I20029c50961f	29	8	Ðèþ*çÙtÆæÿ$	Yes.  Come in.  What is Mohan doing there?	'మాష్టరు : రా! అక్కడ మోహన్‌ ఏం చేస్తున్నాడు?	ocr		Ðèþ*çÙtÆæÿ$ : Æ>!  AMæüPyæþ Ððþ*çßý¯Œþ H… ^óþçÜ$¢¯é²yæþ$?	1:281.8;1:296.4	no-rom
Ia4803156f1c7	29	9	ÆæÿÑ	He is looking at the road through the window.	రవి. : కిటికీలోనించి రోడ్డు వైపు చూస్తున్నాడు.	ocr		ÆæÿÑ : MìüsìýMîüÌZ°…_ Æøyæþ$z ÐðþOç³# ^èþ*çÜ$¢¯é²yæþ$.	1:325.7;1:340.3	no-rom
Icb4bdf1c3b71	29	10	Ðèþ*çÙtÆæÿ$	What is there on the road?	'మాష్టరు : రోడ్డుమీద ఏమున్నది?	ocr		Ðèþ*çÙtÆæÿ$ : Æøyæþ$zÒ$§æþ HÐèþ$$¯èþ²¨?	1:369.5	no-rom
