guid	lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
I7252f2190589	49	1	Ë™èþ	Kamala!  Will Vimala be sleeping now?	లత. కమలా! ఇప్పుడు విమల నిద్ర- పోతూ ఉంటుందా?	ocr		Ë™èþ : MæüÐèþ$Ìê!  Cç³šyæþ$ ÑÐèþ$Ë °{§æþ ´ù™èþ* E…r$…§é?	0:440.3;0:456.0	no-rom
Ia520f24a53c2	49	2	MæüÐèþ$Ë	She won't be sleeping. She has examinations from tomorrow. She will be studying.	కమల. : నిద్రపోతూ ఉండదు. రేపటినించి వాళ్ళకు పరీక్షలు, చదువుతూ ఉంటుంది.	ocr		MæüÐèþ$Ë : °{§æþ´ù™èþ* E…yæþ§æþ$.  Æóÿç³sìý°…_ ÐéâæýåMæü$ ç³È„æüË$, ^èþ§æþ$Ðèþ#™èþ* E…r$…¨.	0:487.4;0:503.1;0:518.5	no-rom
I8960ad4d652b	49	3	Ë™èþ	I have to talk to Vimala.  Her sister told that she would come today from Guntur. Would she have come?	అత. :నేను విమలతో మాట్లాడాలి. వాళ్ళ చెల్లెలు గుంటూరు నించి ఇవ్వాళ వస్తానన్నది. వచ్చి ఉంటుందా?	ocr		Ë™èþ : ¯óþ¯èþ$ ÑÐèþ$Ë™ø Ðèþ*sêÏyéÍ. Ðéâæýå ^ðþÌñýÏË$ Væü$…r*Ææÿ$ °…_ CÐéÓâæý ÐèþÝë¢¯èþ¯èþ²¨.  Ðèþ_a E…r$…§é?	0:549.9;0:565.6;0:581.3	no-rom
Ib35b1171f652	49	4	MæüÐèþ$Ë	She would not have come.  There is a music concert at Guntur. Her sister likes music.	కమల. : వచ్చి ఉండదు. ఇవ్వాళ గుంటూ- రులో పాటకచేరి ఉన్నది. _ వాళ్ళ చెల్లెలికి సంగీతం అంటే యిష్టం.	ocr		MæüÐèþ$Ë : Ðèþ_a E…yæþ§æþ$.  CÐéÓâæý Væü$…r* Ææÿ$ÌZ ´ërMæü^óþÇ E¯èþ²¨.  Ðéâæýå ^ðþÌñýÏÍMìü çÜ…X™èþ… A…sôý Æÿ$$çÙt….	0:612.4;0:628.1;0:643.8	no-rom
I391f9cbd11d2	49	5	Ë™èþ	What does she like?  Classical music or light music?	అత... : శాస్త్రీయ సంగీతం యిష్టమా? లలిత సంగీతం యిష్టమా?	ocr		Ë™èþ : ÔéïÜˆÄæý$ çÜ…X™èþ… Æÿ$$çÙtÐèþ*?  ËÍ™èþ çÜ…X™èþ… Æÿ$$çÙtÐèþ*?	1:160.6;1:177.1	no-rom
I4077d01d891c	49	6	MæüÐèþ$Ë	She likes both. She likes classical music better.	కమల. : రెండూ యిష్టమే! శాస్త్రీయ సంగీతం బాగా యిష్టం.	ocr		MæüÐèþ$Ë : Æðÿ…yæþ* Æÿ$$çÙtÐóþ$!  ÔéïÜˆÄæý$ çÜ…X™èþ… »êV> Æÿ$$çÙt….	1:210.3;1:226.9	no-rom
Idbc262013e4f	49	7	Ë™èþ	Does she sing well?	లత... : ఆమె బాగా పాడుతుందా?	ocr		Ë™èþ : BÐðþ$ »êV> ´ëyæþ$™èþ$…§é?	1:260.0	no-rom
Ib5251d44bf4c	49	8	MæüÐèþ$Ë	She plays on Veena well. Vimala also plays Veena well.  Her father bought two Veenas for both of them two days ago.	కమల. : వీణ బాగా వాయిస్తుంది. విమల గూడా వీణ వాయిస్తుంది... వాళ్ళ నాన్నగారు రెండు రోజుల క్రితమే వాళ్ళిద్దరికీ చెరి ఒక వీణ కొని యిచ్చారు.	ocr		MæüÐèþ$Ë : Ò×ý »êV> ÐéÆÿ$$çÜ$¢…¨.  ÑÐèþ$Ë Væü*yé Ò×ý ÐéÆÿ$$çÜ$¢…¨.  Ðéâæýå ¯é¯èþ²V>Ææÿ$ Æðÿ…yæþ$ ÆøkË {Mìü™èþÐóþ$ Ðéãå§æþªÇMîü ^ðþÇ JMæü Ò×ý Mö° Æÿ$$^éaÆæÿ$.	1:293.2;1:309.7;1:326.3;1:342.9	no-rom
I7c207f7179d9	49	9	Ë™èþ	I see! I shall go then.	లత : అలాగా! మరి నేను వెళ్ళి వస్తాను.	ocr		Ë™èþ : AÌêV>!  Ðèþ$Ç ¯óþ¯èþ$ Ððþãå ÐèþÝë¢¯èþ$.	1:376.0	no-rom
Id6d614a58483	49	10	MæüÐèþ$Ë	Okay.	కమల. : సరే!	ocr		MæüÐèþ$Ë : çÜÆóÿ!	1:409.2	no-rom
