guid	lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
Idfb946546b7a	36	1	Æ>Ðèþ$Äæý$Å	This is our farm, sir.	రామయ్య : ఇదేనండీ మా పాలం.	ocr		Æ>Ðèþ$Äæý$Å : C§óþ¯èþ…yîþ Ðèþ* ´÷Ë….	0:455.5	no-rom
I5dc8d2d6b8ef	36	2	´ë{™ø	How many acres is it, sir?	పాత్రో : ఎన్ని ఎకరాలండీ?	ocr		´ë{™ø : G°² GMæüÆ>Ë…yîþ?	0:488.7	no-rom
I3b018ce75dd0	36	3	Æ>Ðèþ$Äæý$Å	Four acres.  Which place do you hail from?	రామయ్య : నాలుగు ఎకరాలు. మీదేవూరు బాబూ?	ocr		Æ>Ðèþ$Äæý$Å : ¯éË$Væü$ GMæüÆ>Ë$.  Ò$§óþÐèþNÆæÿ$ »êº*?	0:521.8;0:538.4	no-rom
I7c3ebd1f7d21	36	4	´ë{™ø	My village is near Puri.  It is in Orissa.	పాత్రో : మా వూరు పూరీ దగ్గర. ఒరిస్సాలో ఉంది.	ocr		´ë{™ø : Ðèþ* ÐèþNÆæÿ$ ç³NÈ §æþVæüYÆæÿ.  JÇÝëÞÌZ E…¨.	0:571.6;0:588.1	no-rom
Idd24f2c39266	36	5	Æ>Ðèþ$Äæý$Å	You came very far?	రామయ్య : ఇంత దూరం వచ్చారేం?	ocr		Æ>Ðèþ$Äæý$Å : C…™èþ §æþ*Ææÿ… Ðèþ^éaÆóÿ…?	0:621.3	no-rom
I34d1adf81770	36	6	´ë{™ø	I came to see your state.	పాత్రో: మీ రాష్ట్రం చూడటానికి వచ్చాను.	ocr		´ë{™ø : Ò$ Æ>çÙ‰… ^èþ*yæþsê°Mìü Ðèþ^éa¯èþ$.	1:160.6	no-rom
I77d409e86ebb	36	7	Æ>Ðèþ$Äæý$Å	Which places do you seen?	రామయ్య : ఏయే ఊళ్ళు చూశారు బాబూ?	ocr		Æ>Ðèþ$Äæý$Å : HÄôý$ Fâæý$å ^èþ*ÔéÆæÿ$ »êº*?	1:193.7	no-rom
I036bac60dc69	36	8	´ë{™ø	I saw many places.  I saw Visakhapatnam, Vijayawada, Guntur, and Ongole.  But there are many places yet to be seen. Are these oxen yours?	పాత్రో: చాలా ఊళ్ళు చూశాను. విశాఖపట్నం, విజయవాడ, గుంటూరు, ఒంగోలు చూశాను. ఇంకా చూడాల్సిన ఊళ్ళు చాలా ఉన్నాయి. ఈ ఎద్దులు మీవేనా?	ocr		´ë{™ø : ^éÌê Fâæý$å ^èþ*Ôé¯èþ$. ÑÔéQç³r²…, ÑfÄæý$Ðéyæþ, Væü$…r*Ææÿ$, J…VøË$ ^èþ*Ôé¯èþ$. C…M> ^èþ*yéÍÞ¯èþ Fâæý$å ^éÌê E¯é²Æÿ$$.  D G§æþ$ªË$ Ò$Ðóþ¯é?	1:226.9;1:243.4;1:260.0;1:276.6;1:293.2	no-rom
Id8715be559f4	36	9	Æ>Ðèþ$Äæý$Å	Yes sir.	రామయ్య : అవును బాబూ!	ocr		Æ>Ðèþ$Äæý$Å : AÐèþ#¯èþ$ »êº*!	1:326.3	no-rom
Ib1ac59c4d6be	36	10	´ë{™ø	Do you have cows also?	పాత్రో: ఆవులు గూడా ఉన్నాయా?	ocr		´ë{™ø : BÐèþ#Ë$ Væü*yé E¯é²Äæý*?	1:359.5	no-rom
