guid	lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
I110d04db0373	13	1	Ðèþ$*Ç¢	Ravi!  Is Venkateswarlu your teacher?	మూర్తి: రవీ! వెంకటేశ్వర్లు మీ మాష్టరా?	ocr		Ðèþ$*Ç¢ : ÆæÿÒ! Ððþ…MæüsôýÔèýÓÆæÿ$Ï Ò$ Ðèþ*çÙtÆ>?	0:434.0	no-rom
I36a8b09f1b1e	13	2	ÆæÿÑ	Yes.	రవి: అవును.	ocr		ÆæÿÑ : AÐèþ#¯èþ$.	0:462.9	no-rom
I238c6ee52568	13	3	Ðèþ$*Ç¢	What is his native place?	మూర్తి: వాళ్ళది ఏ ఊరు?	ocr		Ðèþ$*Ç¢ : Ðéâæýå¨ H FÆæÿ$?	0:491.5	no-rom
I699a8dac2826	13	4	ÆæÿÑ	Eluru.  He has a house in this town also.	రవి. : ఏలూరు. ఈ ఊళ్ళో కూడా ఆయనకు ఒక ఇల్లు ఉంది.	ocr		ÆæÿÑ : HË*Ææÿ$.  D FâZå Mæü*yé BÄæý$¯èþMæü$ JMæü CË$Ï E…¨.	0:520.3;0:534.7	no-rom
If66ea1fac829	13	5	Ðèþ$*Ç¢	How many houses does he have?	మూర్తి : అతనికి ఎన్ని ఇళ్ళు ఉన్నాయి?	ocr		Ðèþ$*Ç¢ : A™èþ°Mìü G°² Câæý$å E¯é²Æÿ$$?	0:563.5	no-rom
I9660ced912ac	13	6	ÆæÿÑ	He has two houses.  One is here and the other is in Eluru.	రవి: రెండు ఇళ్ళు ఉన్నాయి... ఒకటి ఉంది.	ocr		ÆæÿÑ : Æðÿ…yæþ$ Câæý$å E¯é²Æÿ$$.  JMæüsìý CMæüPyæþ E…¨.  JMæü  HË*Ææÿ$ÌZ E…¨.	0:592.2;0:606.6;0:621.6	no-rom
I1643c3bf1648	13	7	Ðèþ$*Ç¢	So, he has houses in two places? How many children does he have?	మూర్తి: అతనికి రెండు ఊళ్ళలో ఇళ్ళు ఉన్నాయా? అతనికి ఎంతమంది పిల్లలు?	ocr		Ðèþ$*Ç¢ : A™èþ°Mìü Æðÿ…yæþ$ FâæýåÌZ Câæý$å E¯é²Äæý*?  A™èþ°Mìü G…™èþÐèþ$…¨ í³ËÏË$?	1:180.4;1:195.6;1:210.8	no-rom
I3eba6a4c8a40	13	8	ÆæÿÑ	He has no children.	రవి. : ఆయనకు పిల్లలు లేరు.	ocr		ÆæÿÑ : BÄæý$¯èþMæü$ í³ËÏË$ ÌôýÆæÿ$.	1:241.3	no-rom
I72b34d4665ed	13	9	Ðèþ$*Ç¢	Narayana is Venkateswarlu’s younger brother.  Isn’t he?  How many children does he have?	మూర్తి: నారాయణ వెంకటేశ్వర్లు తమ్ముడు. కదూ? _ అతనికి ఎంతమంది పిల్లలు?	ocr		Ðèþ$*Ç¢ : ¯éÆ>Äæý$×ý Ððþ…MæüsôýÔèýÓÆæÿ$Ï ™èþÐèþ$$Ãyæþ$ Mæü§æþ*?  A™èþ°Mìü G…™èþÐèþ$…¨ í³ËÏË$?	1:271.7;1:286.9;1:302.2	no-rom
I93aa6d64d5d5	13	10	ÆæÿÑ	Four children.	రవి: నలుగురు.	ocr		ÆæÿÑ : ¯èþË$Væü$Ææÿ$.	1:332.6	no-rom
Ibe810005bdf6	13	11	Ðèþ$*Ç¢	Are they grown up or young?	మూర్తి: పెద్ద పిల్లలా? చిన్న పిల్లలా?	ocr		Ðèþ$*Ç¢ : ò³§æþª í³ËÏÌê?  _¯èþ² í³ËÏÌê?	1:363.0	no-rom
Icad69c4133d5	13	12	ÆæÿÑ	All of them are grown up.	రవి. : అందరూ పెద్ద పిల్లలే!	ocr		ÆæÿÑ : A…§æþÆæÿ* ò³§æþª í³ËÏÌôý!	1:393.5	no-rom
Iac290cd33b13	13	13	Ðèþ$*Ç¢	How many of them are girls and how many of them are boys?	మూర్తి : ఆడపిల్లలెంతమంది? మగపిల్ల 'లెంతమంది?	ocr		Ðèþ$*Ç¢ : Byæþí³ËÏÌñý…™èþÐèþ$…¨?  Ðèþ$Væüí³ËÏ Ìñý…™èþÐèþ$…¨?	1:423.9;1:439.2	no-rom
