guid	lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
I9d4d300d74d0	12	1	ÆæÿÑ	Hey!  What are the vegetables available with you?	రవి. : ఏవుయ్యా! కూరగాయలు ఏం ఉన్నాయి?	ocr		ÆæÿÑ : HÐèþ$Äæý*Å! Mæü*ÆæÿV>Äæý$Ë$ H… E¯é²Æÿ$$?	0:445.6;0:460.8	no-rom
I12da40d44771	12	2	Mört™èþ¯èþ$	Please come, sir!  Fresh veg- etables are available.	కొట్టతను : రండి సార్‌! తాజా 'కూరగాయలున్నాయి.	ocr		Mört™èþ¯èþ$ : Ææÿ…yìþ ÝëÆŠÿ!  ™égê Mæü*ÆæÿV>Äæý$Ë$¯é²Æÿ$$.	0:491.3;0:506.5	no-rom
I9d7c96d93988	12	3	ÆæÿÑ	Are brinjals available?	రవి. : వంకాయలున్నాయా?	ocr		ÆæÿÑ : Ðèþ…M>Äæý$Ë$¯é²Äæý*?	0:537.0	no-rom
I0beaf1a0a929	12	4	Mört™èþ¯èþ$	Brinjal, , tomato, beans, cucumber and cabbage are available, sir.	బీరకాయ్	rom	bīrakāy	Mört™èþ¯èþ$ : Ðèþ…M>Äæý$Ë*, ½ÆæÿM>Äæý$Ë*, sŸÐóþ$sZË*, _Mæü$Pyæþ$M>Äæý$Ë*, §øçÜM>Äæý$Ë*, Móü»ôýi E¯é²Äæý$…yîþ!	0:567.4;0:582.6;0:597.9	ocr-differs
I2b38de2261db	12	5	ÆæÿÑ	What are the potherbs available?	రవి... : ఆకుకూరలు ఏం ఉన్నాయి?	ocr		ÆæÿÑ : BMæü$Mæü*ÆæÿË$ H… E¯é²Æÿ$$?	1:179.8	no-rom
I7d7d63d0570c	12	6	Mört™èþ¯èþ$	are available, sir. The is fresh. Please take it.	Tఓటకూరా పాలకూరా, స్పినఛ్ గోన్గూరా గోన్గూర	rom	Tōṭakūrā pālakūrā, spinach gōngūrā gōngūra	Mört™èþ¯èþ$ : ™ørMæü*Æ>, ´ëËMæü*Æ>, º^èþaÍMæü*Æ>, Vø…Væü*Æ> E¯é²Äæý$…yîþ. Vø…Væü*Ææÿ ™égê¨. ¡çÜ$Mø…yìþ.	1:210.0;1:225.0;1:240.0	unmapped-glyph ocr-differs
Ibcf747aded85	12	7	ÆæÿÑ	Don't you have green chillies?	రవి... : పచ్చిమిరపకాయలు లేవా?	ocr		ÆæÿÑ : ç³_aÑ$Ææÿç³M>Äæý$Ë$ ÌôýÐé?	1:270.1	no-rom
I41081d9b3b2e	12	8	Mört™èþ¯èþ$	We have them, sir!  Here they are!	కొట్టతను : ఉన్నాయండీ! ఇవిగో.	ocr		Mört™èþ¯èþ$ : E¯é²Äæý$…yîþ! CÑVø.	1:300.3	no-rom
I1087eccdb0f5	12	9	ÆæÿÑ	What is the price of brinjal?	రవి. : వంకాయలు ఎంత?	ocr		ÆæÿÑ : Ðèþ…M>Äæý$Ë$ G…™èþ?	1:330.4	no-rom
I48bec818ca2f	12	10	Mört™èþ¯èþ$	Rs. 12 a K.G., sir.	కొట్టతను : కిలో పన్నెండు రూపాయలండీ.	ocr		Mört™èþ¯èþ$ : MìüÌZ ç³¯ðþ²…yæþ$ Ææÿ*´ëÄæý$Ë…yîþ.	1:360.4	no-rom
I3d0bb8c886b7	12	11	ÆæÿÑ		Bఈరకాయ్	rom	Bīrakāy	ÆæÿÑ : ½ÆæÿM>Äæý$Ë$ ?	1:390.4	no-en unmapped-glyph ocr-differs
Id5709e39bd64	12	12	Mört™èþ¯èþ$	Rs. 11.50 a K.G.	కొట్టతను : కిలో పదకొండున్నర.	ocr		Mört™èþ¯èþ$ : MìüÌZ ç³§æþMö…yæþ$¯èþ²Ææÿ.	1:420.7	no-rom
Iee6be1983332	12	13	ÆæÿÑ	How much does the cabbage cost?	రవి. :కేబేజీ ఎంత?	ocr		ÆæÿÑ : Móü»ô i G…™èþ?	1:450.7	no-rom
Id5709e39bd64	12	14	Mört™èþ¯èþ$	Rs. 10 a K.G.	కొట్టతను : కిలో పది రూపాయలు.	ocr		Mört™èþ¯èþ$ : MìüÌZ ç³¨ Ææÿ*´ëÄæý$Ë$.	1:480.7	no-rom
