guid	lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
I16172e4412e4	64	1		The present atmosphere of	నేటి అంగారక గ్రహ వాతావరణం	ocr		¯óþsìý A…V>ÆæÿMæü {Væüçßý Ðé™éÐèþÆæÿ×ý…	0:429.5	prose no-rom
I960be3a5ec33	64	2		the planet Mars is hundred times thinner than that of the earth.	భూమి వాతావరణం కంటె 100 రెట్లు పలచగా	ocr		¿æý*Ñ$ Ðé™éÐèþÆæÿ×ý… Mæü…sñý 100 Æðÿr$Ï ç³Ë^èþV>	0:445.2	prose no-rom ocr-suspect
I37515ad20dd6	64	3		thinner than that of the earth. Carbon dioxide, a little of car-	ఉంటుంది. అందులో బొగ్గుపులుసు	ocr		E…r$…¨.  A…§æþ$ÌZ »ŸVæü$Yç³#Ë$çÜ$	0:460.8	prose no-rom
Ia8a244c8479a	64	4		bon monoxide, water vapour and	వాయువు, కొంచెం కార్బన్‌ మోనాక్రైడ్‌, నీటి	ocr		ÐéÄæý$$Ðèþ#, Mö…^ðþ… M>Ææÿ¾¯Œþ Ððþ*¯éMðüOüÞyŠþ, ±sìý	0:476.5	prose no-rom
Ic3579594da4f	64	5		probably a little of oxygen are present there.  From the infor-	ఆవిరి, బహుళ కొంచెం ప్రాణవాయువు	ocr		BÑÇ, ºçßý$Ôèý Mö…^ðþ… {´ë×ýÐéÄæý$$Ðèþ#	0:492.2	prose no-rom
Ibe45659f17b7	64	6		mation collected by the Soviet	ఉన్నాయి. సోవియట్‌ రోదసీ నౌక సేకరించిన	ocr		E¯é²Æÿ$$.  ÝùÑÄæý$sŒý Æø§æþïÜ ¯úMæü õÜMæüÇ…_¯èþ	0:507.7	prose no-rom
Id80cecb895a9	64	7		space ship, it is known that ar- gon gas is also available on	కొలతల వల్ల అంగారక గ్రహంలో “ఆర్గాన్‌	ocr		"MöË™èþË ÐèþËÏ A…V>ÆæÿMæü {Væüçßý…ÌZ ""BÆ>Y¯Œþ'"	0:523.4	prose no-rom
Id9d1fcc0f624	64	8		gon gas is also available on Mars.  But it is yet to be found	వాయువు గూడా ఉన్నట్లు విదితమయింది.	ocr		ÐéÄæý$$Ðèþ# Væü*yé E¯èþ²r$Ï Ñ¨™èþÐèþ$Æÿ$$…¨.	0:539.0	prose no-rom
I8d644138acfa	64	9		out whether nitrogen, which	భూమి మీది ప్రాణుల వల్ల ఏర్పడే నత్రజని	ocr		¿æý*Ñ$ Ò$¨ {´ë×ý$Ë ÐèþËÏ HÆæÿµyóþ ¯èþ{™èþf°	0:554.7	prose no-rom
Ib7589ca083da	64	10		forms from the living beings on the earth, is available there or not.	అక్కడ ఉన్నదో లేదో కనుగొనవలసి ఉన్నది.	ocr		AMæüPyæþ E¯èþ²§ø Ìôý§ø Mæü¯èþ$Vö¯èþÐèþËíÜ E¯èþ²¨.	0:570.4	prose no-rom
I547544f3e3ed	64	11		The atmosphere of a planet	(గ్రహ ఉపరితలం మీద సంభవించే	ocr		{Væüçßý Eç³Ç™èþË… Ò$§æþ çÜ…¿æýÑ…^óþ	0:591.4	prose no-rom
I89fce1437189	64	12		reflects whatever happens on the	వాటిని వాతావరణం ప్రతిబింబిస్తుంటుంది.	ocr		Ðésìý° Ðé™éÐèþÆæÿ×ý… {ç³†¼…¼çÜ$¢…r$…¨.	0:606.9	prose no-rom
I73e0a0c51fd0	64	13		surface of the planet.  The present conditions (reflected by	కనుక ఇక్కడి ఈ సూచనలు జీవి మనుగడకు	ocr		Mæü¯èþ$Mæü CMæüPyìþ D çÜ*^èþ¯èþË$ iÑ Ðèþ$¯èþ$VæüyæþMæü$	0:622.5	prose no-rom
Ie5a2bac1079e	64	14		the atmosphere of the planet) are	అనుకూలమైనవి కావు. పైగా ప్రమాదకరమైన	ocr		A¯èþ$Mæü*ËÐðþ$O¯èþÑ M>Ðèþ#.  ò³OV> {ç³Ðèþ*§æþMæüÆæÿÐðþ$O¯èþ	0:638.4	prose no-rom
Icdd10cd8bf93	64	15		not congenial for the survival	అల్ర్రావయలెట్‌ వికిరణం నుంచి అక్కడి.	ocr		A{ÌêtÐèþÄæý$ÌñýsŒý ÑMìüÆæÿ×ý… ¯èþ$…_ AMæüPyìþ	1:160.3	prose no-rom
I9bf94ced1e20	64	16		of life on Mars.  Moreover, pro- tection from the harmful ultra-vio-	వాతావరణంలో రక్షణ చాలా తక్కువగా ఉన్నది.	ocr		Ðé™éÐèþÆæÿ×ý…ÌZ Ææÿ„æü×ý ^éÌê ™èþMæü$PÐèþV> E¯èþ²¨.	1:176.2	prose no-rom
I4b887e8ce263	64	17		let rays is very less there.  In	అయినప్పటికీ, సూక్ష్మజీవులు బాగా నేల లోపలికి	ocr		AÆÿ$$¯èþç³µsìýMîü, çÜ*Mæü‡iÐèþ#Ë$ »êV> ¯óþË ÌZç³ÍMìü	1:192.4	prose no-rom
I34265950830f	64	18		spite of these facts, biologists believe that the micro-organisms	వెళ్ళి అక్కడ అవి తమను తాము రక్షించుకో	ocr		Ððþãå AMæüPyæþ AÑ ™èþÐèþ$¯èþ$ ™éÐèþ$$ Ææÿ„ìü…^èþ$Mø-	1:208.5	prose no-rom
I0b22f31b6b0b	64	19		can protect themselves by going	గలవని జీవశాస్త్రజ్ఞులు భావిస్తున్నారు.	ocr		VæüËÐèþ° iÐèþÔéçÜˆkqË$ ¿êÑçÜ$¢¯é²Ææÿ$.	1:224.7	prose no-rom
