lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
4	1	çÜÆæÿâæý	Vijaya! What are these?	సరళ : విజయా! ఇవి ఏమిటి?	rom	saraḷa : vijayā! ivi ēmiṭi?	çÜÆæÿâæý : ÑfÄæý*! CÑ HÑ$sìý?	0:469.4	
4	2	ÑfÄæý$	They are tables/benches. Sit in this chair.	విజయ : ఇవి బల్లలు. నువ్వు ఈ కుర్చీలో కూర్చో.	rom	vijaya : ivi ballalu. nuvvu ī kurcīlō kūrcō.	ÑfÄæý$ : CÑ ºËÏË$. ¯èþ$Ðèþ#Ó D Mæü$ÈaÌZ Mæü*Æøa.	0:528.6;0:543.4	
4	3	çÜÆæÿâæý	How many tables/benches are these?	సరళ : ఇవి ఎన్ని బల్లలు?	rom	saraḷa : ivi enni ballalu?	çÜÆæÿâæý : CÑ G°² ºËÏË$?	1:180.0	
4	4	ÑfÄæý$	These are two tables/benches.	విజయ : ఇవి రెండు బల్లలు.	rom	vijaya : ivi reṁḍu ballalu.	ÑfÄæý$ : CÑ Æðÿ…yæþ$ ºËÏË$.	1:242.7	
4	5	çÜÆæÿâæý	These are two tables. That is one table. How many tables are in total?	సరళ : ఇవి రెండు బల్లలు. అది ఒక బల్ల. మొత్తం ఎన్ని బల్లలు?	rom	saraḷa : ivi reṁḍu ballalu. adi oka balla. mottaṁ enni ballalu?	çÜÆæÿâæý : CÑ Æðÿ…yæþ$ ºËÏË$. A¨ JMæü ºËÏ. Ððþ$$™èþ¢… G°² ºËÏË$?	1:305.2;1:320.8	
4	6	ÑfÄæý$	They are three tables in total.	విజయ : మొత్తం మూడు బల్లలు.	rom	vijaya : mottaṁ mūḍu ballalu.	ÑfÄæý$ : Ððþ$$™èþ¢… Ðèþ$*yæþ$ ºËÏË$.	1:414.8	
4	7	çÜÆæÿâæý	Where are these benches?	సరళ : ఈ బల్లలు ఎక్కడ ఉన్నాయి?	rom	saraḷa : ī ballalu ekkaḍa unnāyi?	çÜÆæÿâæý : D ºËÏË$ GMæüPyæþ E¯é²Æÿ$$?	1:477.3	
4	8	ÑfÄæý$	They are in the room. How many are those chairs?	విజయ : గదిలో ఉన్నాయి? అవి ఎన్ని కుర్చీలు?	rom	vijaya : gadilō unnāyi? avi enni kurcīlu?	ÑfÄæý$ : Væü¨ÌZ E¯é²Æÿ$$. AÑ G°² Mæü$ÈaË$?	1:539.8;1:555.4	ocr-differs
4	9	çÜÆæÿâæý	They are three chairs?	సరళ : అవి మూడు కుర్చీలు.	rom	saraḷa : avi mūḍu kurcīlu.	çÜÆæÿâæý : AÑ Ðèþ$*yæþ$ Mæü$ÈaË$.	2:179.2	
4	10	ÑfÄæý$	Where are those chairs?	విజయ : ఆ కుర్చీలు ఎక్కడ ఉన్నాయి?	rom	vijaya : ā kurcīlu ekkaḍa unnāyi?	ÑfÄæý$ : B Mæü$ÈaË$ GMæüPyæþ E¯é²Æÿ$$?	2:236.8	ocr-differs
